,Edge,U,pval,adj_pvals
0,HSP90AB1;RIPK3,132.0,0.696173696961807,1.0
1,HSP90AB1;RIPK1,115.0,0.8147563961899438,1.0
2,HSP90AB1;TP53,72.0,0.07343425157600256,0.9090452469335999
3,HSP90AB1;ERBB2,131.0,0.7281751523581153,1.0
4,HSP90AB1;EGFR,130.0,0.7573695304602217,1.0
5,HSP90AB1;NOS3,92.5,0.288734622309339,0.9735981093393523
6,HSP90AB1;HSPA4,94.0,0.32017406683149174,0.9810573650921387
7,HSP90AB1;HSP90AA1,94.0,0.31233075578929526,0.9810573650921387
8,HSPA4;TP53,101.0,0.46498553040243185,1.0
9,HSPA4;ERBB2,104.0,0.48794015953848646,1.0
10,HSPA4;EGFR,103.0,0.46271225343277234,1.0
11,HSPA4;CD40,99.0,0.3694066131200239,1.0
12,HSPA4;HSP90AA1,80.0,0.13115582920259553,0.9090452469335999
13,HSPA4;SNCA,144.0,0.41486956467953096,1.0
14,HSP90AA1;RIPK3,116.0,0.8432428475602108,1.0
15,HSP90AA1;RIPK1,122.0,1.0,1.0
16,HSP90AA1;TP53,74.0,0.0859689241485074,0.9090452469335999
17,HSP90AA1;ERBB2,140.0,0.48212845272645555,1.0
18,HSP90AA1;EGFR,140.0,0.48212845272645555,1.0
19,HSP90AA1;NOS3,109.5,0.6685906192474691,1.0
20,HSP90AA1;EZR,123.0,0.970857279724063,1.0
21,FLNA;VCL,121.0,1.0,1.0
22,FLNA;PXN,122.0,1.0,1.0
23,FLNA;TLN1,140.0,0.5107977981738965,1.0
24,FLNA;FBLIM1,126.0,0.8838168432762799,1.0
25,FLNA;TLN2,129.0,0.7981579710016685,1.0
26,FLNA;FLNB,102.0,0.4876012773496696,1.0
27,FLNA;MAP2K4,126.0,0.8838168432762799,1.0
28,HMGCS1;OXCT1,145.0,0.4007617880406188,1.0
29,HMGCS1;EHHADH,134.0,0.6610983037350744,1.0
30,HMGCS1;ACAT1,153.0,0.25741320983816585,0.9415826481565974
31,HMGCS1;ACAA2,137.0,0.5836942206964862,1.0
32,HMGCS1;ACAA1,122.0,1.0,1.0
33,HMGCS1;HADHB,131.0,0.7423083940717163,1.0
34,HMGCS1;ACAT2,154.0,0.24237967376143077,0.9259252285418685
35,UBC;NEDD8,137.0,0.5836942206964862,1.0
36,UBC;RPS27A,105.0,0.5588639673990412,1.0
37,UBC;UCHL1,80.0,0.134170293373614,0.9090452469335999
38,UBC;RBCK1,147.0,0.3573307612238037,1.0
39,UBC;UBA52,107.0,0.6090265291291659,1.0
40,UBC;TNF,141.0,0.4794001135306123,1.0
41,UBC;UIMC1,158.0,0.18844541724270636,0.9090452469335999
42,UBC;RNF4,140.0,0.5107977981738965,1.0
43,UBC;TRAF6,142.0,0.45855330825083096,1.0
44,UBC;BIRC2,138.0,0.5531912523331413,1.0
45,UBC;UBB,97.0,0.380598213246381,1.0
46,UBA52;CD74,133.0,0.6877839774703822,1.0
47,UBA52;RPL18A,89.0,0.24237967376143077,0.9259252285418685
48,UBA52;RPL19,77.0,0.10795420643158134,0.9090452469335999
49,UBA52;RPS12,89.0,0.24237967376143077,0.9259252285418685
50,UBA52;NEDD8,174.0,0.057469660100269625,0.9090452469335999
51,UBA52;RPL35,79.0,0.12493360148061304,0.9090452469335999
52,UBA52;RPL8,84.0,0.17646330228976836,0.9090452469335999
53,UBA52;RPS11,79.0,0.12493360148061304,0.9090452469335999
54,UBA52;RPS27A,159.0,0.17646330228976836,0.9090452469335999
55,UBA52;RPL37,86.0,0.20101723750157907,0.9090452469335999
56,UBA52;RPS3,78.0,0.11620038292665102,0.9090452469335999
57,UBA52;UCHL1,126.0,0.8838168432762799,1.0
58,UBA52;RPL29,87.0,0.21419019438037834,0.9090452469335999
59,UBA52;RPS23,82.0,0.15421756010581464,0.9090452469335999
60,UBA52;RPL13,87.0,0.21419019438037834,0.9090452469335999
61,UBA52;RPL15,88.0,0.22797462407405722,0.9090452469335999
62,UBA52;RPL38,88.0,0.22797462407405722,0.9090452469335999
63,UBA52;RPL4,77.0,0.10795420643158134,0.9090452469335999
64,UBA52;RPS2,80.0,0.134170293373614,0.9090452469335999
65,UBA52;RPS21,80.0,0.134170293373614,0.9090452469335999
66,UBA52;RPL27A,86.0,0.20101723750157907,0.9090452469335999
67,UBA52;RPL21,84.0,0.17646330228976836,0.9090452469335999
68,UBA52;RPS3A,86.0,0.20101723750157907,0.9090452469335999
69,UBA52;RPS26,81.0,0.1439264555523268,0.9090452469335999
70,UBA52;RPL12,88.0,0.22797462407405722,0.9090452469335999
71,UBA52;RPL5,79.0,0.12493360148061304,0.9090452469335999
72,UBA52;RPL7A,85.0,0.18844541724270636,0.9090452469335999
