,Edge,U,pval,adj_pvals
0,ZWINT/RAD51AP1,7820.0,1.0,1.0
1,ZWINT/NUF2,8794.0,0.11659069446876529,0.18654511115002445
2,ZWINT/NUSAP1,8984.5,0.06219558849951255,0.1243911769990251
3,ZWINT/DSN1,7814.0,0.992961088803243,1.0
4,NUSAP1/NUF2,7121.5,0.2624518255284606,0.3499357673712808
5,NUSAP1/SPAG5,6636.0,0.05650254975741531,0.1243911769990251
6,NUSAP1/PRC1,6636.0,0.05650254975741531,0.1243911769990251
7,NUF2/DSN1,9282.5,0.019149467146668594,0.1243911769990251
