,Edge,U,pval,adj_pvals
0,CXCL10;UBD,198.0,1.0,1.0
1,CXCL10;GBP4,274.0,0.051581092683354826,0.09016525697190458
2,GBP4;UBE2L6,127.0,0.06762394272892844,0.09016525697190458
3,GBP4;BATF2,127.0,0.06762394272892844,0.09016525697190458
