,Edge,U,pval,adj_pvals
0,FLNA;ITGB1,299.0,0.23640263736681544,1.0
1,FLNA;HSPB7,318.5,0.08549942260269108,0.8234944387522352
2,FLNA;CDC42,320.0,0.09919182453687957,0.8643858995356648
3,CCL11;CSF3,245.0,1.0,1.0
4,CCL11;IFNG,245.0,1.0,1.0
5,CCL11;IL1A,245.0,1.0,1.0
6,CCL11;IL1B,245.0,1.0,1.0
7,CCL11;FGF2,245.0,1.0,1.0
8,CCL11;CSF2,245.0,1.0,1.0
9,CCL11;FGF13,245.0,1.0,1.0
10,CCL11;CXCL1,238.0,0.5570155791476338,1.0
11,CSF2;CSF3,245.0,1.0,1.0
12,CSF2;IL2,245.0,1.0,1.0
13,CSF2;IFNG,245.0,1.0,1.0
14,CSF2;IL1A,245.0,1.0,1.0
15,CSF2;IL1B,245.0,1.0,1.0
16,CSF2;FGF2,245.0,1.0,1.0
17,CSF2;IL3,245.0,1.0,1.0
18,CSF2;FGF13,245.0,1.0,1.0
19,CSF2;JAK2,245.0,1.0,1.0
20,CSF2;FLT3LG,245.0,1.0,1.0
21,CSF2;IL6,245.0,1.0,1.0
22,CSF2;CSF3R,245.0,1.0,1.0
23,FGF13;CSF3,245.0,1.0,1.0
24,FGF13;EGF,252.0,0.5570155791476338,1.0
25,FGF2;CSF3,245.0,1.0,1.0
26,FGF2;EGFR,241.0,0.9273465720797774,1.0
27,FGF2;NTRK1,259.0,0.38352418558323176,1.0
28,FGF2;CD44,205.0,0.3819674836988812,1.0
29,FGF2;FN1,331.0,0.05843476106196395,0.7638258053099574
30,FGF2;EGF,252.0,0.5570155791476338,1.0
31,EGF;CSF3,252.0,0.5570155791476338,1.0
32,EGF;NTRK1,259.0,0.38352418558323176,1.0
33,EGF;ERBB2,268.0,0.5989955994123344,1.0
34,EGF;EGFR,245.0,1.0,1.0
35,EGF;FN1,333.0,0.05278333394678612,0.73722966612849
36,EGF;ERBB3,177.5,0.12001725469583716,0.9549198960581826
37,EGF;GRB2,297.0,0.16255094916855084,1.0
38,CD44;COL1A1,279.0,0.4584511450523262,1.0
39,CD44;ERBB2,178.0,0.14109281113819946,0.959715319897943
40,CD44;EGFR,187.0,0.20306189583433687,1.0
41,CD44;COL1A2,276.0,0.4996721632968081,1.0
42,CD44;FN1,274.0,0.5282085770572169,1.0
43,CD44;SRC,157.0,0.05280146687522493,0.73722966612849
44,CD44;ITGB1,174.0,0.11869868684936427,0.9549198960581826
45,CD44;CDC42,133.0,0.01360056291772003,0.35555757342039507
46,IFNG;CSF3,245.0,1.0,1.0
47,IFNG;IL2,245.0,1.0,1.0
48,IFNG;IL3,245.0,1.0,1.0
49,IFNG;IL1A,245.0,1.0,1.0
50,IFNG;JAK2,245.0,1.0,1.0
51,IFNG;IL1B,245.0,1.0,1.0
52,IFNG;IL6,245.0,1.0,1.0
53,IL1B;CSF3,245.0,1.0,1.0
54,IL1B;IL2,245.0,1.0,1.0
55,IL1B;IL1A,245.0,1.0,1.0
56,IL1B;IL6,245.0,1.0,1.0
57,IL1B;CASP1,255.0,0.8077961872614505,1.0
58,IL1B;IL3,245.0,1.0,1.0
59,IL1B;CXCL1,252.0,0.5570155791476338,1.0
60,IL2;CSF3,245.0,1.0,1.0
61,IL2;IL6,245.0,1.0,1.0
62,IL2;IL1A,245.0,1.0,1.0
63,IL2;IL3,245.0,1.0,1.0
64,IL6;CSF3,245.0,1.0,1.0
65,IL6;IL1A,245.0,1.0,1.0
66,IL6;EGFR,247.0,0.9688275967474386,1.0
67,IL6;IL3,245.0,1.0,1.0
68,IL6;JAK2,245.0,1.0,1.0
69,IL6;CXCL1,238.0,0.5570155791476338,1.0
70,PSMD13;CSF3,215.0,0.37150525169676507,1.0
71,PSMD13;PSMD4,198.0,0.20732449224798255,1.0
72,PSMD13;PSMD6,191.0,0.14684168829039565,0.959715319897943
73,PSMD6;CSF3,214.0,0.35551192235325924,1.0
74,PSMD6;PSMD4,190.0,0.13943579294686706,0.959715319897943
75,PSMD4;CSF3,215.0,0.37150525169676507,1.0
76,NCK2;WASL,335.0,0.036465690979546835,0.5806866305019215
77,NCK2;NCK1,337.0,0.03248120096047336,0.5806866305019215
78,NCK2;WIPF3,352.0,0.008120089952318874,0.24766274354572562
79,LYN;SRC,275.5,0.32556890113674264,1.0
80,LYN;PIK3CD,275.5,0.2752798217211092,1.0
81,LYN;PIK3CG,295.0,0.05438579504226565,0.73722966612849
82,LYN;PIK3R1,275.5,0.2752798217211092,1.0
83,LYN;PIK3CB,275.5,0.2752798217211092,1.0
84,GRB2;WASL,399.0,0.0006808922283227781,0.09800147693384934
