drug,source tissue,target tissue,type,feature,pval,iter,feature_dim,predicted_class,predicted_prob,true_class
Atezo,BLCA,KIRC,full_graph,edge,0.1,62,178,0,0.12717223528741892,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,63,178,0,0.03685478282743463,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,64,178,0,0.37380595498999947,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,65,178,0,0.008333278765087482,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,66,178,1,0.6596649911329802,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,67,178,1,0.8499397358982557,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,68,178,0,0.40382321848374997,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,69,178,1,0.7196291651471446,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,70,178,1,0.5946175910036009,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,71,178,0,0.21444812076713798,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,72,178,0,0.2288201481244376,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,73,178,0,0.07721593883197131,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,74,178,0,0.1098593597135004,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,75,178,0,0.00027724206705287245,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,76,178,1,0.949925114977724,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,77,178,1,0.866897401943177,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,78,178,1,0.6828912448131165,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,79,178,0,0.47584650350822855,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,80,178,0,0.12145628524664497,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,81,178,0,0.19442838090925207,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,82,178,0,0.033248119564394774,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,83,178,0,0.10710252148268348,1
