,Patient,Gene1,Gene2,Edge,Curvature,Response
18929,HCC827_LUNG,CDK2,CDK7,CDK2;CDK7,-0.16,1
18930,HCC827_LUNG,CDK2,CDK1,CDK2;CDK1,-0.16,1
18931,HCC827_LUNG,CDK2,PCNA,CDK2;PCNA,-0.06,1
18932,HCC827_LUNG,CDK2,CDKN1A,CDK2;CDKN1A,0.15,1
18933,HCC827_LUNG,CDK2,BRCA1,CDK2;BRCA1,-0.03,1
18934,HCC827_LUNG,DNMT1,SUZ12,DNMT1;SUZ12,-0.16,1
18935,HCC827_LUNG,DNMT1,USP7,DNMT1;USP7,0.21,1
18936,HCC827_LUNG,DNMT1,PCNA,DNMT1;PCNA,-0.16,1
18937,HCC827_LUNG,ACAA1,HSD17B10,ACAA1;HSD17B10,-0.79,1
18938,HCC827_LUNG,ACAA1,HMGCS1,ACAA1;HMGCS1,-0.64,1
18939,HCC827_LUNG,ACAA1,HADH,ACAA1;HADH,-0.13,1
18940,HCC827_LUNG,MYBL2,PLK1,MYBL2;PLK1,0.24,1
18941,HCC827_LUNG,MYBL2,MELK,MYBL2;MELK,0.28,1
18942,HCC827_LUNG,IGF2R,CTSD,IGF2R;CTSD,-0.02,1
18943,HCC827_LUNG,HSPB1,MAPKAPK2,HSPB1;MAPKAPK2,0.31,1
18944,HCC827_LUNG,HSPB1,IKBKB,HSPB1;IKBKB,0.13,1
18945,HCC827_LUNG,HSPB1,EIF4G1,HSPB1;EIF4G1,0.15,1
18946,HCC827_LUNG,HSPB1,MAPKAPK3,HSPB1;MAPKAPK3,0.42,1
18947,HCC827_LUNG,GNAI2,SRC,GNAI2;SRC,-0.62,1
18948,HCC827_LUNG,PCNA,RPA1,PCNA;RPA1,0.16,1
18949,HCC827_LUNG,PCNA,CDK7,PCNA;CDK7,-0.12,1
18950,HCC827_LUNG,PCNA,MNAT1,PCNA;MNAT1,-0.36,1
18951,HCC827_LUNG,PCNA,POLD4,PCNA;POLD4,0.2,1
18952,HCC827_LUNG,PCNA,RPA2,PCNA;RPA2,0.18,1
18953,HCC827_LUNG,PCNA,CDKN1A,PCNA;CDKN1A,-0.03,1
18954,HCC827_LUNG,PCNA,CDK1,PCNA;CDK1,-0.29,1
18955,HCC827_LUNG,PLK1,AURKA,PLK1;AURKA,0.28,1
18956,HCC827_LUNG,PLK1,CENPE,PLK1;CENPE,0.29,1
18957,HCC827_LUNG,PLK1,BRCA1,PLK1;BRCA1,-0.82,1
18958,HCC827_LUNG,PLK1,UBE2C,PLK1;UBE2C,0.31,1
18959,HCC827_LUNG,PLK1,CDK1,PLK1;CDK1,0.03,1
18960,HCC827_LUNG,PLK1,TP53BP1,PLK1;TP53BP1,-0.81,1
18961,HCC827_LUNG,RRP12,CEBPZ,RRP12;CEBPZ,-0.39,1
18962,HCC827_LUNG,RRP12,RPS6,RRP12;RPS6,-0.98,1
18963,HCC827_LUNG,EBP,NSDHL,EBP;NSDHL,0.28,1
18964,HCC827_LUNG,NCK2,ILK,NCK2;ILK,-0.26,1
18965,HCC827_LUNG,NCK2,WIPF2,NCK2;WIPF2,0.13,1
18966,HCC827_LUNG,CDK1,AURKA,CDK1;AURKA,0.25,1
18967,HCC827_LUNG,CDK1,GMNN,CDK1;GMNN,-0.01,1
18968,HCC827_LUNG,CDK1,CDK7,CDK1;CDK7,-0.17,1
18969,HCC827_LUNG,CDK1,CENPE,CDK1;CENPE,-0.02,1
18970,HCC827_LUNG,CDK1,MELK,CDK1;MELK,0.01,1
18971,HCC827_LUNG,CDK1,UBE2C,CDK1;UBE2C,0.21,1
18972,HCC827_LUNG,CDK1,CDKN1A,CDK1;CDKN1A,-0.23,1
18973,HCC827_LUNG,CDK1,BRCA1,CDK1;BRCA1,-0.34,1
18974,HCC827_LUNG,CRK,PXN,CRK;PXN,0.22,1
18975,HCC827_LUNG,CRK,CRKL,CRK;CRKL,0.46,1
18976,HCC827_LUNG,CRK,SHC1,CRK;SHC1,0.11,1
18977,HCC827_LUNG,CRK,SRC,CRK;SRC,-0.52,1
18978,HCC827_LUNG,BRCA1,AURKA,BRCA1;AURKA,-0.54,1
18979,HCC827_LUNG,BRCA1,RPA1,BRCA1;RPA1,-0.58,1
18980,HCC827_LUNG,BRCA1,TOPBP1,BRCA1;TOPBP1,-0.52,1
18981,HCC827_LUNG,BRCA1,UBE2C,BRCA1;UBE2C,-0.59,1
18982,HCC827_LUNG,BRCA1,RPA2,BRCA1;RPA2,-0.51,1
18983,HCC827_LUNG,BRCA1,TP53BP1,BRCA1;TP53BP1,-0.63,1
18984,HCC827_LUNG,HK1,PFKL,HK1;PFKL,-0.69,1
18985,HCC827_LUNG,HK1,GAA,HK1;GAA,-0.47,1
18986,HCC827_LUNG,HK1,GNPDA1,HK1;GNPDA1,-0.88,1
18987,HCC827_LUNG,RHOA,PXN,RHOA;PXN,0.24,1
18988,HCC827_LUNG,RHOA,ARHGAP1,RHOA;ARHGAP1,0.35,1
18989,HCC827_LUNG,RHOA,ARHGEF2,RHOA;ARHGEF2,0.08,1
18990,HCC827_LUNG,RHOA,SRC,RHOA;SRC,-0.01,1
18991,HCC827_LUNG,PGRMC1,TMEM97,PGRMC1;TMEM97,0.24,1
18992,HCC827_LUNG,MAPKAPK2,CREB1,MAPKAPK2;CREB1,-0.43,1
18993,HCC827_LUNG,MAPKAPK2,MAPKAPK3,MAPKAPK2;MAPKAPK3,0.27,1
18994,HCC827_LUNG,MRPS2,RPS6,MRPS2;RPS6,-0.47,1
18995,HCC827_LUNG,PMAIP1,BID,PMAIP1;BID,-0.11,1
18996,HCC827_LUNG,TOPBP1,RPA1,TOPBP1;RPA1,0.27,1
18997,HCC827_LUNG,TOPBP1,TP53BP1,TOPBP1;TP53BP1,0.16,1
18998,HCC827_LUNG,EIF4G1,RPS6,EIF4G1;RPS6,0.23,1
18999,HCC827_LUNG,CENPE,AURKA,CENPE;AURKA,0.07,1
19000,HCC827_LUNG,CENPE,MELK,CENPE;MELK,0.22,1
19001,HCC827_LUNG,NUP133,NUP93,NUP133;NUP93,0.48,1
19002,HCC827_LUNG,NUP133,NUP88,NUP133;NUP88,0.48,1
19003,HCC827_LUNG,SHC1,CSK,SHC1;CSK,0.26,1
19004,HCC827_LUNG,SHC1,PTPN12,SHC1;PTPN12,0.25,1
19005,HCC827_LUNG,SHC1,PXN,SHC1;PXN,0.26,1
19006,HCC827_LUNG,SHC1,CRKL,SHC1;CRKL,0.08,1
19007,HCC827_LUNG,SHC1,SRC,SHC1;SRC,-0.3,1
19008,HCC827_LUNG,PSME2,PSME1,PSME2;PSME1,0.81,1
19009,HCC827_LUNG,IKBKB,SRC,IKBKB;SRC,-0.92,1
19010,HCC827_LUNG,IKBKB,SQSTM1,IKBKB;SQSTM1,-1.24,1
19011,HCC827_LUNG,HMGCS1,NSDHL,HMGCS1;NSDHL,-0.33,1
19012,HCC827_LUNG,CASP2,BID,CASP2;BID,-0.81,1
19013,HCC827_LUNG,AURKA,UBE2C,AURKA;UBE2C,0.4,1
19014,HCC827_LUNG,AURKA,MELK,AURKA;MELK,0.37,1
19015,HCC827_LUNG,GTF2E2,CDK7,GTF2E2;CDK7,-0.11,1
19016,HCC827_LUNG,GTF2E2,MNAT1,GTF2E2;MNAT1,0.24,1
19017,HCC827_LUNG,HADH,HSD17B10,HADH;HSD17B10,-1.15,1
19018,HCC827_LUNG,HADH,ECH1,HADH;ECH1,-0.08,1
19019,HCC827_LUNG,CTSD,BID,CTSD;BID,-0.02,1
19020,HCC827_LUNG,RPA2,RPA1,RPA2;RPA1,0.3,1
19021,HCC827_LUNG,RPA2,TP53BP1,RPA2;TP53BP1,0.22,1
19022,HCC827_LUNG,ILK,PXN,ILK;PXN,0.18,1
19023,HCC827_LUNG,XBP1,HYOU1,XBP1;HYOU1,-0.02,1
19024,HCC827_LUNG,XBP1,TBPL1,XBP1;TBPL1,-0.56,1
19025,HCC827_LUNG,CRKL,PXN,CRKL;PXN,-0.02,1
19026,HCC827_LUNG,CRKL,SRC,CRKL;SRC,-0.35,1
19027,HCC827_LUNG,PTPN12,PXN,PTPN12;PXN,0.14,1
19028,HCC827_LUNG,CDK7,MNAT1,CDK7;MNAT1,0.19,1
19029,HCC827_LUNG,NUP93,NUP88,NUP93;NUP88,0.64,1
19030,HCC827_LUNG,PXN,CSK,PXN;CSK,0.4,1
19031,HCC827_LUNG,PXN,SRC,PXN;SRC,0.18,1
19032,HCC827_LUNG,SRC,CSK,SRC;CSK,-0.11,1
19033,HCC827_LUNG,RPA1,TP53BP1,RPA1;TP53BP1,0.22,1
19034,HCC827_LUNG,UBE2C,MELK,UBE2C;MELK,0.5,1
19035,HOP62_LUNG,EED,SUZ12,EED;SUZ12,0.42,1
19036,HOP62_LUNG,EED,EZH2,EED;EZH2,-0.06,1
19037,HOP62_LUNG,EED,MTF2,EED;MTF2,0.39,1
19038,HOP62_LUNG,EED,HDAC2,EED;HDAC2,-0.14,1
19039,HOP62_LUNG,EED,DNMT1,EED;DNMT1,-0.32,1
19040,HOP62_LUNG,HSPA4,FKBP4,HSPA4;FKBP4,-0.02,1
19041,HOP62_LUNG,HSPA4,STUB1,HSPA4;STUB1,0.06,1
19042,HOP62_LUNG,HSPA4,HSPB1,HSPA4;HSPB1,0.01,1
19043,HOP62_LUNG,HSPA4,DNAJB1,HSPA4;DNAJB1,0.04,1
19044,HOP62_LUNG,HSPA4,DNAJB6,HSPA4;DNAJB6,0.06,1
19045,HOP62_LUNG,HSPA4,DNAJA3,HSPA4;DNAJA3,-0.09,1
19046,HOP62_LUNG,HSPA4,ERBB2,HSPA4;ERBB2,-0.16,1
19047,HOP62_LUNG,HSPA4,TJP1,HSPA4;TJP1,-0.22,1
19048,HOP62_LUNG,HSPA4,EIF4G1,HSPA4;EIF4G1,-0.4,1
19049,HOP62_LUNG,HSPA4,HSPA8,HSPA4;HSPA8,0.16,1
19050,HOP62_LUNG,HSPA4,AKT1,HSPA4;AKT1,-0.15,1
19051,HOP62_LUNG,HSPA4,UBQLN2,HSPA4;UBQLN2,-0.06,1
19052,HOP62_LUNG,HSPA4,SRC,HSPA4;SRC,-0.29,1
19053,HOP62_LUNG,HSPA4,CYCS,HSPA4;CYCS,-0.36,1
19054,HOP62_LUNG,HSPA4,HIF1A,HSPA4;HIF1A,-0.11,1
19055,HOP62_LUNG,HSPA4,DNAJB2,HSPA4;DNAJB2,0.04,1
19056,HOP62_LUNG,HSPA4,HDAC6,HSPA4;HDAC6,-0.32,1
19057,HOP62_LUNG,HSPA4,HSPD1,HSPA4;HSPD1,-0.19,1
19058,HOP62_LUNG,HSPA4,BECN1,HSPA4;BECN1,-0.1,1
19059,HOP62_LUNG,HSPA4,HSPA1A,HSPA4;HSPA1A,0.01,1
19060,HOP62_LUNG,HSPA4,GAPDH,HSPA4;GAPDH,-0.41,1
19061,HOP62_LUNG,HSPA4,CASP3,HSPA4;CASP3,-0.13,1
19062,HOP62_LUNG,HSPA4,BAG3,HSPA4;BAG3,0.05,1
19063,HOP62_LUNG,MTA1,HDAC2,MTA1;HDAC2,-0.13,1
19064,HOP62_LUNG,POLE2,POLG2,POLE2;POLG2,-0.27,1
19065,HOP62_LUNG,POLE2,MCM3,POLE2;MCM3,-0.21,1
19066,HOP62_LUNG,POLE2,CDC45,POLE2;CDC45,-0.47,1
19067,HOP62_LUNG,POLE2,ORC1,POLE2;ORC1,-0.19,1
19068,HOP62_LUNG,POLE2,TIMELESS,POLE2;TIMELESS,-0.19,1
19069,HOP62_LUNG,RALB,RALA,RALB;RALA,0.28,1
19070,HOP62_LUNG,RALB,MAPK9,RALB;MAPK9,-0.02,1
19071,HOP62_LUNG,RALB,RHOA,RALB;RHOA,-0.11,1
19072,HOP62_LUNG,RALB,RALGDS,RALB;RALGDS,0.34,1
19073,HOP62_LUNG,ZFP36,FOS,ZFP36;FOS,-0.26,1
19074,HOP62_LUNG,ZFP36,MAPKAPK2,ZFP36;MAPKAPK2,-0.69,1
19075,HOP62_LUNG,CASP3,HSPB1,CASP3;HSPB1,-0.66,1
19076,HOP62_LUNG,CASP3,PARP2,CASP3;PARP2,-0.4,1
19077,HOP62_LUNG,CASP3,PAK1,CASP3;PAK1,-0.32,1
19078,HOP62_LUNG,CASP3,APP,CASP3;APP,-1.15,1
19079,HOP62_LUNG,CASP3,BAX,CASP3;BAX,-0.81,1
19080,HOP62_LUNG,CASP3,BIRC5,CASP3;BIRC5,-0.8,1
19081,HOP62_LUNG,CASP3,CYCS,CASP3;CYCS,-0.54,1
19082,HOP62_LUNG,CASP3,CASP2,CASP3;CASP2,-0.34,1
19083,HOP62_LUNG,CASP3,BIRC2,CASP3;BIRC2,-0.05,1
19084,HOP62_LUNG,CASP3,CDKN1A,CASP3;CDKN1A,-0.56,1
19085,HOP62_LUNG,CASP3,PRKCD,CASP3;PRKCD,-0.36,1
19086,HOP62_LUNG,CASP3,GAPDH,CASP3;GAPDH,-0.86,1
19087,HOP62_LUNG,CASP3,BECN1,CASP3;BECN1,-0.28,1
19088,HOP62_LUNG,CASP3,CASP7,CASP3;CASP7,-0.16,1
19089,HOP62_LUNG,CASP3,PARP1,CASP3;PARP1,-0.55,1
19090,HOP62_LUNG,CASP3,MYC,CASP3;MYC,-0.53,1
19091,HOP62_LUNG,CASP3,CFLAR,CASP3;CFLAR,-0.46,1
19092,HOP62_LUNG,CASP3,DFFA,CASP3;DFFA,0.02,1
19093,HOP62_LUNG,CASP3,TJP1,CASP3;TJP1,-0.6,1
19094,HOP62_LUNG,CASP3,AKT1,CASP3;AKT1,-0.43,1
19095,HOP62_LUNG,CASP3,CDK1,CASP3;CDK1,-0.81,1
19096,HOP62_LUNG,CASP3,SPTAN1,CASP3;SPTAN1,-0.95,1
19097,HOP62_LUNG,CAST,CAPN1,CAST;CAPN1,0.35,1
19098,HOP62_LUNG,MCM3,GMNN,MCM3;GMNN,0.21,1
19099,HOP62_LUNG,MCM3,RPA1,MCM3;RPA1,0.34,1
19100,HOP62_LUNG,MCM3,TOPBP1,MCM3;TOPBP1,0.38,1
19101,HOP62_LUNG,MCM3,CDK2,MCM3;CDK2,0.14,1
19102,HOP62_LUNG,MCM3,ORC1,MCM3;ORC1,0.21,1
19103,HOP62_LUNG,MCM3,RPA2,MCM3;RPA2,0.32,1
19104,HOP62_LUNG,MCM3,PCNA,MCM3;PCNA,0.14,1
19105,HOP62_LUNG,MCM3,CHEK1,MCM3;CHEK1,0.27,1
19106,HOP62_LUNG,MCM3,CDC45,MCM3;CDC45,0.14,1
19107,HOP62_LUNG,MCM3,RFC5,MCM3;RFC5,0.32,1
19108,HOP62_LUNG,MCM3,TIMELESS,MCM3;TIMELESS,0.24,1
19109,HOP62_LUNG,MCM3,CCNA2,MCM3;CCNA2,0.12,1
19110,HOP62_LUNG,TEX10,RUVBL1,TEX10;RUVBL1,-0.82,1
19111,HOP62_LUNG,MYCBP2,SKP1,MYCBP2;SKP1,-0.78,1
19112,HOP62_LUNG,MYCBP2,MYC,MYCBP2;MYC,-0.67,1
19113,HOP62_LUNG,MYCBP2,LRPAP1,MYCBP2;LRPAP1,-0.33,1
19114,HOP62_LUNG,PLCB3,GNA11,PLCB3;GNA11,0.33,1
19115,HOP62_LUNG,PLCB3,GNAI2,PLCB3;GNAI2,-0.35,1
19116,HOP62_LUNG,PLCB3,PRKCD,PLCB3;PRKCD,-0.28,1
19117,HOP62_LUNG,PIK3R4,PIK3C3,PIK3R4;PIK3C3,0.02,1
19118,HOP62_LUNG,PIK3R4,ATG3,PIK3R4;ATG3,0.28,1
19119,HOP62_LUNG,PIK3R4,BECN1,PIK3R4;BECN1,-0.13,1
19120,HOP62_LUNG,RRAGA,NPRL2,RRAGA;NPRL2,0.5,1
19121,HOP62_LUNG,RRAGA,RHEB,RRAGA;RHEB,-0.62,1
19122,HOP62_LUNG,GNB5,CDK7,GNB5;CDK7,-0.12,1
19123,HOP62_LUNG,GNB5,MNAT1,GNB5;MNAT1,-0.19,1
19124,HOP62_LUNG,GNB5,CCNH,GNB5;CCNH,-0.11,1
19125,HOP62_LUNG,GNB5,PCNA,GNB5;PCNA,-0.42,1
19126,HOP62_LUNG,GNB5,GNAI2,GNB5;GNAI2,-0.2,1
19127,HOP62_LUNG,GNB5,GNAS,GNB5;GNAS,-0.86,1
19128,HOP62_LUNG,CALM3,PIK3C3,CALM3;PIK3C3,0.15,1
19129,HOP62_LUNG,CALM3,IQGAP1,CALM3;IQGAP1,0.23,1
19130,HOP62_LUNG,CALM3,PHKB,CALM3;PHKB,0.02,1
19131,HOP62_LUNG,CALM3,PHKG2,CALM3;PHKG2,0.02,1
19132,HOP62_LUNG,CALM3,CREB1,CALM3;CREB1,0.16,1
19133,HOP62_LUNG,CALM3,SRC,CALM3;SRC,0.04,1
19134,HOP62_LUNG,CALM3,SPTAN1,CALM3;SPTAN1,0.03,1
19135,HOP62_LUNG,CALM3,NRAS,CALM3;NRAS,0.15,1
19136,HOP62_LUNG,CALM3,CCP110,CALM3;CCP110,0.32,1
19137,HOP62_LUNG,CALM3,PRKACA,CALM3;PRKACA,0.15,1
19138,HOP62_LUNG,PMM2,HK1,PMM2;HK1,-0.86,1
19139,HOP62_LUNG,PNKP,POLB,PNKP;POLB,-0.5,1
19140,HOP62_LUNG,PIH1D1,RUVBL1,PIH1D1;RUVBL1,0.19,1
19141,HOP62_LUNG,PARP1,PARP2,PARP1;PARP2,0.09,1
19142,HOP62_LUNG,PARP1,DDB2,PARP1;DDB2,-0.03,1
19143,HOP62_LUNG,PARP1,POLB,PARP1;POLB,-0.0,1
19144,HOP62_LUNG,PARP1,CYCS,PARP1;CYCS,-0.33,1
19145,HOP62_LUNG,PARP1,SMAD3,PARP1;SMAD3,0.01,1
19146,HOP62_LUNG,PARP1,DNMT1,PARP1;DNMT1,-0.08,1
19147,HOP62_LUNG,PARP1,TIMELESS,PARP1;TIMELESS,0.0,1
19148,HOP62_LUNG,PARP1,TP53BP1,PARP1;TP53BP1,0.06,1
19149,HOP62_LUNG,PARP1,HDAC2,PARP1;HDAC2,-0.11,1
19150,HOP62_LUNG,PARP1,CDKN1A,PARP1;CDKN1A,0.04,1
19151,HOP62_LUNG,PARP1,BRCA1,PARP1;BRCA1,0.08,1
19152,HOP62_LUNG,PARP1,CHEK1,PARP1;CHEK1,-0.02,1
19153,HOP62_LUNG,PARP1,CASP7,PARP1;CASP7,0.08,1
19154,HOP62_LUNG,PARP1,TIPARP,PARP1;TIPARP,0.07,1
19155,HOP62_LUNG,PARP1,PCNA,PARP1;PCNA,-0.02,1
19156,HOP62_LUNG,PARP1,RPA2,PARP1;RPA2,0.04,1
19157,HOP62_LUNG,NFE2L2,JUN,NFE2L2;JUN,0.2,1
19158,HOP62_LUNG,NFE2L2,SQSTM1,NFE2L2;SQSTM1,-0.15,1
19159,HOP62_LUNG,NFE2L2,AKT1,NFE2L2;AKT1,0.05,1
19160,HOP62_LUNG,NFE2L2,MYC,NFE2L2;MYC,0.04,1
19161,HOP62_LUNG,DNAJB6,STUB1,DNAJB6;STUB1,0.33,1
19162,HOP62_LUNG,DNAJB6,BAG3,DNAJB6;BAG3,0.5,1
19163,HOP62_LUNG,DNAJB6,HSPA1A,DNAJB6;HSPA1A,0.47,1
19164,HOP62_LUNG,DNAJB6,HSPA8,DNAJB6;HSPA8,0.29,1
19165,HOP62_LUNG,HEATR1,CEBPZ,HEATR1;CEBPZ,-0.75,1
19166,HOP62_LUNG,HEATR1,DDX10,HEATR1;DDX10,-0.53,1
19167,HOP62_LUNG,HEATR1,EXOSC4,HEATR1;EXOSC4,-0.91,1
19168,HOP62_LUNG,HEATR1,DNTTIP2,HEATR1;DNTTIP2,0.03,1
19169,HOP62_LUNG,HEATR1,RPS6,HEATR1;RPS6,-1.28,1
19170,HOP62_LUNG,HEATR1,RRP12,HEATR1;RRP12,-0.4,1
19171,HOP62_LUNG,HEATR1,RPS5,HEATR1;RPS5,-0.71,1
19172,HOP62_LUNG,HEATR1,RPP38,HEATR1;RPP38,-1.17,1
19173,HOP62_LUNG,HEATR1,UTP14A,HEATR1;UTP14A,0.27,1
19174,HOP62_LUNG,PSMD10,PSMD4,PSMD10;PSMD4,0.32,1
19175,HOP62_LUNG,PSMD10,USP14,PSMD10;USP14,0.3,1
19176,HOP62_LUNG,PSMD10,CDK4,PSMD10;CDK4,-0.42,1
19177,HOP62_LUNG,PSMD10,PSMD9,PSMD10;PSMD9,0.32,1
19178,HOP62_LUNG,PSMD10,PSMD2,PSMD10;PSMD2,0.3,1
19179,HOP62_LUNG,PSMD2,USP14,PSMD2;USP14,0.4,1
19180,HOP62_LUNG,PSMD2,PSMB10,PSMD2;PSMB10,0.22,1
19181,HOP62_LUNG,PSMD2,PSMD4,PSMD2;PSMD4,0.54,1
19182,HOP62_LUNG,PSMD2,PSMD9,PSMD2;PSMD9,0.52,1
19183,HOP62_LUNG,G3BP1,RASA1,G3BP1;RASA1,-0.08,1
19184,HOP62_LUNG,G3BP1,HDAC6,G3BP1;HDAC6,-0.05,1
19185,HOP62_LUNG,G3BP1,ELAVL1,G3BP1;ELAVL1,0.01,1
19186,HOP62_LUNG,G3BP1,EIF4G1,G3BP1;EIF4G1,-0.35,1
19187,HOP62_LUNG,SPTAN1,STXBP1,SPTAN1;STXBP1,-0.12,1
19188,HOP62_LUNG,MAPKAPK5,HSPB1,MAPKAPK5;HSPB1,-0.52,1
19189,HOP62_LUNG,MAPKAPK5,DNAJB1,MAPKAPK5;DNAJB1,-0.19,1
19190,HOP62_LUNG,MRPS16,OXA1L,MRPS16;OXA1L,0.35,1
19191,HOP62_LUNG,MRPS16,PSMG1,MRPS16;PSMG1,0.24,1
19192,HOP62_LUNG,MRPS16,MRPL12,MRPS16;MRPL12,0.45,1
19193,HOP62_LUNG,MRPS16,MRPS2,MRPS16;MRPS2,0.39,1
19194,HOP62_LUNG,MRPS16,MRPL19,MRPS16;MRPL19,0.56,1
19195,HOP62_LUNG,MRPS16,RPS5,MRPS16;RPS5,-0.35,1
19196,HOP62_LUNG,MRPS16,POLR1C,MRPS16;POLR1C,0.08,1
19197,HOP62_LUNG,POLB,PARP2,POLB;PARP2,0.13,1
19198,HOP62_LUNG,POLB,LIG1,POLB;LIG1,0.19,1
19199,HOP62_LUNG,SOX4,EZH2,SOX4;EZH2,-0.81,1
19200,HOP62_LUNG,BUB1B,ZW10,BUB1B;ZW10,0.04,1
19201,HOP62_LUNG,BUB1B,AURKA,BUB1B;AURKA,0.28,1
19202,HOP62_LUNG,BUB1B,CCNB1,BUB1B;CCNB1,0.09,1
19203,HOP62_LUNG,BUB1B,PPP2R5A,BUB1B;PPP2R5A,-0.25,1
19204,HOP62_LUNG,BUB1B,CENPE,BUB1B;CENPE,0.26,1
19205,HOP62_LUNG,BUB1B,PLK1,BUB1B;PLK1,0.2,1
19206,HOP62_LUNG,BUB1B,KIF14,BUB1B;KIF14,0.14,1
19207,HOP62_LUNG,BUB1B,JUN,BUB1B;JUN,-0.4,1
19208,HOP62_LUNG,BUB1B,AURKB,BUB1B;AURKB,0.29,1
19209,HOP62_LUNG,BUB1B,CDC20,BUB1B;CDC20,0.26,1
19210,HOP62_LUNG,BUB1B,BRCA1,BUB1B;BRCA1,-0.21,1
19211,HOP62_LUNG,BUB1B,CCNB2,BUB1B;CCNB2,0.19,1
19212,HOP62_LUNG,BUB1B,BIRC5,BUB1B;BIRC5,0.25,1
19213,HOP62_LUNG,BUB1B,KIF2C,BUB1B;KIF2C,0.35,1
19214,HOP62_LUNG,BUB1B,TOP2A,BUB1B;TOP2A,0.3,1
19215,HOP62_LUNG,BUB1B,CHEK1,BUB1B;CHEK1,-0.12,1
19216,HOP62_LUNG,BUB1B,CCNA2,BUB1B;CCNA2,0.02,1
19217,HOP62_LUNG,BUB1B,KIF20A,BUB1B;KIF20A,0.34,1
19218,HOP62_LUNG,BUB1B,UBE2C,BUB1B;UBE2C,0.35,1
19219,HOP62_LUNG,BUB1B,CDK1,BUB1B;CDK1,0.09,1
19220,HOP62_LUNG,BUB1B,NUSAP1,BUB1B;NUSAP1,0.28,1
19221,HOP62_LUNG,BUB1B,MELK,BUB1B;MELK,0.34,1
19222,HOP62_LUNG,BUB1B,RAE1,BUB1B;RAE1,-0.95,1
19223,HOP62_LUNG,COASY,HMGCS1,COASY;HMGCS1,-0.07,1
19224,HOP62_LUNG,SKIV2L,EXOSC4,SKIV2L;EXOSC4,-0.05,1
19225,HOP62_LUNG,SKIV2L,WDR61,SKIV2L;WDR61,-0.21,1
19226,HOP62_LUNG,CDKN1B,CCND1,CDKN1B;CCND1,0.16,1
19227,HOP62_LUNG,CDKN1B,CDK4,CDKN1B;CDK4,0.18,1
19228,HOP62_LUNG,CDKN1B,MYC,CDKN1B;MYC,0.06,1
19229,HOP62_LUNG,CDKN1B,CCND3,CDKN1B;CCND3,0.2,1
19230,HOP62_LUNG,CDKN1B,CDKN1A,CDKN1B;CDKN1A,0.24,1
19231,HOP62_LUNG,CDKN1B,CCNB1,CDKN1B;CCNB1,-0.1,1
19232,HOP62_LUNG,CDKN1B,CCNB2,CDKN1B;CCNB2,-0.18,1
19233,HOP62_LUNG,CDKN1B,CDK7,CDKN1B;CDK7,-0.29,1
19234,HOP62_LUNG,CDKN1B,DDB2,CDKN1B;DDB2,-0.24,1
19235,HOP62_LUNG,CDKN1B,STMN1,CDKN1B;STMN1,0.11,1
19236,HOP62_LUNG,CDKN1B,FOXO3,CDKN1B;FOXO3,-0.09,1
19237,HOP62_LUNG,CDKN1B,RHOA,CDKN1B;RHOA,-0.43,1
19238,HOP62_LUNG,CDKN1B,AKT1,CDKN1B;AKT1,-0.24,1
19239,HOP62_LUNG,CDKN1B,CDK2,CDKN1B;CDK2,0.11,1
19240,HOP62_LUNG,CDKN1B,CDK1,CDKN1B;CDK1,-0.09,1
19241,HOP62_LUNG,CDKN1B,CCNE2,CDKN1B;CCNE2,0.19,1
19242,HOP62_LUNG,CDKN1B,SKP1,CDKN1B;SKP1,-0.06,1
19243,HOP62_LUNG,CDKN1B,CCNA2,CDKN1B;CCNA2,-0.06,1
19244,HOP62_LUNG,RRP8,SUV39H1,RRP8;SUV39H1,-1.26,1
19245,HOP62_LUNG,RRP8,EBNA1BP2,RRP8;EBNA1BP2,-2.24,1
19246,HOP62_LUNG,ACLY,PCK2,ACLY;PCK2,0.25,1
19247,HOP62_LUNG,ACLY,HMGCS1,ACLY;HMGCS1,-0.29,1
19248,HOP62_LUNG,ACLY,ACAA1,ACLY;ACAA1,-0.14,1
19249,HOP62_LUNG,ACLY,SDHB,ACLY;SDHB,-0.38,1
19250,HOP62_LUNG,CDK4,CCND1,CDK4;CCND1,0.35,1
19251,HOP62_LUNG,CDK4,CCNB1,CDK4;CCNB1,0.23,1
19252,HOP62_LUNG,CDK4,CDK2,CDK4;CDK2,0.32,1
19253,HOP62_LUNG,CDK4,CCNE2,CDK4;CCNE2,0.46,1
19254,HOP62_LUNG,CDK4,RB1,CDK4;RB1,0.32,1
19255,HOP62_LUNG,CDK4,CCNA2,CDK4;CCNA2,0.24,1
19256,HOP62_LUNG,CDK4,CCND3,CDK4;CCND3,0.46,1
19257,HOP62_LUNG,CDK4,CDKN1A,CDK4;CDKN1A,0.37,1
19258,HOP62_LUNG,CDK4,BRCA1,CDK4;BRCA1,0.29,1
19259,HOP62_LUNG,CDK4,BIRC5,CDK4;BIRC5,0.19,1
19260,HOP62_LUNG,CDK4,MYC,CDK4;MYC,0.27,1
19261,HOP62_LUNG,CDK4,PCNA,CDK4;PCNA,0.21,1
19262,HOP62_LUNG,CDK4,CDC25A,CDK4;CDC25A,0.38,1
19263,HOP62_LUNG,CDK4,SMAD3,CDK4;SMAD3,0.31,1
