,Patient,Gene1,Gene2,Edge,Curvature,Response
27,A549_LUNG,HSPA4,BAG3,HSPA4;BAG3,0.16,0
28,A549_LUNG,MTA1,HDAC2,MTA1;HDAC2,-0.43,0
29,A549_LUNG,POLE2,POLG2,POLE2;POLG2,-0.24,0
30,A549_LUNG,POLE2,MCM3,POLE2;MCM3,-0.11,0
31,A549_LUNG,POLE2,CDC45,POLE2;CDC45,-0.28,0
32,A549_LUNG,POLE2,ORC1,POLE2;ORC1,-0.17,0
33,A549_LUNG,POLE2,TIMELESS,POLE2;TIMELESS,-0.18,0
34,A549_LUNG,RALB,RALA,RALB;RALA,0.44,0
35,A549_LUNG,RALB,MAPK9,RALB;MAPK9,0.16,0
36,A549_LUNG,RALB,RHOA,RALB;RHOA,0.08,0
37,A549_LUNG,RALB,RALGDS,RALB;RALGDS,0.46,0
38,A549_LUNG,ZFP36,FOS,ZFP36;FOS,-0.09,0
39,A549_LUNG,ZFP36,MAPKAPK2,ZFP36;MAPKAPK2,-0.44,0
40,A549_LUNG,CASP3,HSPB1,CASP3;HSPB1,-0.8,0
41,A549_LUNG,CASP3,PARP2,CASP3;PARP2,-0.47,0
42,A549_LUNG,CASP3,PAK1,CASP3;PAK1,-0.46,0
43,A549_LUNG,CASP3,APP,CASP3;APP,-1.19,0
44,A549_LUNG,CASP3,BAX,CASP3;BAX,-1.12,0
45,A549_LUNG,CASP3,BIRC5,CASP3;BIRC5,-0.9,0
46,A549_LUNG,CASP3,CYCS,CASP3;CYCS,-0.67,0
47,A549_LUNG,CASP3,CASP2,CASP3;CASP2,-0.59,0
48,A549_LUNG,CASP3,BIRC2,CASP3;BIRC2,-0.09,0
49,A549_LUNG,CASP3,CDKN1A,CASP3;CDKN1A,-0.55,0
50,A549_LUNG,CASP3,PRKCD,CASP3;PRKCD,-0.4,0
51,A549_LUNG,CASP3,GAPDH,CASP3;GAPDH,-1.02,0
52,A549_LUNG,CASP3,BECN1,CASP3;BECN1,-0.38,0
53,A549_LUNG,CASP3,CASP7,CASP3;CASP7,-0.23,0
54,A549_LUNG,CASP3,PARP1,CASP3;PARP1,-0.64,0
55,A549_LUNG,CASP3,MYC,CASP3;MYC,-0.67,0
56,A549_LUNG,CASP3,CFLAR,CASP3;CFLAR,-0.72,0
57,A549_LUNG,CASP3,DFFA,CASP3;DFFA,-0.05,0
58,A549_LUNG,CASP3,TJP1,CASP3;TJP1,-0.61,0
59,A549_LUNG,CASP3,AKT1,CASP3;AKT1,-0.47,0
60,A549_LUNG,CASP3,CDK1,CASP3;CDK1,-0.92,0
61,A549_LUNG,CASP3,SPTAN1,CASP3;SPTAN1,-1.43,0
62,A549_LUNG,CAST,CAPN1,CAST;CAPN1,0.52,0
63,A549_LUNG,MCM3,GMNN,MCM3;GMNN,0.21,0
64,A549_LUNG,MCM3,RPA1,MCM3;RPA1,0.29,0
65,A549_LUNG,MCM3,TOPBP1,MCM3;TOPBP1,0.31,0
66,A549_LUNG,MCM3,CDK2,MCM3;CDK2,0.09,0
67,A549_LUNG,MCM3,ORC1,MCM3;ORC1,0.22,0
68,A549_LUNG,MCM3,RPA2,MCM3;RPA2,0.3,0
69,A549_LUNG,MCM3,PCNA,MCM3;PCNA,0.07,0
70,A549_LUNG,MCM3,CHEK1,MCM3;CHEK1,0.25,0
71,A549_LUNG,MCM3,CDC45,MCM3;CDC45,0.24,0
72,A549_LUNG,MCM3,RFC5,MCM3;RFC5,0.25,0
73,A549_LUNG,MCM3,TIMELESS,MCM3;TIMELESS,0.22,0
74,A549_LUNG,MCM3,CCNA2,MCM3;CCNA2,0.06,0
75,A549_LUNG,TEX10,RUVBL1,TEX10;RUVBL1,-0.2,0
76,A549_LUNG,MYCBP2,SKP1,MYCBP2;SKP1,-0.43,0
77,A549_LUNG,MYCBP2,MYC,MYCBP2;MYC,-0.5,0
78,A549_LUNG,MYCBP2,LRPAP1,MYCBP2;LRPAP1,-0.02,0
79,A549_LUNG,PLCB3,GNA11,PLCB3;GNA11,0.33,0
80,A549_LUNG,PLCB3,GNAI2,PLCB3;GNAI2,-0.28,0
81,A549_LUNG,PLCB3,PRKCD,PLCB3;PRKCD,-0.09,0
82,A549_LUNG,PIK3R4,PIK3C3,PIK3R4;PIK3C3,-0.19,0
83,A549_LUNG,PIK3R4,ATG3,PIK3R4;ATG3,0.23,0
84,A549_LUNG,PIK3R4,BECN1,PIK3R4;BECN1,-0.17,0
85,A549_LUNG,RRAGA,NPRL2,RRAGA;NPRL2,0.5,0
86,A549_LUNG,RRAGA,RHEB,RRAGA;RHEB,-0.41,0
87,A549_LUNG,GNB5,CDK7,GNB5;CDK7,0.01,0
88,A549_LUNG,GNB5,MNAT1,GNB5;MNAT1,-0.1,0
89,A549_LUNG,GNB5,CCNH,GNB5;CCNH,0.04,0
90,A549_LUNG,GNB5,PCNA,GNB5;PCNA,-0.36,0
91,A549_LUNG,GNB5,GNAI2,GNB5;GNAI2,-0.05,0
92,A549_LUNG,GNB5,GNAS,GNB5;GNAS,-0.69,0
93,A549_LUNG,CALM3,PIK3C3,CALM3;PIK3C3,0.26,0
94,A549_LUNG,CALM3,IQGAP1,CALM3;IQGAP1,0.31,0
95,A549_LUNG,CALM3,PHKB,CALM3;PHKB,0.03,0
96,A549_LUNG,CALM3,PHKG2,CALM3;PHKG2,0.03,0
97,A549_LUNG,CALM3,CREB1,CALM3;CREB1,0.24,0
98,A549_LUNG,CALM3,SRC,CALM3;SRC,0.1,0
99,A549_LUNG,CALM3,SPTAN1,CALM3;SPTAN1,0.15,0
100,A549_LUNG,CALM3,NRAS,CALM3;NRAS,0.24,0
101,A549_LUNG,CALM3,CCP110,CALM3;CCP110,0.39,0
102,A549_LUNG,CALM3,PRKACA,CALM3;PRKACA,0.23,0
103,A549_LUNG,PMM2,HK1,PMM2;HK1,-0.38,0
104,A549_LUNG,PNKP,POLB,PNKP;POLB,-0.19,0
105,A549_LUNG,PIH1D1,RUVBL1,PIH1D1;RUVBL1,0.07,0
106,A549_LUNG,PARP1,PARP2,PARP1;PARP2,0.07,0
107,A549_LUNG,PARP1,DDB2,PARP1;DDB2,-0.1,0
108,A549_LUNG,PARP1,POLB,PARP1;POLB,0.02,0
109,A549_LUNG,PARP1,CYCS,PARP1;CYCS,-0.41,0
110,A549_LUNG,PARP1,SMAD3,PARP1;SMAD3,0.05,0
111,A549_LUNG,PARP1,DNMT1,PARP1;DNMT1,-0.11,0
112,A549_LUNG,PARP1,TIMELESS,PARP1;TIMELESS,-0.01,0
113,A549_LUNG,PARP1,TP53BP1,PARP1;TP53BP1,0.09,0
114,A549_LUNG,PARP1,HDAC2,PARP1;HDAC2,-0.05,0
115,A549_LUNG,PARP1,CDKN1A,PARP1;CDKN1A,0.06,0
116,A549_LUNG,PARP1,BRCA1,PARP1;BRCA1,0.11,0
117,A549_LUNG,PARP1,CHEK1,PARP1;CHEK1,0.04,0
118,A549_LUNG,PARP1,CASP7,PARP1;CASP7,0.06,0
119,A549_LUNG,PARP1,TIPARP,PARP1;TIPARP,0.08,0
120,A549_LUNG,PARP1,PCNA,PARP1;PCNA,-0.0,0
121,A549_LUNG,PARP1,RPA2,PARP1;RPA2,0.08,0
122,A549_LUNG,NFE2L2,JUN,NFE2L2;JUN,0.31,0
123,A549_LUNG,NFE2L2,SQSTM1,NFE2L2;SQSTM1,-0.14,0
124,A549_LUNG,NFE2L2,AKT1,NFE2L2;AKT1,0.16,0
125,A549_LUNG,NFE2L2,MYC,NFE2L2;MYC,0.18,0
126,A549_LUNG,DNAJB6,STUB1,DNAJB6;STUB1,0.19,0
127,A549_LUNG,DNAJB6,BAG3,DNAJB6;BAG3,0.38,0
128,A549_LUNG,DNAJB6,HSPA1A,DNAJB6;HSPA1A,0.33,0
129,A549_LUNG,DNAJB6,HSPA8,DNAJB6;HSPA8,0.11,0
130,A549_LUNG,HEATR1,CEBPZ,HEATR1;CEBPZ,-0.61,0
131,A549_LUNG,HEATR1,DDX10,HEATR1;DDX10,-0.37,0
132,A549_LUNG,HEATR1,EXOSC4,HEATR1;EXOSC4,-0.59,0
133,A549_LUNG,HEATR1,DNTTIP2,HEATR1;DNTTIP2,0.04,0
134,A549_LUNG,HEATR1,RPS6,HEATR1;RPS6,-0.66,0
135,A549_LUNG,HEATR1,RRP12,HEATR1;RRP12,-0.3,0
136,A549_LUNG,HEATR1,RPS5,HEATR1;RPS5,-0.46,0
137,A549_LUNG,HEATR1,RPP38,HEATR1;RPP38,-0.75,0
138,A549_LUNG,HEATR1,UTP14A,HEATR1;UTP14A,0.29,0
139,A549_LUNG,PSMD10,PSMD4,PSMD10;PSMD4,0.36,0
140,A549_LUNG,PSMD10,USP14,PSMD10;USP14,0.38,0
141,A549_LUNG,PSMD10,CDK4,PSMD10;CDK4,-0.31,0
142,A549_LUNG,PSMD10,PSMD9,PSMD10;PSMD9,0.32,0
143,A549_LUNG,PSMD10,PSMD2,PSMD10;PSMD2,0.33,0
144,A549_LUNG,PSMD2,USP14,PSMD2;USP14,0.44,0
145,A549_LUNG,PSMD2,PSMB10,PSMD2;PSMB10,0.27,0
146,A549_LUNG,PSMD2,PSMD4,PSMD2;PSMD4,0.54,0
147,A549_LUNG,PSMD2,PSMD9,PSMD2;PSMD9,0.53,0
148,A549_LUNG,G3BP1,RASA1,G3BP1;RASA1,0.17,0
149,A549_LUNG,G3BP1,HDAC6,G3BP1;HDAC6,0.23,0
150,A549_LUNG,G3BP1,ELAVL1,G3BP1;ELAVL1,0.22,0
151,A549_LUNG,G3BP1,EIF4G1,G3BP1;EIF4G1,-0.13,0
152,A549_LUNG,SPTAN1,STXBP1,SPTAN1;STXBP1,0.01,0
153,A549_LUNG,MAPKAPK5,HSPB1,MAPKAPK5;HSPB1,-0.38,0
154,A549_LUNG,MAPKAPK5,DNAJB1,MAPKAPK5;DNAJB1,-0.22,0
155,A549_LUNG,MRPS16,OXA1L,MRPS16;OXA1L,0.36,0
156,A549_LUNG,MRPS16,PSMG1,MRPS16;PSMG1,0.23,0
157,A549_LUNG,MRPS16,MRPL12,MRPS16;MRPL12,0.45,0
158,A549_LUNG,MRPS16,MRPS2,MRPS16;MRPS2,0.38,0
159,A549_LUNG,MRPS16,MRPL19,MRPS16;MRPL19,0.56,0
160,A549_LUNG,MRPS16,RPS5,MRPS16;RPS5,-0.33,0
161,A549_LUNG,MRPS16,POLR1C,MRPS16;POLR1C,0.17,0
162,A549_LUNG,POLB,PARP2,POLB;PARP2,0.05,0
163,A549_LUNG,POLB,LIG1,POLB;LIG1,0.01,0
164,A549_LUNG,SOX4,EZH2,SOX4;EZH2,-0.5,0
165,A549_LUNG,BUB1B,ZW10,BUB1B;ZW10,0.04,0
166,A549_LUNG,BUB1B,AURKA,BUB1B;AURKA,0.29,0
167,A549_LUNG,BUB1B,CCNB1,BUB1B;CCNB1,0.15,0
168,A549_LUNG,BUB1B,PPP2R5A,BUB1B;PPP2R5A,-0.34,0
169,A549_LUNG,BUB1B,CENPE,BUB1B;CENPE,0.25,0
170,A549_LUNG,BUB1B,PLK1,BUB1B;PLK1,0.16,0
171,A549_LUNG,BUB1B,KIF14,BUB1B;KIF14,0.19,0
172,A549_LUNG,BUB1B,JUN,BUB1B;JUN,-0.3,0
173,A549_LUNG,BUB1B,AURKB,BUB1B;AURKB,0.28,0
174,A549_LUNG,BUB1B,CDC20,BUB1B;CDC20,0.27,0
175,A549_LUNG,BUB1B,BRCA1,BUB1B;BRCA1,-0.16,0
176,A549_LUNG,BUB1B,CCNB2,BUB1B;CCNB2,0.22,0
177,A549_LUNG,BUB1B,BIRC5,BUB1B;BIRC5,0.25,0
178,A549_LUNG,BUB1B,KIF2C,BUB1B;KIF2C,0.36,0
179,A549_LUNG,BUB1B,TOP2A,BUB1B;TOP2A,0.3,0
180,A549_LUNG,BUB1B,CHEK1,BUB1B;CHEK1,-0.14,0
181,A549_LUNG,BUB1B,CCNA2,BUB1B;CCNA2,0.07,0
182,A549_LUNG,BUB1B,KIF20A,BUB1B;KIF20A,0.35,0
183,A549_LUNG,BUB1B,UBE2C,BUB1B;UBE2C,0.35,0
184,A549_LUNG,BUB1B,CDK1,BUB1B;CDK1,0.13,0
185,A549_LUNG,BUB1B,NUSAP1,BUB1B;NUSAP1,0.27,0
186,A549_LUNG,BUB1B,MELK,BUB1B;MELK,0.32,0
187,A549_LUNG,BUB1B,RAE1,BUB1B;RAE1,-1.06,0
188,A549_LUNG,COASY,HMGCS1,COASY;HMGCS1,0.1,0
189,A549_LUNG,SKIV2L,EXOSC4,SKIV2L;EXOSC4,-0.44,0
190,A549_LUNG,SKIV2L,WDR61,SKIV2L;WDR61,-0.45,0
191,A549_LUNG,CDKN1B,CCND1,CDKN1B;CCND1,0.05,0
192,A549_LUNG,CDKN1B,CDK4,CDKN1B;CDK4,0.06,0
193,A549_LUNG,CDKN1B,MYC,CDKN1B;MYC,-0.19,0
194,A549_LUNG,CDKN1B,CCND3,CDKN1B;CCND3,0.15,0
195,A549_LUNG,CDKN1B,CDKN1A,CDKN1B;CDKN1A,0.17,0
196,A549_LUNG,CDKN1B,CCNB1,CDKN1B;CCNB1,-0.31,0
197,A549_LUNG,CDKN1B,CCNB2,CDKN1B;CCNB2,-0.5,0
198,A549_LUNG,CDKN1B,CDK7,CDKN1B;CDK7,-0.53,0
199,A549_LUNG,CDKN1B,DDB2,CDKN1B;DDB2,-0.78,0
200,A549_LUNG,CDKN1B,STMN1,CDKN1B;STMN1,0.08,0
201,A549_LUNG,CDKN1B,FOXO3,CDKN1B;FOXO3,-0.38,0
202,A549_LUNG,CDKN1B,RHOA,CDKN1B;RHOA,-0.88,0
203,A549_LUNG,CDKN1B,AKT1,CDKN1B;AKT1,-0.54,0
204,A549_LUNG,CDKN1B,CDK2,CDKN1B;CDK2,-0.02,0
205,A549_LUNG,CDKN1B,CDK1,CDKN1B;CDK1,-0.34,0
206,A549_LUNG,CDKN1B,CCNE2,CDKN1B;CCNE2,0.16,0
207,A549_LUNG,CDKN1B,SKP1,CDKN1B;SKP1,-0.38,0
208,A549_LUNG,CDKN1B,CCNA2,CDKN1B;CCNA2,-0.28,0
209,A549_LUNG,RRP8,SUV39H1,RRP8;SUV39H1,-0.55,0
210,A549_LUNG,RRP8,EBNA1BP2,RRP8;EBNA1BP2,-1.41,0
211,A549_LUNG,ACLY,PCK2,ACLY;PCK2,0.25,0
212,A549_LUNG,ACLY,HMGCS1,ACLY;HMGCS1,-0.04,0
213,A549_LUNG,ACLY,ACAA1,ACLY;ACAA1,0.01,0
214,A549_LUNG,ACLY,SDHB,ACLY;SDHB,-0.09,0
215,A549_LUNG,CDK4,CCND1,CDK4;CCND1,0.29,0
216,A549_LUNG,CDK4,CCNB1,CDK4;CCNB1,0.15,0
217,A549_LUNG,CDK4,CDK2,CDK4;CDK2,0.28,0
218,A549_LUNG,CDK4,CCNE2,CDK4;CCNE2,0.55,0
219,A549_LUNG,CDK4,RB1,CDK4;RB1,0.3,0
220,A549_LUNG,CDK4,CCNA2,CDK4;CCNA2,0.16,0
221,A549_LUNG,CDK4,CCND3,CDK4;CCND3,0.4,0
222,A549_LUNG,CDK4,CDKN1A,CDK4;CDKN1A,0.35,0
223,A549_LUNG,CDK4,BRCA1,CDK4;BRCA1,0.3,0
224,A549_LUNG,CDK4,BIRC5,CDK4;BIRC5,0.28,0
