,Edge,U,pval,adj_pvals
0,CXCL10;CCL5,70.5,0.9537653141574419,1.0
1,CXCL10;GBP1,72.0,1.0,1.0
2,CXCL10;CCL4,70.5,0.9537653141574419,1.0
3,CCL5;CCL4,69.0,0.8853249830125934,1.0
