,Edge,U,pval,adj_pvals
0,HSP90AB1;RIPK3,103.0,0.48212845272645555,1.0
1,HSP90AB1;RIPK1,105.0,0.5321120497969969,1.0
2,HSP90AB1;ERBB2,92.0,0.28939027292666875,0.9794645660778623
3,HSP90AB1;NOS3,139.0,0.5330788066700307,1.0
4,HSP90AB1;HSPA4,89.0,0.23871971995410568,0.9794645660778623
5,HSP90AB1;HSP90AA1,128.0,0.822352104416707,1.0
6,HSPA4;ERBB2,123.0,0.970857279724063,1.0
7,HSPA4;CD40,131.0,0.7179816667337766,1.0
8,HSPA4;HSP90AA1,84.0,0.17310779591567305,0.9794645660778623
9,HSP90AA1;RIPK3,98.0,0.3630138814692181,0.9794645660778623
10,HSP90AA1;RIPK1,105.0,0.5321120497969969,1.0
11,HSP90AA1;ERBB2,95.0,0.34218297943668396,0.9794645660778623
12,HSP90AA1;NOS3,144.0,0.41987366127047676,0.9889203053160819
13,UBA52;CD74,192.0,0.010548286689196594,0.9466260921754379
14,UBA52;RPL18A,154.0,0.24237967376143077,0.9794645660778623
15,UBA52;RPL19,141.0,0.4876012773496696,1.0
16,UBA52;RPS12,152.0,0.2730817290026436,0.9794645660778623
17,UBA52;RPL35,149.0,0.32393984559853417,0.9794645660778623
18,UBA52;RPL8,142.0,0.46498553040243185,1.0
19,UBA52;RPS11,146.0,0.380598213246381,0.9794645660778623
20,UBA52;RPS27A,150.0,0.3063423472456399,0.9794645660778623
21,UBA52;RPL37,141.0,0.4876012773496696,1.0
22,UBA52;RPS3,178.0,0.04077073095962903,0.9794645660778623
23,UBA52;RPL29,153.0,0.25741320983816585,0.9794645660778623
24,UBA52;RPS23,161.0,0.15421756010581464,0.9794645660778623
25,UBA52;RPL13,152.0,0.2730817290026436,0.9794645660778623
26,UBA52;RPL15,152.0,0.2730817290026436,0.9794645660778623
27,UBA52;RPL38,156.0,0.21419019438037834,0.9794645660778623
28,UBA52;RPL4,133.0,0.6877839774703822,1.0
29,UBA52;RPS2,149.0,0.32393984559853417,0.9794645660778623
30,UBA52;RPS21,137.0,0.5836942206964862,1.0
31,UBA52;RPL27A,154.0,0.24237967376143077,0.9794645660778623
32,UBA52;RPL21,155.0,0.22797462407405722,0.9794645660778623
33,UBA52;RPS3A,150.0,0.3063423472456399,0.9794645660778623
34,UBA52;RPS26,165.0,0.11620038292665102,0.9794645660778623
35,UBA52;RPL12,155.0,0.22797462407405722,0.9794645660778623
