,Patient,Gene1,Gene2,Edge,Curvature,Response
59,A549_LUNG,FANCA,FANCD2,FANCA;FANCD2,0.34,0
60,A549_LUNG,FANCA,FANCC,FANCA;FANCC,0.44,0
61,A549_LUNG,FANCA,RMI2,FANCA;RMI2,0.3,0
62,A549_LUNG,FANCA,ERCC4,FANCA;ERCC4,0.29,0
63,A549_LUNG,FANCA,FANCF,FANCA;FANCF,0.44,0
64,A549_LUNG,FANCA,ATR,FANCA;ATR,0.32,0
65,A549_LUNG,FANCA,BLM,FANCA;BLM,0.38,0
66,A549_LUNG,FANCA,FANCG,FANCA;FANCG,0.47,0
67,A549_LUNG,FANCA,BRCA2,FANCA;BRCA2,0.19,0
68,A549_LUNG,FANCA,BRCA1,FANCA;BRCA1,0.09,0
69,A549_LUNG,ERCC2,DDB2,ERCC2;DDB2,-0.07,0
70,A549_LUNG,ERCC2,ATM,ERCC2;ATM,-0.31,0
71,A549_LUNG,ERCC2,XPC,ERCC2;XPC,-0.0,0
72,A549_LUNG,ERCC2,ERCC3,ERCC2;ERCC3,0.32,0
73,A549_LUNG,ERCC2,ERCC4,ERCC2;ERCC4,-0.11,0
74,A549_LUNG,ERCC2,XPA,ERCC2;XPA,0.19,0
75,A549_LUNG,ERCC2,TCEA1,ERCC2;TCEA1,-0.34,0
76,A549_LUNG,ERCC2,POLR2A,ERCC2;POLR2A,-0.51,0
77,A549_LUNG,ERCC2,BRCA1,ERCC2;BRCA1,-0.45,0
78,A549_LUNG,ERCC2,ERCC5,ERCC2;ERCC5,0.09,0
79,A549_LUNG,CHEK2,MSH2,CHEK2;MSH2,0.04,0
80,A549_LUNG,CHEK2,MSH6,CHEK2;MSH6,-0.03,0
81,A549_LUNG,CHEK2,MDM2,CHEK2;MDM2,-0.55,0
82,A549_LUNG,CHEK2,BARD1,CHEK2;BARD1,0.19,0
83,A549_LUNG,CHEK2,PALB2,CHEK2;PALB2,0.16,0
84,A549_LUNG,CHEK2,NBN,CHEK2;NBN,0.25,0
85,A549_LUNG,CHEK2,ATM,CHEK2;ATM,0.07,0
86,A549_LUNG,CHEK2,FANCD2,CHEK2;FANCD2,0.17,0
87,A549_LUNG,CHEK2,PPM1D,CHEK2;PPM1D,-0.0,0
88,A549_LUNG,CHEK2,ATR,CHEK2;ATR,0.12,0
89,A549_LUNG,CHEK2,MDM4,CHEK2;MDM4,0.13,0
90,A549_LUNG,CHEK2,BRCA2,CHEK2;BRCA2,-0.06,0
91,A549_LUNG,CHEK2,BRCA1,CHEK2;BRCA1,-0.08,0
92,A549_LUNG,CHEK2,RAD17,CHEK2;RAD17,0.19,0
93,A549_LUNG,PALB2,FANCE,PALB2;FANCE,-2.44,0
94,A549_LUNG,PALB2,MSH2,PALB2;MSH2,-0.0,0
95,A549_LUNG,PALB2,MSH6,PALB2;MSH6,-0.07,0
96,A549_LUNG,PALB2,BRIP1,PALB2;BRIP1,0.36,0
97,A549_LUNG,PALB2,BARD1,PALB2;BARD1,0.22,0
98,A549_LUNG,PALB2,FANCC,PALB2;FANCC,0.28,0
99,A549_LUNG,PALB2,RAD51B,PALB2;RAD51B,0.2,0
100,A549_LUNG,PALB2,ATM,PALB2;ATM,-0.06,0
101,A549_LUNG,PALB2,FANCG,PALB2;FANCG,0.27,0
102,A549_LUNG,PALB2,FANCD2,PALB2;FANCD2,0.28,0
103,A549_LUNG,PALB2,BRCA1,PALB2;BRCA1,-0.11,0
104,A549_LUNG,PALB2,BRCA2,PALB2;BRCA2,0.04,0
105,A549_LUNG,PALB2,PMS2,PALB2;PMS2,0.1,0
106,A549_LUNG,DDX6,PABPC1,DDX6;PABPC1,-1.04,0
107,A549_LUNG,DDX6,CNOT3,DDX6;CNOT3,0.04,0
108,A549_LUNG,DDX6,PIM1,DDX6;PIM1,0.17,0
109,A549_LUNG,DDX6,DICER1,DDX6;DICER1,-0.52,0
110,A549_LUNG,DDX6,LSM14A,DDX6;LSM14A,0.17,0
111,A549_LUNG,DDX6,POLR2A,DDX6;POLR2A,-0.7,0
112,A549_LUNG,GNAS,SRC,GNAS;SRC,0.28,0
113,A549_LUNG,GNAS,PRKAR1A,GNAS;PRKAR1A,0.76,0
114,A549_LUNG,CBLB,PIK3CA,CBLB;PIK3CA,-1.16,0
115,A549_LUNG,CBLB,CBL,CBLB;CBL,-1.03,0
116,A549_LUNG,CBLB,PIK3R1,CBLB;PIK3R1,-1.35,0
117,A549_LUNG,CBLB,PIK3CB,CBLB;PIK3CB,-1.44,0
118,A549_LUNG,SMC1A,STAG2,SMC1A;STAG2,0.29,0
119,A549_LUNG,SMC1A,BRD4,SMC1A;BRD4,-0.05,0
120,A549_LUNG,SMC1A,ATM,SMC1A;ATM,-0.0,0
121,A549_LUNG,SMC1A,RAD21,SMC1A;RAD21,0.43,0
122,A549_LUNG,SMC1A,CTCF,SMC1A;CTCF,0.3,0
123,A549_LUNG,SMC1A,STAG1,SMC1A;STAG1,0.32,0
124,A549_LUNG,SMC1A,BRCA1,SMC1A;BRCA1,-0.05,0
125,A549_LUNG,CASP3,MAPK1,CASP3;MAPK1,-0.2,0
126,A549_LUNG,CASP3,MDM2,CASP3;MDM2,-0.22,0
127,A549_LUNG,CASP3,BAX,CASP3;BAX,0.05,0
128,A549_LUNG,CASP3,FADD,CASP3;FADD,-0.01,0
