,Edge,U,pval,adj_pvals
0,SBDS;RPL5,122.5,0.7661592936990378,1.0
1,SBDS;RPL10,134.5,0.9472371244992238,1.0
2,IL6ST;MAPK1,122.0,0.7355336376208161,1.0
3,IL6ST;PIK3CA,104.5,0.35082436462999866,1.0
4,IL6ST;STAT3,100.0,0.2651848852822135,1.0
5,IL6ST;PIK3CB,96.0,0.19239939955194985,1.0
6,IL6ST;JAK1,93.0,0.1516506970687996,1.0
7,IL6ST;PIK3R1,103.5,0.31138606449192807,1.0
8,IL6ST;JAK2,90.5,0.1517859783222832,1.0
9,IL6ST;PTPN11,111.0,0.4430460831108939,1.0
10,CCNC;CDK4,144.0,0.7022596919846269,1.0
11,CCNC;CREBBP,138.0,0.8553350170313212,1.0
12,CCNC;BRD4,146.0,0.6536667167411176,1.0
13,CCNC;CDK6,128.5,0.9203201099845262,1.0
14,CCNC;ERCC3,138.5,0.8427396481564604,1.0
15,CCNC;CCND3,134.5,0.9471440237127817,1.0
16,CCNC;MED12,145.5,0.6673078065693094,1.0
17,CCNC;MAML2,150.5,0.5501986167986443,1.0
18,CCNC;NOTCH1,128.5,0.9211215419802538,1.0
19,CCNC;POLR2A,145.5,0.6672114555810261,1.0
20,CCNC;FBXW7,129.5,0.9470363461155412,1.0
21,KRAS;GNA11,123.5,0.7910823315820392,1.0
22,KRAS;MAPK1,137.0,0.882209984840399,1.0
23,KRAS;TSC2,126.5,0.8691775437248849,1.0
24,KRAS;CCND1,133.5,0.9736989412253806,1.0
25,KRAS;MLH1,115.0,0.5866732251284754,1.0
26,KRAS;MSH2,118.5,0.6684030596430368,1.0
27,KRAS;MSH6,110.0,0.47926638682420086,1.0
28,KRAS;MTOR,132.0,1.0,1.0
29,KRAS;PTPN11,136.5,0.8950489581907976,1.0
30,KRAS;MUTYH,112.5,0.53035535667268,1.0
31,KRAS;ARAF,132.0,1.0,1.0
32,KRAS;IDH2,139.5,0.8176610160203167,1.0
33,KRAS;MAP2K1,121.0,0.7286371440067343,1.0
34,KRAS;TET2,134.5,0.9474929246650516,1.0
35,KRAS;AKT2,133.5,0.9737150280041189,1.0
36,KRAS;PTEN,131.5,1.0,1.0
37,KRAS;POLE,108.0,0.43898837877933117,1.0
38,KRAS;ETV6,145.5,0.668471154884288,1.0
39,KRAS;LZTR1,150.5,0.5512030967132799,1.0
40,KRAS;NOTCH1,121.5,0.7420438846213959,1.0
41,KRAS;TGFBR2,97.5,0.26305459984279556,1.0
42,KRAS;ARHGEF12,121.5,0.7417940537022921,1.0
43,KRAS;CTNNB1,130.0,0.9605969349220488,1.0
44,KRAS;ERBB2,123.0,0.7786507548830922,1.0
45,KRAS;ABL1,125.0,0.8303411850086626,1.0
46,KRAS;JAK1,130.5,0.9736874325689843,1.0
47,KRAS;ASXL1,135.5,0.9212316176781847,1.0
48,KRAS;NF2,128.5,0.9211663158624883,1.0
49,KRAS;GNAQ,135.5,0.9212522056140402,1.0
50,KRAS;NPM1,134.5,0.9474883485181822,1.0
51,KRAS;BRCA1,134.0,0.9605934968560327,1.0
52,KRAS;IDH1,143.5,0.7171635064565768,1.0
53,KRAS;JAK2,131.5,1.0,1.0
54,KRAS;SMARCA4,130.0,0.9606158282132112,1.0
55,KRAS;ERBB3,86.5,0.135975030042224,1.0
56,KRAS;MYC,139.5,0.8177547868623032,1.0
57,KRAS;ATM,133.0,0.9868597483146697,1.0
58,KRAS;AFDN,137.5,0.8692058410439294,1.0
59,KRAS;HRAS,110.0,0.46503624201684657,1.0
60,KRAS;PMS2,101.5,0.32296056941763984,1.0
61,KRAS;PDGFRB,92.5,0.19905906511033522,1.0
62,KRAS;MAP2K2,127.5,0.8951219581385034,1.0
63,KRAS;NF1,142.5,0.7419136285295189,1.0
64,KRAS;MAP3K1,117.5,0.6433844464654321,1.0
65,KRAS;FAT1,154.5,0.46840636680452774,1.0
66,KRAS;JUN,119.0,0.6805957352869525,1.0
67,KRAS;SMAD4,121.5,0.7419353515739541,1.0
68,KRAS;RALGDS,107.5,0.4224045029230451,1.0
69,KRAS;RUNX1,141.0,0.7796027603333856,1.0
70,KRAS;ARHGAP35,125.0,0.8305526690094969,1.0
71,KRAS;BRAF,136.0,0.9081015144224551,1.0
72,KRAS;GNAS,120.5,0.7169387753233774,1.0
73,KRAS;AKT1,128.5,0.9211111987076528,1.0
74,KRAS;NRAS,152.0,0.5189115112523426,1.0
75,KRAS;ARHGAP26,121.5,0.7419244907370537,1.0
76,KRAS;DNMT3A,141.5,0.7669928510285896,1.0
77,KRAS;PIK3R1,129.5,0.9474448153646181,1.0
78,KRAS;EML4,129.5,0.9474814820539367,1.0
79,KRAS;MDM2,137.0,0.8821742568167257,1.0
80,KRAS;CSF1R,123.5,0.7920570382600085,1.0
81,KRAS;STK11,126.0,0.8557695850026659,1.0
82,KRAS;MET,87.5,0.1448734382268741,1.0
83,KRAS;ARID1A,128.0,0.9082174407295809,1.0
84,KRAS;FGFR1,133.5,0.9736157401146627,1.0
85,KRAS;PIK3CA,116.5,0.6213809149457095,1.0
86,KRAS;RAF1,129.5,0.9473343527840896,1.0
87,KRAS;CDK4,137.5,0.8691322297887996,1.0
88,KRAS;CDK6,138.5,0.8433034037054796,1.0
89,KRAS;CASP3,138.0,0.856206473609928,1.0
90,KRAS;CUL3,135.5,0.9212967574848409,1.0
91,KRAS;RAP1GDS1,140.0,0.8048991218510433,1.0
92,KRAS;HSP90AA1,129.0,0.9343613754389715,1.0
93,KRAS;HIF1A,129.5,0.9474700319586684,1.0
94,KRAS;BRCA2,136.5,0.8951993539228804,1.0
95,KRAS;KMT2C,135.5,0.9213241364653768,1.0
96,KRAS;KDR,143.5,0.7171635064565768,1.0
97,KRAS;HSP90AB1,132.5,1.0,1.0
98,KRAS;EP300,136.5,0.8952675022185507,1.0
99,KRAS;EZH2,139.0,0.8305235458110217,1.0
100,KRAS;TP53,136.5,0.8952357162292177,1.0
101,KRAS;STAT3,131.5,1.0,1.0
102,KRAS;PPP2R1A,132.5,1.0,1.0
103,KRAS;SRC,135.0,0.9342897498654555,1.0
104,KRAS;PIK3CB,136.0,0.9081775157125519,1.0
105,KRAS;APC,126.0,0.8560197223123067,1.0
106,KRAS;KEAP1,135.0,0.9342840096850814,1.0
107,KRAS;FBXW7,134.0,0.9605262741738495,1.0
108,MLLT6;MLLT1,144.0,0.6980231718149748,1.0
109,MLLT6;ELL,139.5,0.8107842540533583,1.0
110,MLLT6;AFF4,139.5,0.8106793020722018,1.0
111,MLLT6;MLLT10,154.0,0.47047105399667777,1.0
112,MLLT6;LASP1,140.5,0.7887474416063408,1.0
113,MLLT6;AFDN,133.5,0.9733660964194966,1.0
114,MLLT6;AFF1,135.0,0.9325809888143841,1.0
