,Edge,U,pval,adj_pvals
127,CXCR1;CXCL2,263.5,1.0,1.0
128,CX3CR1;CCL2,263.5,1.0,1.0
129,CX3CR1;CCL21,263.5,1.0,1.0
130,CX3CR1;CXCL10,263.5,1.0,1.0
131,CX3CR1;CXCL12,263.5,1.0,1.0
132,CX3CR1;CXCL1,263.5,1.0,1.0
133,CX3CR1;CCL26,263.5,1.0,1.0
134,CCR2;CCL2,263.5,1.0,1.0
135,CCR2;CCL13,263.5,1.0,1.0
136,CCR2;CCL27,263.5,1.0,1.0
137,CCR2;CXCL12,263.5,1.0,1.0
138,CCR2;CXCL1,263.5,1.0,1.0
139,CCR2;CCL8,263.5,1.0,1.0
140,CCR2;CCL20,263.5,1.0,1.0
141,CCR2;PPBP,263.5,1.0,1.0
142,CCR2;CCRL2,263.5,1.0,1.0
143,CCR2;CCR3,263.5,1.0,1.0
144,CCR2;CXCR3,263.5,1.0,1.0
145,CCR2;CCR1,263.5,1.0,1.0
146,CCR2;CCL4,263.5,1.0,1.0
147,CCR2;CCL16,263.5,1.0,1.0
148,CCR2;CXCL10,263.5,1.0,1.0
149,CCR2;CCR6,263.5,1.0,1.0
150,CCR2;CXCL9,263.5,1.0,1.0
151,CXCR3;CCL17,263.5,1.0,1.0
152,CXCR3;CCL2,263.5,1.0,1.0
153,CXCR3;CCL21,263.5,1.0,1.0
154,CXCR3;CXCL13,263.5,1.0,1.0
155,CXCR3;PF4,263.5,1.0,1.0
156,CXCR3;CCR1,263.5,1.0,1.0
157,CXCR3;CXCL10,263.5,1.0,1.0
158,CXCR3;CXCL11,263.5,1.0,1.0
159,CXCR3;CCL20,263.5,1.0,1.0
160,CXCR3;CXCL9,263.5,1.0,1.0
161,CXCR3;CXCL2,263.5,1.0,1.0
162,CXCR3;CCL4,263.5,1.0,1.0
163,CXCR3;CXCL1,263.5,1.0,1.0
164,CXCR3;CCL8,263.5,1.0,1.0
165,CXCR3;CCR3,263.5,1.0,1.0
166,CXCR3;CXCL12,263.5,1.0,1.0
167,CD44;COL1A1,207.0,0.22723316441734043,1.0
168,CD44;COL1A2,239.0,0.6048609598776333,1.0
169,CD44;CXCR2,257.0,0.7087494503548664,1.0
170,CD44;FN1,252.0,0.7729050888897009,1.0
171,CD44;CXCL12,257.0,0.7087494503548664,1.0
172,CD44;ITGB1,280.5,0.7220657720559476,1.0
173,CXCR2;CCL2,263.5,1.0,1.0
174,CXCR2;CXCL6,263.5,1.0,1.0
175,CXCR2;CXCL13,263.5,1.0,1.0
176,CXCR2;PPBP,263.5,1.0,1.0
177,CXCR2;CXCL10,263.5,1.0,1.0
