,Edge,U,pval,adj_pvals
41,KRAS;PIK3CA,137.0,0.8821997801501537,1.0
42,KRAS;RAF1,121.0,0.7293330354637722,1.0
43,KRAS;TP53,130.0,0.9606329803697227,1.0
44,KRAS;SRC,132.5,1.0,1.0
45,KRAS;PIK3CB,138.5,0.8434113841223216,1.0
46,MLLT6;MLLT1,142.5,0.7257640368431584,1.0
47,MLLT6;MLLT10,147.5,0.6169676954447554,1.0
48,MLLT6;AFF1,158.5,0.36427891071465635,1.0
49,STAG2;RAD21,130.0,0.9579596627871834,1.0
50,STAG2;STAG1,128.0,0.6665990972678644,1.0
51,STAG2;CTCF,102.5,0.3258016355396476,1.0
52,STAG2;SMC1A,114.0,0.5484639696251205,1.0
53,CCND3;CCND1,143.0,0.7267743684168197,1.0
54,CCND3;CDKN1B,153.0,0.4955731780983782,1.0
55,CCND3;CDK4,139.5,0.8154797415639128,1.0
56,CCND3;CREBBP,145.5,0.6677746114476515,1.0
57,CCND3;CDKN2C,135.5,0.9191247284593499,1.0
58,CCND3;CDK6,142.0,0.748678987111644,1.0
59,CCND3;RB1,155.0,0.45460671101382577,1.0
60,CCND3;CDKN1A,132.5,1.0,1.0
61,BUB1B;TRIM33,140.0,0.8047487399253515,1.0
62,BUB1B;BRCA2,146.5,0.6441995345304372,1.0
63,BUB1B;JUN,147.5,0.6206176623729007,1.0
64,BUB1B;BRCA1,147.0,0.6322965471689899,1.0
65,TRRAP;TP53,94.5,0.21483217816621758,1.0
66,TRRAP;MAX,133.0,0.9867239993378176,1.0
67,TRRAP;TFPT,132.0,1.0,1.0
68,TRRAP;MYC,97.0,0.24772291787054224,1.0
69,TRRAP;CTNNB1,99.5,0.28651382846062723,1.0
70,CHIC2;ETV6,128.5,0.9207431041787364,1.0
71,ZRSR2;SF3B1,92.5,0.19709302272410067,1.0
72,ZRSR2;SRSF2,86.0,0.13361978125838056,1.0
73,STRN;SRC,151.5,0.5263158393443091,1.0
74,STRN;PPP2R1A,145.5,0.6605591761258498,1.0
75,SMAD2;MAPK1,113.0,0.5039256619618835,1.0
76,SMAD2;ACVR2A,122.5,0.7565041383895958,1.0
77,SMAD2;TRIM33,122.0,0.74969536561811,1.0
78,SMAD2;SMAD3,153.5,0.37390860486479693,1.0
79,SMAD2;ZEB1,135.0,0.9301011940939606,1.0
80,SMAD2;ACVR1B,138.0,0.8487996185702371,1.0
81,SMAD2;ACVR1,125.0,0.8183527860078585,1.0
82,SMAD2;SKI,139.5,0.812329355523461,1.0
83,SMAD2;JUN,116.5,0.6010284306807039,1.0
84,SMAD2;SMAD4,146.5,0.5939735013441136,1.0
85,SMAD2;EP300,143.0,0.7104738695456021,1.0
86,SMAD2;TP53,144.0,0.6861379589913785,1.0
87,SMAD2;LEF1,119.0,0.6616668215145617,1.0
88,SMAD2;MYC,126.0,0.8441435255117217,1.0
89,SMAD2;BMPR1A,124.0,0.7952967570475487,1.0
90,SMAD2;CREBBP,116.0,0.5796657280769566,1.0
91,SMAD2;CTNNB1,151.0,0.510298313888683,1.0
92,SMAD2;TGFBR2,104.5,0.3522550401668033,1.0
93,SMAD2;DROSHA,117.5,0.6399771635450605,1.0
94,SMAD2;AKT1,105.5,0.3505862813314359,1.0
95,SMAD2;FOXO3,151.5,0.4869016775855436,1.0
96,SMAD2;WWTR1,127.5,0.8940153891123644,1.0
97,MED12;THRAP3,122.0,0.7515307272317434,1.0
98,MED12;QKI,109.5,0.4651692309115123,1.0
99,MED12;CTNNB1,86.0,0.1284795956925546,1.0
100,PBRM1;ARID1A,162.0,0.3067642780111395,1.0
101,PBRM1;SMARCE1,128.0,0.8671620032826683,1.0
102,PBRM1;ARID2,167.0,0.18895453130441686,1.0
103,PBRM1;SMARCB1,144.0,0.6728482917912904,1.0
104,PBRM1;SMARCA4,129.5,0.9463688512494707,1.0
105,PBRM1;KDM5C,158.5,0.3718329021376755,1.0
