,Patient,Gene1,Gene2,Edge,Curvature,Response
76,A101D_SKIN,NRAS,SOS1,NRAS;SOS1,-1.238969247965711,0
77,A101D_SKIN,NRAS,PIK3CG,NRAS;PIK3CG,-3.9090006315363386,0
78,A101D_SKIN,NRAS,PIK3CD,NRAS;PIK3CD,-2.0917227565569028,0
79,A101D_SKIN,KRAS,PIK3R3,KRAS;PIK3R3,-2.2211482680570835,0
80,A101D_SKIN,KRAS,PIK3CG,KRAS;PIK3CG,0.0,0
81,A101D_SKIN,KRAS,PIK3CD,KRAS;PIK3CD,-1.5888664414715552,0
82,A101D_SKIN,KRAS,HRAS,KRAS;HRAS,0.21007397726835453,0
83,A101D_SKIN,KRAS,PIK3R1,KRAS;PIK3R1,-1.5091033836963716,0
84,A101D_SKIN,KRAS,SOS1,KRAS;SOS1,-0.8518708062744038,0
85,A101D_SKIN,KRAS,PIK3CA,KRAS;PIK3CA,-1.5533165396161759,0
86,A101D_SKIN,KRAS,PIK3CB,KRAS;PIK3CB,-1.166927727773634,0
87,A101D_SKIN,HRAS,PIK3CA,HRAS;PIK3CA,-1.3845465775234818,0
88,A101D_SKIN,HRAS,PIK3CD,HRAS;PIK3CD,-1.3842649428034068,0
89,A101D_SKIN,HRAS,SOS1,HRAS;SOS1,-0.8015118128089529,0
90,A101D_SKIN,HRAS,PIK3CB,HRAS;PIK3CB,-1.0939735980590735,0
91,A101D_SKIN,HRAS,PIK3CG,HRAS;PIK3CG,-2.564508202915816,0
92,A101D_SKIN,HRAS,PIK3R1,HRAS;PIK3R1,-1.3531292078272066,0
93,A101D_SKIN,SOS1,RRAS,SOS1;RRAS,0.44797879177013633,0
94,A101D_SKIN,SOS1,SHC3,SOS1;SHC3,0.0,0
95,A101D_SKIN,RRAS,PIK3CA,RRAS;PIK3CA,0.24257855593427935,0
96,A101D_SKIN,RRAS,PIK3CG,RRAS;PIK3CG,-0.20382083282485208,0
97,A101D_SKIN,RRAS,PIK3CD,RRAS;PIK3CD,0.21902266647833302,0
98,A101D_SKIN,AKT3,PIK3R2,AKT3;PIK3R2,0.34544130209837687,0
99,A101D_SKIN,AKT3,PIK3R3,AKT3;PIK3R3,0.2201825322064116,0
100,A101D_SKIN,AKT3,PIK3CA,AKT3;PIK3CA,0.18925423056856816,0
101,A101D_SKIN,AKT3,PIK3CD,AKT3;PIK3CD,0.2575982679136092,0
102,A101D_SKIN,AKT3,AKT2,AKT3;AKT2,0.5506221188784144,0
103,A101D_SKIN,AKT3,PIK3CG,AKT3;PIK3CG,0.0,0
104,A101D_SKIN,AKT3,PIK3R1,AKT3;PIK3R1,0.20121629800646523,0
105,A101D_SKIN,AKT3,PIK3CB,AKT3;PIK3CB,0.31418471271738035,0
106,A101D_SKIN,AKT2,PIK3R2,AKT2;PIK3R2,0.3805635462850817,0
107,A101D_SKIN,AKT2,PIK3R3,AKT2;PIK3R3,0.2959643328723849,0
108,A101D_SKIN,AKT2,PIK3CA,AKT2;PIK3CA,0.2763814424773873,0
109,A101D_SKIN,AKT2,PDPK1,AKT2;PDPK1,0.4629213178342021,0
110,A101D_SKIN,AKT2,PIK3CD,AKT2;PIK3CD,0.3115179007438059,0
