,Patient,Gene1,Gene2,Edge,Curvature,Response
316,A2058_SKIN,PIK3CB,PIK3CD,PIK3CB;PIK3CD,0.0,1
317,A2058_SKIN,PIK3CB,PIK3CG,PIK3CB;PIK3CG,0.0,1
318,A2058_SKIN,PIK3CD,RRAS2,PIK3CD;RRAS2,0.3746652255928866,1
319,A2058_SKIN,PIK3CD,PIK3CA,PIK3CD;PIK3CA,0.0,1
320,A2058_SKIN,PIK3CD,ERBB3,PIK3CD;ERBB3,-1.3688757325210612,1
321,A2058_SKIN,PIK3CD,PIK3CG,PIK3CD;PIK3CG,0.0,1
322,A2058_SKIN,PIK3CA,RRAS2,PIK3CA;RRAS2,0.3767449890460315,1
323,A2058_SKIN,PIK3CA,PDPK1,PIK3CA;PDPK1,0.27609875240629744,1
324,A2058_SKIN,PIK3CA,PIK3CG,PIK3CA;PIK3CG,0.0,1
325,A2058_SKIN,PIK3CA,ERBB3,PIK3CA;ERBB3,-1.4701086482246968,1
326,A2058_SKIN,PIK3CG,RRAS2,PIK3CG;RRAS2,0.2714805012172259,1
327,A2058_SKIN,PIK3CG,PPP1R12C,PIK3CG;PPP1R12C,0.3167903690433149,1
328,A2058_SKIN,PIK3CG,PDPK1,PIK3CG;PDPK1,0.14514190034169128,1
329,A2058_SKIN,PIK3CG,IMMT,PIK3CG;IMMT,0.3796538992714351,1
330,A2058_SKIN,PIK3CG,PIK3R6,PIK3CG;PIK3R6,0.0,1
331,A2058_SKIN,ERBB3,SHC3,ERBB3;SHC3,0.0,1
332,A2058_SKIN,MLX,MLXIPL,MLX;MLXIPL,0.6110530940096723,1
333,A2058_SKIN,MLX,MLXIP,MLX;MLXIP,0.9851682087310254,1
334,A2058_SKIN,MLXIPL,MLXIP,MLXIPL;MLXIP,0.0,1
335,A2058_SKIN,KCNQ4,KCNE4,KCNQ4;KCNE4,0.0,1
336,A2058_SKIN,KCNQ4,KCNQ3,KCNQ4;KCNQ3,0.0,1
337,A2058_SKIN,MASP2,FCN2,MASP2;FCN2,0.0,1
338,A2058_SKIN,MASP2,COLEC10,MASP2;COLEC10,0.0,1
339,A2058_SKIN,MASP2,COLEC11,MASP2;COLEC11,0.0,1
340,A2058_SKIN,FCN2,COLEC10,FCN2;COLEC10,0.0,1
341,A2058_SKIN,COLEC10,COLEC11,COLEC10;COLEC11,0.0,1
342,A375_SKIN,LYN,SRC,LYN;SRC,0.0,0
343,A375_SKIN,LYN,PIK3CD,LYN;PIK3CD,0.0,0
344,A375_SKIN,LYN,PIK3CG,LYN;PIK3CG,0.0,0
345,A375_SKIN,LYN,PIK3R1,LYN;PIK3R1,0.0,0
346,A375_SKIN,LYN,PIK3CB,LYN;PIK3CB,0.0,0
347,A375_SKIN,GRB2,ERBB3,GRB2;ERBB3,0.5168108667002338,0
348,A375_SKIN,GRB2,ERBB2,GRB2;ERBB2,0.0,0
349,A375_SKIN,GRB2,EGFR,GRB2;EGFR,0.0,0
