,Edge,U,pval,adj_pvals
0,MASP2;FCN2,245.0,1.0,1.0
1,MASP2;COLEC10,245.0,1.0,1.0
2,MASP2;COLEC11,231.0,0.38352418558323176,0.9588104639580793
3,FCN2;COLEC10,245.0,1.0,1.0
4,COLEC10;COLEC11,231.0,0.38352418558323176,0.9588104639580793
