,Edge,U,pval,adj_pvals
104,KRAS;DNMT3A,75.5,0.8648254381844648,1.0
105,KRAS;PIK3R1,80.5,0.6488434768556278,1.0
106,KRAS;EML4,73.5,0.9547570950122256,1.0
107,KRAS;MDM2,69.5,0.9096421651537241,1.0
108,KRAS;VAV1,66.0,0.7549207867246659,1.0
109,KRAS;CSF1R,63.0,0.6297684493381117,1.0
110,KRAS;STK11,66.0,0.7539058453309647,1.0
111,KRAS;MET,81.5,0.6088650991130655,1.0
112,KRAS;ARID1A,71.0,0.9773869036998286,1.0
113,KRAS;FGFR1,72.5,1.0,1.0
114,KRAS;PIK3CA,53.5,0.30743416592739536,0.9227113765737452
115,KRAS;RAF1,66.0,0.7544610084802125,1.0
116,KRAS;CDK4,72.5,1.0,1.0
117,KRAS;CDK6,73.5,0.9547046349834791,1.0
118,KRAS;CASP3,73.5,0.95474836433119,1.0
119,KRAS;CUL3,70.0,0.9321941656450612,1.0
120,KRAS;RAP1GDS1,78.0,0.7551954175303204,1.0
121,KRAS;HSP90AA1,69.0,0.8870585877560424,1.0
122,KRAS;HIF1A,69.5,0.9095551282707521,1.0
123,KRAS;BRCA2,74.0,0.9321680338018922,1.0
124,KRAS;KMT2C,74.0,0.9321418717224578,1.0
125,KRAS;KDR,77.0,0.7979538828864685,1.0
126,KRAS;HSP90AB1,65.5,0.7333541144775237,1.0
127,KRAS;EP300,70.5,0.9548180686112865,1.0
128,KRAS;EZH2,73.5,0.9547396285938354,1.0
129,KRAS;TP53,73.0,0.9773738146112697,1.0
130,KRAS;STAT3,71.5,1.0,1.0
131,KRAS;PPP2R1A,71.0,0.9773607027673827,1.0
132,KRAS;SRC,65.0,0.712245351783,1.0
133,KRAS;PIK3CB,72.0,1.0,1.0
134,KRAS;CCNE1,71.5,1.0,1.0
135,KRAS;APC,70.5,0.9547570950122256,1.0
136,KRAS;KEAP1,71.5,1.0,1.0
137,KRAS;FBXW7,71.0,0.9773300196007381,1.0
138,MLLT6;MLLT1,75.5,0.8612763099506229,1.0
139,MLLT6;ELL,63.0,0.6193689774324203,1.0
140,MLLT6;AFF4,51.0,0.22472495256373648,0.8600110188742173
141,MLLT6;MLLT10,61.0,0.5445310615977808,1.0
142,MLLT6;LASP1,60.5,0.5244589789083851,1.0
143,MLLT6;AFDN,51.5,0.24726545949196965,0.8783811084809969
144,MLLT6;MLLT3,55.0,0.34010164746881966,0.9378357405559615
145,MLLT6;AFF1,62.5,0.6021675277481957,1.0
146,MLLT6;FNBP1,55.5,0.35435680104635103,0.942349711104218
147,MLLT6;CLP1,73.5,0.9545372997768783,1.0
148,MLLT6;KMT2A,61.0,0.547319951013578,1.0
149,STAG2;MYC,66.5,0.7523845859526344,1.0
150,STAG2;RAD21,52.5,0.20052785693243447,0.8331536482860766
151,STAG2;IDH1,47.5,0.11722671962162347,0.7541822127301729
152,STAG2;ATRX,74.5,0.8940980743665784,1.0
153,STAG2;BRCA1,57.0,0.3733635468783012,0.9557449682802966
154,STAG2;ZRSR2,96.5,0.11431677554040419,0.7501700675708067
155,STAG2;PPP2R1A,66.5,0.7661386847716941,1.0
156,STAG2;RUNX1,66.0,0.7226384738303828,1.0
157,STAG2;EP300,65.5,0.7189160274554371,1.0
158,STAG2;EZH2,71.5,1.0,1.0
159,STAG2;SETBP1,96.0,0.12938301806448607,0.7701042405008507
160,STAG2;SRSF2,75.5,0.8541674883055657,1.0
161,STAG2;PHF6,57.5,0.2843462835058401,0.9083031595680312
162,STAG2;STAG1,74.5,0.9022774227639881,1.0
163,STAG2;NRAS,66.0,0.7149555933591958,1.0
164,STAG2;TET2,63.5,0.594392175885043,1.0
165,STAG2;U2AF1,46.5,0.10483058653593787,0.7451972304559574
166,STAG2;KDM6A,67.0,0.7705036290966856,1.0
167,STAG2;CTCF,71.0,0.9748311840290906,1.0
168,STAG2;IDH2,61.5,0.49187999631366863,0.9904710206177333
169,STAG2;ASXL1,55.5,0.28106226867467843,0.9031627559952284
170,STAG2;NPM1,75.0,0.8718303634894409,1.0
171,STAG2;DNMT3A,73.5,0.9351834878768401,1.0
172,STAG2;SMC1A,51.0,0.17683767660672056,0.8123208543633839
173,STAG2;ETV6,67.0,0.7823437291446019,1.0
174,STAG2;BCORL1,62.5,0.5955763828279466,1.0
175,CCND3;CCND1,48.0,0.18075678217256796,0.8156511975063184
176,CCND3;CDKN1B,55.5,0.3602764102322126,0.942349711104218
177,CCND3;RARA,51.5,0.25558946625224044,0.8911590465561482
178,CCND3;CDK4,53.0,0.29213411387138577,0.9124887800823581
179,CCND3;CREBBP,55.0,0.3473469941134806,0.9386650225094553
180,CCND3;CCNE1,53.0,0.2894916477539343,0.9124887800823581
181,CCND3;CDKN2C,55.5,0.3592375546008274,0.942349711104218
182,CCND3;CDK6,55.5,0.3611227834102747,0.942349711104218
183,CCND3;RB1,56.0,0.3774407959392092,0.9557449682802966
184,CCND3;TP53,54.0,0.31956754343851557,0.9254765641425997
185,CCND3;RUNX1,57.0,0.4058636600105171,0.9719778990798471
186,CCND3;MAF,66.5,0.7754356360535738,1.0
187,CCND3;MYC,50.5,0.23022302687272422,0.8639648629126377
188,CCND3;CDKN1A,54.5,0.3325553902087278,0.9294674998321322
189,CCND3;JAK2,53.0,0.2928841146620963,0.9124887800823581
190,CCND3;SRC,46.0,0.14491278074671868,0.7908425267001691
191,CCND3;NSD2,60.0,0.5104185968470332,0.9988093379798215
192,CCND3;AKT1,57.5,0.4250607172916957,0.9719778990798471
193,EBF1;CREBBP,70.0,0.93171911821515,1.0
194,EBF1;TCF3,70.5,0.9538951725548522,1.0
195,EBF1;EP300,74.0,0.9319710771520777,1.0
196,EBF1;LEF1,75.5,0.8638581740792833,1.0
197,EBF1;RUNX1,68.0,0.8421479786096717,1.0
198,EBF1;BCL6,58.0,0.4403559034305008,0.974567031959239
199,EBF1;TET2,73.0,0.9773344105493164,1.0
200,EBF1;TCF12,75.0,0.8871020112079638,1.0
201,EBF1;ABL1,70.5,0.95442173285911,1.0
202,EBF1;ETV6,76.5,0.8200631683173731,1.0
203,EBF1;MYC,70.5,0.9546079824393898,1.0
204,EBF1;IKZF1,67.5,0.8193382148957807,1.0
205,EBF1;FOXP1,77.5,0.7762422532454273,1.0
206,FCGR2B;CSF1R,72.0,1.0,1.0
207,FCGR2B;IL7R,74.0,0.93171911821515,1.0
208,FCGR2B;CD209,71.0,0.9773256260992277,1.0
209,FCGR2B;CD28,78.5,0.7307873789742803,1.0
210,FCGR2B;PTPN6,74.0,0.9316657165948589,1.0
211,FCGR2B;PTPRC,74.0,0.9318388155687309,1.0
212,FCGR2B;LYN,72.0,1.0,1.0
213,FCGR2B;MYD88,77.0,0.7974917097450782,1.0
214,FCGR2B;SIRPA,72.5,1.0,1.0
215,FCGR2B;PTPN11,79.0,0.7108542601155443,1.0
216,ERG;FUS,82.5,0.5710774348107048,1.0
217,ERG;SETDB1,86.0,0.4442578780874281,0.974567031959239
218,ERG;SPOP,84.0,0.5146036154956285,0.9988093379798215
219,ERG;EWSR1,84.5,0.49665738654204294,0.9904710206177333
220,ERG;CBFB,79.0,0.7126164617913102,1.0
221,BUB1B;KNSTRN,72.0,1.0,1.0
222,BUB1B;BARD1,63.0,0.6256023154693272,1.0
223,BUB1B;TP53,64.0,0.6656954755460327,1.0
