,Edge,U,pval,adj_pvals
988,NEK2/RRM2,8292.5,0.4485883568729617,0.5937145618798658
989,NEK2/EXO1,8445.0,0.3164082095438435,0.4661586598623038
990,NEK2/CENPF,8217.0,0.523239610412777,0.6597651680556288
991,NEK2/DTL,9114.5,0.038077361424050875,0.10393662465250492
992,NEK2/CCNA2,8914.5,0.07946868541975924,0.17558030765133337
993,NEK2/HJURP,8293.0,0.4473341745716186,0.5925427786086371
994,NEK2/ECT2,8302.5,0.437992665787287,0.5855965511198405
995,NEK2/NUSAP1,8317.5,0.42447514280232845,0.5726574603348847
996,NEK2/KIFC1,8064.5,0.6945787660328209,0.7984978736347881
997,NEK2/CDK1,8796.0,0.11790573608689563,0.23068155789679362
998,NEK2/RACGAP1,8502.0,0.2732643527234957,0.42014074099615245
999,NEK2/MKI67,8846.0,0.09924630961361869,0.20424249385813575
1000,NEK2/KIF14,8816.0,0.10967777735835892,0.21995891657260125
1001,NEK2/STIL,8627.0,0.19618236272825018,0.3350790619669059
1002,NEK2/PRC1,8503.0,0.27260256772818525,0.4193197490464959
1003,NEK2/KIF4A,8309.0,0.4313088165887442,0.5792769961261484
1004,NEK2/CKAP2,8203.5,0.5388390721968962,0.6709415544129095
1005,NEK2/TTK,8493.5,0.2794336666578726,0.4270246205423754
1006,NEK2/CEP55,8510.5,0.2674267200261815,0.4129068557204243
1007,KIFC1/MYBL2,7818.0,0.9980776281905691,0.998686397710661
1008,KIFC1/NCAPG,8116.0,0.6341087825101706,0.7467759039704994
1009,KIFC1/TROAP,7654.5,0.7907166585928712,0.8668029925971301
1010,KIFC1/KIF23,8236.5,0.5034670743102236,0.6446745850823609
1011,KIFC1/KIF11,8499.5,0.27557313177600795,0.4224759600302249
1012,KIFC1/NDC80,7680.5,0.8228404436515704,0.8884518468825245
1013,KIFC1/MCM4,7999.5,0.7738598325088157,0.8546316632269224
1014,KIFC1/KIF18A,8173.5,0.5695349267034471,0.6975462667475534
1015,KIFC1/PLK4,8460.5,0.30378753125800106,0.45326370625625356
1016,KIFC1/NUF2,8229.5,0.5102349746134797,0.6496176787818274
1017,KIFC1/BUB1B,8328.0,0.41443635690279457,0.5632832174805589
1018,KIFC1/CCNB2,8229.0,0.5108240204989682,0.6496176787818274
1019,KIFC1/PLK1,8707.5,0.15503129892947531,0.2816487772910346
1020,KIFC1/TPX2,7321.0,0.4206728382217966,0.5689314023931222
1021,KIFC1/CKAP2L,7848.5,0.9640150460243919,0.9782314726498881
1022,KIFC1/AURKB,8507.5,0.2704817127659017,0.41723107643861
1023,KIFC1/SPAG5,8325.0,0.4154215068520598,0.5641547864162286
1024,KIFC1/KIF15,7787.5,0.9589044157718822,0.9746485093393884
1025,KIFC1/TACC3,8803.5,0.1149138380405613,0.22671816152199736
1026,KIFC1/UBE2C,7961.5,0.8203134061130729,0.8867408425111505
1027,KIFC1/RRM2,7780.0,0.9493121489075058,0.9686506291580693
1028,KIFC1/CENPF,7991.0,0.7835002539315852,0.8611940814571293
1029,KIFC1/KIF14,8602.0,0.2082622057541349,0.348093885419927
1030,KIFC1/MKI67,8230.5,0.5087760039487748,0.6487895892957647
1031,KIFC1/TTK,8184.5,0.5577444971088494,0.6865384136931482
1032,KIFC1/CEP55,7881.0,0.9223300462923096,0.9495340074945303
1033,KIFC1/KIF20B,7604.5,0.7298605557419702,0.8220739457548221
1034,KIFC1/RAD54L,7882.5,0.9206481273077006,0.9489247861549117
1035,KIFC1/KIF4A,8035.5,0.7286378513891765,0.8220739457548221
1036,KIFC1/PRC1,7532.5,0.6436204549969133,0.75445470269556
1037,KIFC1/INCENP,7643.5,0.7773052039217696,0.8575448466937882
1038,KIFC1/CDK1,8409.5,0.3448776394747113,0.4971482108317574
1039,KIFC1/RACGAP1,7688.0,0.8321148827900817,0.8936723176544216
