,Edge,U,pval,adj_pvals
0,FLNA;ITGB1,342.0,0.9666017723794148,1.0
1,FLNA;HSPB7,415.5,0.15318810897287144,1.0
2,CD2;CD7,345.0,1.0,1.0
3,CD2;CD5,345.0,1.0,1.0
4,CD5;CD7,345.0,1.0,1.0
5,ANPEP;CD7,333.0,0.7093661433223559,1.0
6,TGFB1;FN1,411.0,0.2726359756775777,1.0
7,TGFB1;LRRC32,369.0,0.6512965147952864,1.0
8,FN1;VTN,337.0,0.7917558180790016,1.0
9,FN1;ITGB1,373.0,0.4323950015572855,1.0
10,FN1;ITGA8,336.0,0.7040245326892158,1.0
11,CALM3;DLG4,431.0,0.1521501158390501,1.0
12,CALM3;RYR1,337.5,0.754392040017942,1.0
13,CALM3;FKBP1B,345.0,1.0,1.0
14,CALM3;RYR2,337.5,0.754392040017942,1.0
15,CALM3;TRDN,337.5,0.754392040017942,1.0
16,ITGB1;VTN,390.0,0.1492414389744097,1.0
17,ITGB1;ITGA8,382.5,0.19272696846971804,1.0
18,ITGB1;NPNT,397.5,0.11558668171652094,1.0
19,FLNC;SGCD,330.0,0.43120440925627146,1.0
20,SNTA1;SGCD,345.0,1.0,1.0
21,SNTA1;SSPN,345.0,1.0,1.0
22,SNTA1;DAG1,345.0,1.0,1.0
23,SNTA1;DMD,345.0,1.0,1.0
24,SNTA1;SGCA,345.0,1.0,1.0
25,SNTA1;CAV3,345.0,1.0,1.0
26,SGCD;SGCG,345.0,1.0,1.0
27,SGCD;SSPN,345.0,1.0,1.0
28,SGCD;SGCA,345.0,1.0,1.0
29,SGCD;CAV3,345.0,1.0,1.0
30,SGCD;SGCE,322.5,0.32548266266419046,1.0
31,SGCD;DAG1,345.0,1.0,1.0
32,SGCD;DMD,345.0,1.0,1.0
33,SGCD;SGCB,345.0,1.0,1.0
34,SSPN;SGCG,345.0,1.0,1.0
35,SSPN;DMD,345.0,1.0,1.0
36,SSPN;DAG1,345.0,1.0,1.0
37,SSPN;SGCE,322.5,0.32548266266419046,1.0
38,SSPN;SGCA,345.0,1.0,1.0
39,DAG1;SGCG,345.0,1.0,1.0
40,DAG1;SGCA,345.0,1.0,1.0
41,DAG1;NRXN2,316.0,0.41584606902004584,1.0
42,DAG1;CAV3,345.0,1.0,1.0
43,DAG1;DMD,345.0,1.0,1.0
44,DAG1;SGCB,345.0,1.0,1.0
45,DAG1;NRXN1,317.0,0.4323950015572855,1.0
46,DAG1;SGCE,322.5,0.32548266266419046,1.0
47,DMD;SGCG,345.0,1.0,1.0
48,DMD;SGCA,345.0,1.0,1.0
49,DMD;CAV3,345.0,1.0,1.0
50,DMD;SGCE,322.5,0.32548266266419046,1.0
51,DMD;SGCB,345.0,1.0,1.0
52,SGCA;SGCG,345.0,1.0,1.0
53,SGCA;SGCB,345.0,1.0,1.0
54,CAV3;SGCB,345.0,1.0,1.0
55,SGCG;SGCB,345.0,1.0,1.0
56,SGCB;SGCE,322.5,0.32548266266419046,1.0
57,NRXN2;NLGN4Y,337.5,0.5940537303751279,1.0
58,NRXN2;DLG4,352.5,0.5940537303751279,1.0
59,NRXN1;NLGN4Y,345.0,1.0,1.0
60,NRXN1;DLG4,345.0,1.0,1.0
61,DLG4;NLGN4Y,345.0,1.0,1.0
62,SLC1A6;SPTBN2,285.5,0.15129413776102546,1.0
63,VTN;ITGA8,337.5,0.5940537303751279,1.0
64,CRYAA;CRYAB,345.0,1.0,1.0
65,ITGA8;NPNT,337.5,0.5940537303751279,1.0
66,TET2;EBF1,262.5,0.040488738067839807,1.0
67,ACVR2B;BMP3,300.0,0.14853614643738033,1.0
68,KRT13;KRT4,249.0,0.06045951507400224,1.0
69,HRC;TRDN,345.0,1.0,1.0
70,TRDN;CASQ2,345.0,1.0,1.0
71,TRDN;FKBP1B,337.5,0.5940537303751279,1.0
72,TRDN;RYR1,345.0,1.0,1.0
73,TRDN;RYR2,345.0,1.0,1.0
74,TRDN;CASQ1,337.5,0.5940537303751279,1.0
75,TRDN;ASPH,345.0,1.0,1.0
76,CASQ2;RYR2,345.0,1.0,1.0
77,CASQ2;RYR1,345.0,1.0,1.0
78,CASQ2;ASPH,345.0,1.0,1.0
79,RYR2;RYR1,345.0,1.0,1.0
80,RYR2;ASPH,345.0,1.0,1.0
81,RYR2;CASQ1,337.5,0.5940537303751279,1.0
82,RYR2;FKBP1B,337.5,0.5940537303751279,1.0
83,RYR1;ASPH,345.0,1.0,1.0
84,RYR1;CASQ1,337.5,0.5940537303751279,1.0
85,RYR1;FKBP1B,337.5,0.5940537303751279,1.0
86,ASPH;CASQ1,337.5,0.5940537303751279,1.0
87,ASPH;FKBP1B,352.5,0.5940537303751279,1.0
88,SECTM1;CD7,218.0,0.013703192612301828,1.0
89,EBF1;PAX5,345.0,1.0,1.0
90,EBF1;ZNF423,337.5,0.5940537303751279,1.0
91,ANO2;CLCA4,345.0,1.0,1.0
92,ANO2;CLCA2,337.5,0.5940537303751279,1.0
