iter,source drug,target drug,geneset,source tissue,target tissue,pval,Test Accuracy,Test ROC_AUC
45,Pembro,Pembro,drug targets,STAD,SKCM,0.1,0.3939393939393939,0.462406015037594
46,Pembro,Pembro,drug targets,STAD,SKCM,0.1,0.45454545454545453,0.4661654135338346
47,Pembro,Pembro,drug targets,STAD,SKCM,0.1,0.42424242424242425,0.4285714285714286
48,Pembro,Pembro,drug targets,STAD,SKCM,0.1,0.5757575757575758,0.4887218045112782
49,Pembro,Pembro,drug targets,STAD,SKCM,0.1,0.5151515151515151,0.5639097744360902
0,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5484848484848485,0.5495488721804511
1,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.4957575757575758,0.4878195488721805
2,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.6018181818181818,0.6285714285714286
3,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.4987878787878788,0.5019548872180452
4,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5206060606060606,0.5081954887218045
5,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5224242424242425,0.49819548872180447
6,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.503030303030303,0.47827067669172935
7,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5169696969696969,0.5230075187969925
8,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.58,0.6204511278195489
9,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5987878787878788,0.6515037593984963
10,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5642424242424242,0.5918796992481203
11,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5333333333333333,0.5611278195488723
12,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5024242424242423,0.4820676691729323
13,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5757575757575757,0.5771428571428572
14,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5096969696969696,0.5033082706766918
15,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5393939393939394,0.5581203007518797
16,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.48363636363636364,0.4817293233082707
17,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.62,0.6598496240601502
18,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5581818181818181,0.5818045112781954
19,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5672727272727272,0.5618796992481202
20,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.58,0.5918045112781956
21,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.46606060606060606,0.4467669172932331
22,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5915151515151514,0.6045864661654136
23,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5551515151515151,0.5659398496240601
24,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.563030303030303,0.5963157894736841
25,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.532121212121212,0.520375939849624
26,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.6103030303030303,0.6266917293233082
27,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5503030303030303,0.5709774436090226
28,Pembro,Pembro,random sample,STAD,SKCM,0.1,0.5296969696969697,0.5336842105263159
