,Edge,U,pval,adj_pvals
0,KIF11/NCAPG,7377.5,0.4786995721941909,0.8339016118313646
1,KIF11/NDC80,6956.0,0.16632118294606935,0.5728840745920166
2,KIF11/NUF2,5692.5,0.0006499378055356668,0.010074035985802835
3,KIF11/PRC1,7828.0,0.9904120574008557,0.9904120574008557
4,KIF11/CENPF,7469.0,0.5740907929674093,0.8898407290994844
5,KIF11/CCNA2,7777.0,0.945700616581991,0.9772239704680573
6,KIF11/NUSAP1,7708.5,0.8588172748046612,0.957920687445419
7,KIF11/SPAG5,8748.0,0.08622714683563411,0.4464130834794344
8,NDC80/ZWINT,8489.5,0.2829171999923833,0.7070282386385328
9,NDC80/DSN1,8298.0,0.44377216641619366,0.8339016118313646
10,NDC80/NUF2,7170.5,0.29649571297744926,0.7070282386385328
11,NDC80/CENPF,7719.0,0.8718774535258895,0.957920687445419
12,NDC80/PLK1,8372.0,0.376850016382417,0.8070787711667946
13,CENPF/NUF2,6528.0,0.03831692009100692,0.29695613070530363
14,CENPF/CCNB2,7535.5,0.6489740303962702,0.9221223699530731
15,CENPF/PLK1,7383.0,0.4842009359020827,0.8339016118313646
16,CENPF/ZWINT,6894.0,0.137641031072975,0.5333589954077782
17,NUF2/ZWINT,10049.5,0.00034721894770166405,0.010074035985802835
18,NUF2/DSN1,9778.0,0.0017039522108047774,0.017607506178316034
19,PRC1/PLK1,7138.5,0.2749625104309249,0.7070282386385328
20,DSN1/ZWINT,7659.0,0.7970130729553239,0.957920687445419
21,PLK1/FBXO5,8049.0,0.7139011896410888,0.9221223699530731
22,PLK1/CCNB2,7732.0,0.8884044381040991,0.957920687445419
23,PLK1/CENPJ,8049.0,0.7139011896410888,0.9221223699530731
24,PLK1/CCNA2,7284.0,0.390521986048449,0.8070787711667946
25,PLK1/INCENP,8049.0,0.7139011896410888,0.9221223699530731
26,CCNA2/MYBL2,7738.0,0.896119352771521,0.957920687445419
27,CCNA2/CCNB2,8539.5,0.24917314904028587,0.7070282386385328
28,NCAPG/CCNB2,8812.5,0.1118924623088602,0.49552376165352374
29,NUSAP1/CCNB2,6750.0,0.08640253228634215,0.4464130834794344
30,MYBL2/LIN54,8230.0,0.5116895902902547,0.8348619631051525
