,Edge,U,pval,adj_pvals
478,C5;C5AR1,298.0,0.1672415219371468,0.914061421621992
479,C5;C3,363.0,0.793902261520898,1.0
480,C5;C6,378.0,1.0,1.0
481,C5;C9,378.0,1.0,1.0
482,C5;C7,378.0,1.0,1.0
483,C5;C5AR2,334.0,0.3151837943742394,1.0
484,C5;C8B,378.0,1.0,1.0
485,C5;C8G,378.0,1.0,1.0
486,C8A;C9,378.0,1.0,1.0
487,C8A;C6,378.0,1.0,1.0
488,C8A;C7,378.0,1.0,1.0
489,C8A;C8B,378.0,1.0,1.0
490,C8A;C8G,378.0,1.0,1.0
491,C5AR1;C3,409.5,0.6018689147495514,1.0
492,C3;C5AR2,395.0,0.754668098609475,1.0
493,C3;ALB,387.0,0.5363881322159223,1.0
494,C6;C9,378.0,1.0,1.0
495,C6;C8B,378.0,1.0,1.0
496,C6;C8G,378.0,1.0,1.0
497,C6;C7,378.0,1.0,1.0
498,C9;C7,378.0,1.0,1.0
499,C9;C8B,378.0,1.0,1.0
500,C9;C8G,378.0,1.0,1.0
501,C7;C8B,378.0,1.0,1.0
502,C7;C8G,378.0,1.0,1.0
503,C8B;C8G,378.0,1.0,1.0
504,CSF3;CXCL1,378.0,1.0,1.0
505,CSF3;LEP,378.0,1.0,1.0
506,CSF3;IL3,378.0,1.0,1.0
507,CSF3;IL1A,378.0,1.0,1.0
508,CSF3;CSF3R,387.0,0.5363881322159223,1.0
509,CXCL1;IL1A,378.0,1.0,1.0
510,IL3;IL1A,378.0,1.0,1.0
511,CACNA2D2;CACNA1C,378.0,1.0,1.0
512,CACNA2D2;CACNB2,378.0,1.0,1.0
513,CACNA2D2;CACNA1E,378.0,1.0,1.0
514,CACNA2D2;CACNA1A,378.0,1.0,1.0
515,CACNA1C;CACNB2,378.0,1.0,1.0
516,CACNA1C;CACNA1A,378.0,1.0,1.0
517,ALB;AMBP,351.0,0.2577141625373175,1.0
518,ACE2;REN,378.0,1.0,1.0
519,ACE2;ACE,378.0,1.0,1.0
520,ACE2;ERVFRD-1,378.0,1.0,1.0
521,RARA;RXRB,270.0,0.07533745097233024,0.6780366667040543
522,RARA;RXRG,405.0,0.2577141625373175,1.0
523,RARA;RARB,351.0,0.2577141625373175,1.0
524,RARA;RXRA,305.0,0.22864846251923265,1.0
525,RARA;NCOA1,271.0,0.07448890889496103,0.6780366667040543
526,RXRA;RARB,250.0,0.03425039335688631,0.4890859100019034
527,RXRA;NCOA1,271.0,0.08224982261897586,0.6825870849816703
528,LIN28A;KLF4,378.0,1.0,1.0
529,TET2;EBF1,316.5,0.1295501082117334,0.8366377996630361
530,CDC27;ANAPC5,333.0,0.4728588372839352,1.0
531,CDC27;BUB1B,362.0,0.8025621963186417,1.0
532,CDC27;ANAPC1,329.0,0.4340031314798142,1.0
533,CDC27;CDC16,378.0,1.0,1.0
534,CDC27;TRIM33,454.0,0.22326183881586392,1.0
535,CDC27;CDC23,360.0,0.7777174834002654,1.0
536,CDC27;FZR1,349.0,0.6457048484346585,1.0
537,CDC27;ANAPC7,308.0,0.2622395198199955,1.0
538,CDC27;ANAPC4,341.0,0.556004659036427,1.0
539,FZR1;ANAPC5,430.0,0.40611305069716586,1.0
540,FZR1;BUB1B,349.0,0.6457048484346585,1.0
541,FZR1;ANAPC1,423.0,0.4728588372839352,1.0
542,FZR1;CDC16,421.0,0.4929823801719836,1.0
543,FZR1;TRIM33,521.0,0.021522769668928608,0.41349805970002235
544,FZR1;CDC23,466.0,0.15810491766457424,0.8949867660655363
545,FZR1;ANAPC7,379.0,0.9935646797396482,1.0
546,FZR1;ANAPC4,275.0,0.09824116713036624,0.7563758041267309
547,ANAPC1;ANAPC5,416.0,0.5452338824391263,1.0
548,ANAPC1;BUB1B,383.0,0.9421323147212047,1.0
549,ANAPC1;ANAPC7,370.0,0.9037041204192832,1.0
550,ANAPC1;TRIM33,546.0,0.0068931146975523,0.24279081768045324
551,ANAPC1;CDC23,372.0,0.9293034691948354,1.0
552,ANAPC1;ANAPC4,299.0,0.20540793252537037,0.9975330288908811
553,ANAPC1;CDC16,352.0,0.6808204344285134,1.0
554,CDC23;ANAPC5,359.0,0.7653781112712998,1.0
555,CDC23;BUB1B,407.0,0.6457048484346585,1.0
556,CDC23;CDC16,369.0,0.8909402042398872,1.0
557,CDC23;TRIM33,516.0,0.026552755634620298,0.4430117650618228
558,CDC23;ANAPC4,334.0,0.4828636645575174,1.0
559,CDC23;ANAPC7,322.0,0.3706386317041196,1.0
560,CDC16;ANAPC5,349.0,0.6457048484346585,1.0
561,CDC16;BUB1B,380.0,0.9806957136301112,1.0
562,CDC16;ANAPC7,319.0,0.34533772570153776,1.0
563,CDC16;ANAPC4,346.0,0.6113617467097082,1.0
564,CDC16;TRIM33,495.0,0.06020671915304078,0.6361843323837976
565,ANAPC4;ANAPC5,281.0,0.1195526307540448,0.8063443393411107
566,ANAPC4;BUB1B,269.0,0.08007903571213859,0.6780366667040543
567,ANAPC4;TRIM33,463.0,0.17285712995949265,0.9287408507993079
568,ANAPC4;ANAPC7,268.0,0.07733567212484567,0.6780366667040543
569,ANAPC5;ANAPC7,343.0,0.5778526880505068,1.0
570,ANAPC5;TRIM33,507.0,0.03818621504415061,0.5043762570414893
571,ANAPC5;BUB1B,367.0,0.8655002145455052,1.0
572,NCAM1;GFRA1,342.0,0.27135666309734463,1.0
573,NCOA1;RARB,237.5,0.018466385312313236,0.3900418413344365
574,IGF2;IGFBP5,417.0,0.23290984625219402,1.0
575,IGF2;IGFBP3,460.0,0.06812833609602198,0.6780366667040543
576,IGFBP5;IGFBP3,356.0,0.6073003161573973,1.0
577,IGFBP5;IGFALS,369.0,0.5363881322159223,1.0
578,IGFBP5;PAPPA,360.0,0.7438012300052204,1.0
579,IGFBP3;IGFALS,440.0,0.05671040283060546,0.6307788665719976
580,ARNT;EPAS1,540.0,0.004328854064655211,0.19042881707265719
581,ARNT;ARNT2,553.0,0.0009503763112290736,0.10381215719567832
582,ARNT;HIF3A,427.0,0.3344738442799704,1.0
583,RASGRP1;RAP1B,351.0,0.6687909682066431,1.0
584,RASGRP1;RAP1A,341.0,0.5539935551815585,1.0
585,ALK;EML4,491.5,0.029796568613404965,0.4622983514459232
586,LIPE;PLIN1,378.0,1.0,1.0
587,PLIN1;CIDEC,378.0,1.0,1.0
588,PLIN1;PLIN4,369.0,0.7165798459270407,1.0
589,PLIN1;ABHD5,267.0,0.0190714465005797,0.3900418413344365
590,PLIN1;CIDEA,378.0,1.0,1.0
591,PSPN;RET,387.0,0.5363881322159223,1.0
592,PSPN;GFRA1,378.0,1.0,1.0
593,RET;NRTN,387.0,0.5363881322159223,1.0
594,RET;GFRA1,378.0,1.0,1.0
595,RET;ARTN,405.0,0.2577141625373175,1.0
596,RET;GDNF,387.0,0.5363881322159223,1.0
597,GFRA1;NRTN,387.0,0.5363881322159223,1.0
598,GFRA1;ARTN,369.0,0.5363881322159223,1.0
599,GFRA1;GDNF,378.0,1.0,1.0
600,BUB1B;TRIM33,500.0,0.05000369555323576,0.5870804255694717
601,BUB1B;ANAPC7,354.0,0.7046272921322643,1.0
602,EPAS1;HIF3A,544.0,0.0012161801600836578,0.10381215719567832
603,EPAS1;EGLN1,567.0,0.0010576103063775371,0.10381215719567832
604,EPAS1;EGLN2,523.0,0.01271189547906096,0.33580590557186035
605,EPAS1;ARNT2,550.0,0.0011621805182625124,0.10381215719567832
606,EGLN2;HIF3A,503.0,0.018379647258765435,0.3900418413344365
607,EGLN1;HIF3A,468.0,0.08020938486246698,0.6780366667040543
608,NPHS2;TRPC6,378.0,1.0,1.0
609,TRIM24;TRIM33,570.0,0.002007560706825791,0.12727934881275516
610,RXRB;RARB,186.0,0.0014736741557746134,0.10381215719567832
611,RXRG;RARB,405.0,0.2577141625373175,1.0
612,RARB;CRABP2,413.0,0.5716975754560811,1.0
613,PPP1R1B;CDK5,397.5,0.7292500585568904,1.0
614,CDK5;CDK5R1,353.0,0.6923450082348713,1.0
615,FCGR2B;INPP5D,357.0,0.13592065199572984,0.8366377996630361
616,ANAPC7;TRIM33,502.0,0.04634970708931181,0.5761904763651704
617,STIM1;TRPC6,402.0,0.3806879325969631,1.0
618,STIM1;ORAI2,334.0,0.298426489491713,1.0
619,STIM1;TRPC3,378.0,1.0,1.0
620,TRPC3;PRKCG,378.0,1.0,1.0
621,TRPC3;TRPC6,357.0,0.13592065199572984,0.8366377996630361
622,CIDEA;CIDEC,378.0,1.0,1.0
623,PRKCG;CACNA1A,423.0,0.2243922335039249,1.0
624,CACNA1A;CACNB2,378.0,1.0,1.0
625,CACNA1A;CACNA1E,378.0,1.0,1.0
626,HIF3A;ARNT2,348.5,0.2793422703865813,1.0
627,ARNT2;SIM1,360.0,0.36403737058028396,1.0
628,AMBP;ITIH2,369.0,0.7165798459270407,1.0
629,REN;ACE,378.0,1.0,1.0
630,ERVFRD-1;MFSD2A,378.0,1.0,1.0
631,ORAI2;TRPC6,333.5,0.22964239444452095,1.0
632,EBF1;PAX5,378.0,1.0,1.0
633,EBF1;ZNF423,369.0,0.5363881322159223,1.0
