,Edge,U,pval,adj_pvals
42,AKR1C3;HSD3B2,409.5,1.0,1.0
43,AKR1C3;CYP19A1,409.5,1.0,1.0
44,CYP17A1;SRD5A3,409.5,1.0,1.0
45,CYP17A1;HSD17B3,409.5,1.0,1.0
46,CYP17A1;HSD3B2,409.5,1.0,1.0
47,CYP17A1;SRD5A2,409.5,1.0,1.0
48,CYP17A1;CYP19A1,409.5,1.0,1.0
49,SRD5A2;SRD5A3,409.5,1.0,1.0
50,SRD5A2;HSD17B3,409.5,1.0,1.0
51,SRD5A2;CYP19A1,409.5,1.0,1.0
52,SRD5A2;HSD3B2,409.5,1.0,1.0
53,HSD3B2;SRD5A3,409.5,1.0,1.0
54,HSD3B2;HSD17B3,409.5,1.0,1.0
55,HSD3B2;CYP1A1,409.5,1.0,1.0
56,HSD3B2;CYP19A1,409.5,1.0,1.0
57,HSD17B3;SRD5A3,409.5,1.0,1.0
58,HSD17B3;CYP19A1,409.5,1.0,1.0
59,CYP1A1;CYP3A5,409.5,1.0,1.0
60,CYP1A1;CYP2A6,409.5,1.0,1.0
61,CYP1A1;CYP4A11,409.5,1.0,1.0
62,CYP1A1;CYP2B6,409.5,1.0,1.0
63,CYP1A1;CYP3A7,409.5,1.0,1.0
64,CYP1A1;CYP1A2,409.5,1.0,1.0
65,CYP1A1;CYP3A4,409.5,1.0,1.0
66,CYP1A1;CYP19A1,409.5,1.0,1.0
67,CYP1A1;EPHX1,409.5,1.0,1.0
68,CYP19A1;CYP3A4,409.5,1.0,1.0
69,CYP4F2;CYP2B6,409.5,1.0,1.0
70,CYP2B6;SULT2A1,409.5,1.0,1.0
71,CYP2B6;CYP3A5,409.5,1.0,1.0
72,CYP2B6;PPIG,409.5,1.0,1.0
73,CYP2B6;CYP2A6,409.5,1.0,1.0
74,CYP2B6;CYP4A11,409.5,1.0,1.0
75,CYP2B6;CYP1A2,409.5,1.0,1.0
76,CYP2B6;AOX1,409.5,1.0,1.0
77,CYP2B6;CYP3A4,409.5,1.0,1.0
78,CYP2B6;EPHX1,409.5,1.0,1.0
79,CYP2B6;CYP3A7,409.5,1.0,1.0
80,CYP3A5;CYP3A7,409.5,1.0,1.0
81,CYP3A5;CYP2A6,409.5,1.0,1.0
82,CYP3A5;CYP4A11,409.5,1.0,1.0
83,CYP3A5;CYP3A4,409.5,1.0,1.0
84,CYP3A5;CYP1A2,409.5,1.0,1.0
85,CYP3A7;CYP2A6,409.5,1.0,1.0
86,CYP3A7;CYP1A2,409.5,1.0,1.0
87,CYP2A6;AOX1,409.5,1.0,1.0
88,CYP2A6;CYP3A4,409.5,1.0,1.0
89,CYP2A6;CYP1A2,409.5,1.0,1.0
90,CYP2A6;CYP4A11,409.5,1.0,1.0
91,CYP4A11;CYP3A4,409.5,1.0,1.0
92,CYP4A11;CYP1A2,409.5,1.0,1.0
93,CYP3A4;PPIG,409.5,1.0,1.0
94,CYP3A4;CYP1A2,409.5,1.0,1.0
95,CYP3A4;AOX1,409.5,1.0,1.0
96,CYP3A4;EPHX1,409.5,1.0,1.0
97,CYP1A2;PPIG,409.5,1.0,1.0
98,CYP1A2;EPHX1,409.5,1.0,1.0
