,Edge,U,pval,adj_pvals
0,DDR2/VWF,139.5,0.13651540667221035,0.21153738691549712
1,CCT8/CCT2,186.0,0.7675120518250553,0.8412001080458126
2,CCT8/BUB3,75.5,0.0017057541228274957,0.00709475105156472
3,EIF5A/CCT2,159.5,0.32714399368321334,0.426278537223581
4,EIF5A/KARS1,73.0,0.0013612310837834874,0.006886227835610583
5,EIF5A/PEAK1,198.0,1.0,1.0
6,EIF5A/RPL22L1,198.0,1.0,1.0
7,HSPG2/DCN,237.5,0.3153618361308306,0.41521886467183566
8,HSPG2/MMP2,235.5,0.34198532496110057,0.43896623800977086
9,HSPG2/LAMA4,252.0,0.16941047649669472,0.25337914745592605
10,HSPG2/LAMC1,261.5,0.10560661588881065,0.1713616786120324
11,HSPG2/KDR,128.5,0.076428529766329,0.1369344491646728
12,HSPG2/VCAN,257.5,0.12964249894933666,0.20457348458060462
13,HSPG2/FBN1,271.0,0.062476646106935436,0.11707924673264804
14,HSPG2/FBLN1,264.5,0.08988751661979322,0.15157502802553366
15,LAP3/IFIT3,131.0,0.0874283631803158,0.14888790561400314
16,LAP3/STAT1,92.5,0.006964761618879155,0.01815059088556386
17,TCF4/MEF2C,245.5,0.22755686098660832,0.3156433878201341
18,CXCL11/CXCL10,287.5,0.022199141882121024,0.050240163206905476
19,CXCL11/IFIT3,327.0,0.0009729479772982126,0.006035366822582457
20,CXCL11/GBP5,329.5,0.0007723638242773093,0.005109483760603739
21,CXCL11/GBP4,329.5,0.0007711250066942494,0.005109483760603739
22,CXCL11/UBD,336.0,0.00041675595435324226,0.004178080989161969
23,CXCL11/CXCL9,315.5,0.0026675711535534305,0.009176444768223801
24,CXCL11/STAT1,326.5,0.0010168091210906007,0.006035366822582457
25,CXCL11/IDO1,325.5,0.0011134803476798994,0.006268617427915121
26,UBD/CXCL10,330.5,0.000701860576796227,0.005109483760603739
27,UBD/PSMB10,188.0,0.8068814705777086,0.8678006287700798
28,UBD/CXCL9,321.0,0.0016640581598989501,0.00709475105156472
29,UBD/PSMB9,243.0,0.2523881874854963,0.34452990672623307
30,UBD/PSMB8,202.5,0.91809940030667,0.9570490718348318
31,UBD/PSMD6,184.0,0.7284886810953206,0.8136944666996951
32,LY6E/IFIT3,120.0,0.046302664176578245,0.09595250889604166
33,VWF/DCN,166.5,0.4260943318456365,0.5388840079224226
34,VWF/MCAM,148.5,0.20808300160330684,0.2957874072377585
35,VWF/ITGA7,130.0,0.083036101485654,0.14282209455532488
36,VWF/CD34,188.0,0.8072563988558882,0.8678006287700798
37,VWF/THBD,198.0,1.0,1.0
38,VWF/KDR,78.5,0.002249093680025962,0.008230725807754585
39,VWF/GJA1,171.0,0.4962623495374835,0.6096937437174798
40,VWF/TEK,176.0,0.5804306033050839,0.6844862341470423
41,IFIT3/BST2,228.5,0.4410797228565986,0.5537643235863866
42,IFIT3/UBE2L6,220.0,0.5810173847992336,0.6844862341470423
43,IFIT3/CXCL10,246.0,0.2226189766618597,0.3113045852507306
44,IFIT3/STAT1,278.5,0.04002305025819525,0.08395078834645832
45,IFIT3/GBP5,268.5,0.0723638717074608,0.13101669403877111
46,IFIT3/GBP4,262.0,0.10310692771488175,0.16889896730437773
47,UBE2L6/BST2,230.0,0.41722385841022347,0.5315741010856181
48,UBE2L6/GBP4,129.5,0.08055057003495739,0.14137446985727214
49,UBE2L6/TAP1,85.5,0.003964204528586943,0.012864965639942532
50,UBE2L6/PSMB8,79.5,0.0023962891106420374,0.008586702646467301
51,UBE2L6/PSMB9,84.5,0.0036423106819616197,0.012047643024949973
52,UBE2L6/STAT1,196.0,0.9692427959324734,0.9864555226621771
53,UBE2L6/PSMB10,91.5,0.006364765466035811,0.01730277634790712
54,COL7A1/LAMA4,201.5,0.9386121912215376,0.9667143526353561
55,COL7A1/LAMC1,206.0,0.8473226219657877,0.8996264875192314
56,COL7A1/LAMC2,192.5,0.8978730568716367,0.941671742572692
57,COL7A1/COL14A1,202.0,0.9284205395352744,0.9619779084341397
58,COL7A1/COL12A1,227.5,0.4565617261957905,0.5690479485918548
59,CENPU/BUB3,321.5,0.0015930895786731762,0.00709475105156472
60,CENPU/H4C8,335.5,0.0004362877604566436,0.004178080989161969
61,DCN/MMP2,260.0,0.11361929928562638,0.18184332502434425
62,DCN/PDGFRA,260.0,0.11418069245714639,0.18184332502434425
63,DCN/VCAN,285.0,0.026166533934124478,0.05844991995674558
64,DCN/FBN1,298.0,0.010430032754820564,0.025628080483273388
65,DCN/FBLN1,330.0,0.0007197928940581111,0.005109483760603739
66,DCN/KDR,66.0,0.000733953783344675,0.005109483760603739
67,DCN/COL14A1,273.5,0.05407371278824704,0.10450200673683697
68,H4C8/MNAT1,57.5,0.0003262333897388158,0.004008010216791165
69,H4C8/CGAS,50.0,0.0001532230992400866,0.0030693227872366203
70,H4C8/GTF2A2,55.0,0.00025461240518878127,0.0036494444743725317
71,PDGFRA/STAT1,40.5,5.5773243650060925e-05,0.0021433150513805238
72,PDGFRA/MEF2C,134.0,0.10310692771488175,0.16889896730437773
73,PDGFRA/CD34,160.0,0.3355815130672456,0.4339851146433552
74,MMP2/RECK,121.0,0.049118350088860376,0.09823670017772075
75,MMP2/COL12A1,126.0,0.06628739261225222,0.12129182477986578
76,MMP2/CD34,147.0,0.194599897548987,0.2812704401548383
77,MMP2/FBN1,209.5,0.7773404053390869,0.8462186691033098
78,MMP2/KDR,37.0,3.742206157027427e-05,0.0021433150513805238
79,HLA-DQA1/STAT1,156.5,0.2923503691384973,0.3898004921846631
80,HLA-DQA1/IDO1,76.0,0.0018103847129344766,0.0070947704561408415
81,HLA-DQA1/HLA-DQB1,149.5,0.21724148555365008,0.30627488127235913
82,HLA-DQA1/PSMB9,142.5,0.1578751543576158,0.23842498979365048
83,HLA-DQA1/HLA-DRB1,129.0,0.07822048884563655,0.13870024826236585
84,HLA-DQA1/CXCL9,86.5,0.004373246496308822,0.01343211423866281
85,HLA-DQA1/HLA-B,147.5,0.19887717618579914,0.28505728586631207
86,BATF2/GBP4,210.0,0.7678396335069335,0.8412001080458126
87,BATF2/GBP5,280.0,0.03642490999849318,0.07831355649676035
88,TEK/KDR,89.0,0.005354576617340632,0.015349786303043145
89,TEK/CD34,181.0,0.6719241328818195,0.7704730057044864
90,IDO1/CXCL10,320.0,0.0018160782912288842,0.0070947704561408415
91,IDO1/STAT1,337.0,0.000377776720658483,0.004178080989161969
92,IDO1/CXCL9,306.0,0.00575528238948806,0.015966267274063653
93,IDO1/GBP5,335.5,0.00043724103374950845,0.004178080989161969
94,IDO1/GBP4,325.0,0.0011662544051935107,0.006268617427915121
95,CALHM6/GBP5,217.5,0.6257333173661486,0.7223230240736749
96,PSMB8/BST2,54.0,0.00022302441648217543,0.0034872908759031067
97,PSMB8/TAP1,58.0,0.00032611701356125125,0.004008010216791165
98,PSMB8/PSMB10,43.5,6.253388677285149e-05,0.0021433150513805238
99,PSMB8/STAT1,72.5,0.0013055388242022513,0.00680462659887234
100,PSMB8/PSMB9,121.5,0.04898900959715321,0.09823670017772075
101,PSMB8/HLA-B,74.5,0.001560911543712698,0.00709475105156472
102,PSMB8/PSMD6,43.5,7.476680411792525e-05,0.0021433150513805238
103,MNAT1/GTF2A2,92.0,0.0067658055269464445,0.017903362317458284
104,FBN1/LAMC1,154.5,0.26963321804394325,0.3651725472721121
105,FBN1/VCAN,175.5,0.5720773153321855,0.6844862341470423
106,FBN1/COL12A1,121.5,0.051046041170829226,0.10007460634452205
107,FBN1/FBLN1,155.5,0.2806591133351988,0.3771356835441734
108,FBN1/FBLN5,133.5,0.1004337108659086,0.16771454630035224
109,FBN1/MFAP4,125.5,0.06457922291899952,0.11943684238782708
110,GJA1/GJB1,224.0,0.5126004297634797,0.6252998150306278
111,CXCL10/GBP4,320.5,0.0017324392102658038,0.00709475105156472
112,CXCL10/CGAS,237.5,0.3162422748372702,0.41521886467183566
113,CXCL10/GBP5,331.0,0.0006710852290732524,0.005109483760603739
114,CXCL10/STAT1,321.0,0.0016646473757620476,0.00709475105156472
115,CXCL10/CXCL9,321.0,0.001659937391434488,0.00709475105156472
116,WARS1/KARS1,319.5,0.0018849912312891215,0.0070947704561408415
117,WARS1/STAT1,220.0,0.5807430264116185,0.6844862341470423
118,WARS1/GBP5,108.0,0.021361159665508146,0.04898825949956535
119,BST2/STAT1,271.0,0.06262378313606755,0.11707924673264804
120,CD34/KDR,69.5,0.0010175909177609957,0.006035366822582457
121,CD34/MCAM,250.5,0.18178927504250642,0.26724577185735987
122,TAP1/HLA-DQB1,151.5,0.23692068858403748,0.3260028674916356
123,TAP1/PSMB10,86.5,0.004271898152305114,0.013359390585390539
124,TAP1/STAT1,114.0,0.03173979026289811,0.06910435348377816
125,TAP1/GBP5,94.0,0.007841185086556608,0.020129609475936366
126,TAP1/HLA-B,142.5,0.157010933246417,0.23842498979365048
127,TAP1/PSMB9,112.5,0.028438229456780283,0.06270994187905396
128,HSPA2/DNAJA1,25.0,9.535570152368925e-06,0.0008200590331037276
129,ADAMTS9/VCAN,142.5,0.15802586532834972,0.23842498979365048
130,PSMB10/PSMB9,124.5,0.059925230926720766,0.11452377465995524
131,PSMB10/PSMD6,94.5,0.008050941676659245,0.020364146593902798
132,PSMB10/STAT1,81.5,0.002874652313127633,0.009694905840352016
133,COL12A1/LAMC1,219.0,0.5987287500290663,0.7005533673809484
134,COL12A1/VCAN,176.0,0.5809675413369512,0.6844862341470423
135,COL12A1/COL14A1,203.5,0.897869710391202,0.941671742572692
136,FBLN5/FBLN1,103.0,0.015275118451402394,0.03550432937352989
137,FBLN5/MFAP4,184.0,0.7285403946032154,0.8136944666996951
138,KARS1/CCT2,99.5,0.011806535495827013,0.02820450146225342
139,FHL1/STAT1,52.5,0.00019746802121145722,0.003396449964837064
140,LAMA4/LAMC1,296.0,0.012315812558461847,0.029018078904869012
141,LAMA4/MCAM,196.0,0.96924990308086,0.9864555226621771
142,LAMA4/ITGA7,213.0,0.7095346049476758,0.8031219397608491
143,LAMA4/LAMC2,218.0,0.6166112994828925,0.7166023210206589
144,GTF2A2/SNAPC3,266.0,0.08213260730255836,0.14269503490949534
145,CCT2/DNAJA1,320.5,0.001624940471762921,0.00709475105156472
146,GBP4/STAT1,330.5,0.0007030046021344931,0.005109483760603739
147,GBP4/CXCL9,315.5,0.0026641015051518287,0.009176444768223801
148,GBP4/GBP5,345.5,0.00016060409933214874,0.0030693227872366203
149,CD47/KDR,372.0,8.388546396513485e-06,0.0008200590331037276
150,FBLN1/LAMC1,71.0,0.0011645020286354234,0.006268617427915121
151,FBLN1/VCAN,91.5,0.006438242362011951,0.01730277634790712
152,FBLN1/MFAP4,46.5,0.0001061311743978097,0.0026077945709176097
153,CXCL9/HLA-DRB1,225.0,0.49616295079595774,0.6096937437174798
154,CXCL9/STAT1,309.0,0.004561020296977535,0.01376307879087958
155,CXCL9/GBP5,319.5,0.0018974386103632482,0.0070947704561408415
156,HLA-DQB1/HLA-DRB1,251.0,0.17755308373123913,0.26326836553252697
157,HLA-DQB1/STAT1,249.5,0.19021835769958728,0.27726743664685605
158,HLA-DQB1/HLA-B,297.5,0.010970058906441076,0.02657535397053331
159,PSMB9/STAT1,120.5,0.047692813304828184,0.09765671295750533
160,PSMB9/PSMD6,122.0,0.05120096138556942,0.10007460634452205
161,PSMB9/HLA-B,95.0,0.008294042237899257,0.020675003839401046
162,HLA-DRB1/STAT1,308.0,0.004929931183754313,0.01461979592423693
163,HLA-DRB1/HLA-B,184.5,0.7380850740572931,0.8190363402442219
164,COL14A1/LAMC1,183.0,0.7097356676956341,0.8031219397608491
165,COL14A1/MFAP4,117.5,0.040016496012920434,0.08395078834645832
166,MCAM/KDR,89.5,0.005562516177389036,0.015684471844441213
167,HLA-B/STAT1,189.5,0.8370329204053246,0.8942215050292909
168,GBP5/STAT1,330.5,0.0007027184758792601,0.005109483760603739
169,STAT1/CGAS,310.0,0.004174966146472656,0.013298040318394384
170,LAMC2/ITGA7,307.0,0.005331880840650601,0.015349786303043145
171,LAMC1/ITGA7,257.0,0.13310323342948813,0.20812505590792688
