,drug,tissue,feature,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
46,Ipi+Pembro,SKCM,node,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
47,Ipi+Pembro,SKCM,node-random,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
48,Ipi+Pembro,SKCM,node-norm,3,71,1.0,1.0,0.7142857142857143,0.75,2,1,1,3
49,Ipi+Pembro,SKCM,node-norm-random,3,71,1.0,1.0,0.7142857142857143,0.8333333333333334,2,1,1,3
50,Ipi+Pembro,SKCM,edge+targets,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
51,Ipi+Pembro,SKCM,edge+targets-random,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
52,Ipi+Pembro,SKCM,node+targets,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
53,Ipi+Pembro,SKCM,node+targets-random,3,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
54,Ipi+Pembro,SKCM,node-norm+targets,3,71,1.0,1.0,0.7142857142857143,0.75,2,1,1,3
55,Ipi+Pembro,SKCM,node-norm+targets-random,3,71,1.0,1.0,0.7142857142857143,0.75,2,1,1,3
56,Ipi+Pembro,SKCM,targets,4,2,0.7222222222222222,0.7361111111111112,0.5714285714285714,0.5,2,1,2,2
57,Ipi+Pembro,SKCM,DiffExp,4,31,1.0,1.0,0.8571428571428571,1.0,3,0,1,3
58,Ipi+Pembro,SKCM,edge,4,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
59,Ipi+Pembro,SKCM,edge-random,4,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
60,Ipi+Pembro,SKCM,node,4,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
61,Ipi+Pembro,SKCM,node-random,4,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
62,Ipi+Pembro,SKCM,node-norm,4,72,1.0,1.0,0.5714285714285714,0.5,1,2,1,3
63,Ipi+Pembro,SKCM,node-norm-random,4,72,1.0,1.0,0.5714285714285714,0.5833333333333334,1,2,1,3
64,Ipi+Pembro,SKCM,edge+targets,4,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
65,Ipi+Pembro,SKCM,edge+targets-random,4,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
66,Ipi+Pembro,SKCM,node+targets,4,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
67,Ipi+Pembro,SKCM,node+targets-random,4,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
68,Ipi+Pembro,SKCM,node-norm+targets,4,72,1.0,1.0,0.5714285714285714,0.5,1,2,1,3
69,Ipi+Pembro,SKCM,node-norm+targets-random,4,72,1.0,1.0,0.8571428571428571,0.6666666666666667,2,1,0,4
70,Ipi+Pembro,SKCM,targets,5,2,0.7222222222222222,0.6666666666666666,0.5714285714285714,0.7500000000000001,2,1,2,2
71,Ipi+Pembro,SKCM,DiffExp,5,31,1.0,1.0,1.0,1.0,3,0,0,4
72,Ipi+Pembro,SKCM,edge,5,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
73,Ipi+Pembro,SKCM,edge-random,5,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
74,Ipi+Pembro,SKCM,node,5,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
75,Ipi+Pembro,SKCM,node-random,5,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
76,Ipi+Pembro,SKCM,node-norm,5,68,1.0,1.0,0.8571428571428571,0.9166666666666667,3,0,1,3
77,Ipi+Pembro,SKCM,node-norm-random,5,68,1.0,1.0,0.8571428571428571,1.0,3,0,1,3
78,Ipi+Pembro,SKCM,edge+targets,5,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
79,Ipi+Pembro,SKCM,edge+targets-random,5,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
80,Ipi+Pembro,SKCM,node+targets,5,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
81,Ipi+Pembro,SKCM,node+targets-random,5,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
82,Ipi+Pembro,SKCM,node-norm+targets,5,68,1.0,1.0,0.8571428571428571,0.9166666666666667,3,0,1,3
83,Ipi+Pembro,SKCM,node-norm+targets-random,5,68,1.0,1.0,1.0,1.0,3,0,0,4
84,Ipi+Pembro,SKCM,targets,6,2,0.6666666666666666,0.6666666666666667,0.5714285714285714,0.8333333333333334,3,0,3,1
85,Ipi+Pembro,SKCM,DiffExp,6,31,1.0,1.0,1.0,1.0,3,0,0,4
86,Ipi+Pembro,SKCM,edge,6,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
87,Ipi+Pembro,SKCM,edge-random,6,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
88,Ipi+Pembro,SKCM,node,6,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
89,Ipi+Pembro,SKCM,node-random,6,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
90,Ipi+Pembro,SKCM,node-norm,6,66,1.0,1.0,0.7142857142857143,0.9166666666666667,2,1,1,3
91,Ipi+Pembro,SKCM,node-norm-random,6,66,1.0,1.0,0.7142857142857143,0.75,3,0,2,2
