drug,source tissue,target tissue,type,feature,pval,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
Atezo,BLCA,KIRC,strict,edge,0.1,17,663,1.0,1.0,0.5714285714285714,0.49759615384615385,19,7,11,5
Atezo,BLCA,KIRC,strict,edge,0.1,18,663,1.0,1.0,0.6190476190476191,0.617283950617284,23,4,12,3
Atezo,BLCA,KIRC,strict,edge,0.1,19,663,1.0,1.0,0.6190476190476191,0.5506172839506173,21,6,10,5
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,0,663,1.0,1.0,0.5952380952380952,0.6153846153846154,21,8,9,4
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,1,663,1.0,1.0,0.6904761904761905,0.7012345679012346,22,5,8,7
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,2,663,1.0,1.0,0.6666666666666666,0.6334310850439883,25,6,8,3
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,3,663,1.0,1.0,0.7619047619047619,0.7188328912466844,26,3,7,6
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,4,663,1.0,1.0,0.6666666666666666,0.6224489795918368,22,6,8,6
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,5,663,1.0,1.0,0.7142857142857143,0.7241379310344829,26,3,9,4
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,6,663,1.0,1.0,0.6190476190476191,0.6041055718475072,21,10,6,5
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,7,663,1.0,1.0,0.7619047619047619,0.713527851458886,25,4,6,7
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,8,663,1.0,1.0,0.7380952380952381,0.7108753315649867,24,5,6,7
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,9,663,1.0,1.0,0.7380952380952381,0.5472222222222222,27,3,8,4
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,10,663,1.0,1.0,0.6666666666666666,0.6805555555555555,21,9,5,7
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,11,663,1.0,1.0,0.6666666666666666,0.6286764705882353,24,10,4,4
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,12,663,1.0,1.0,0.7857142857142857,0.671875,27,5,4,6
Atezo,BLCA,KIRC,strict,edge-matched-random,0.1,13,663,1.0,1.0,0.6190476190476191,0.5918367346938775,21,7,9,5
