,Edge,U,pval,adj_pvals
0,CALM3;DLG4,431.0,0.1521501158390501,1.0
1,CALM3;RYR1,337.5,0.754392040017942,1.0
2,CALM3;FKBP1B,345.0,1.0,1.0
3,CALM3;RYR2,337.5,0.754392040017942,1.0
4,CALM3;TRDN,337.5,0.754392040017942,1.0
5,FLNC;SGCD,330.0,0.43120440925627146,1.0
6,SNTA1;SGCD,345.0,1.0,1.0
7,SNTA1;SSPN,345.0,1.0,1.0
8,SNTA1;DAG1,345.0,1.0,1.0
9,SNTA1;DMD,345.0,1.0,1.0
10,SNTA1;SGCA,345.0,1.0,1.0
11,SNTA1;CAV3,345.0,1.0,1.0
12,SGCD;SGCG,345.0,1.0,1.0
13,SGCD;SSPN,345.0,1.0,1.0
14,SGCD;SGCA,345.0,1.0,1.0
15,SGCD;CAV3,345.0,1.0,1.0
16,SGCD;SGCE,322.5,0.32548266266419046,1.0
17,SGCD;DAG1,345.0,1.0,1.0
18,SGCD;DMD,345.0,1.0,1.0
19,SGCD;SGCB,345.0,1.0,1.0
20,SSPN;SGCG,345.0,1.0,1.0
21,SSPN;DMD,345.0,1.0,1.0
22,SSPN;DAG1,345.0,1.0,1.0
23,SSPN;SGCE,322.5,0.32548266266419046,1.0
24,SSPN;SGCA,345.0,1.0,1.0
25,DAG1;SGCG,345.0,1.0,1.0
26,DAG1;SGCA,345.0,1.0,1.0
27,DAG1;NRXN2,316.0,0.41584606902004584,1.0
28,DAG1;CAV3,345.0,1.0,1.0
29,DAG1;DMD,345.0,1.0,1.0
30,DAG1;SGCB,345.0,1.0,1.0
31,DAG1;NRXN1,317.0,0.4323950015572855,1.0
32,DAG1;SGCE,322.5,0.32548266266419046,1.0
33,DMD;SGCG,345.0,1.0,1.0
34,DMD;SGCA,345.0,1.0,1.0
35,DMD;CAV3,345.0,1.0,1.0
36,DMD;SGCE,322.5,0.32548266266419046,1.0
37,DMD;SGCB,345.0,1.0,1.0
38,SGCA;SGCG,345.0,1.0,1.0
39,SGCA;SGCB,345.0,1.0,1.0
40,CAV3;SGCB,345.0,1.0,1.0
41,SGCG;SGCB,345.0,1.0,1.0
42,SGCB;SGCE,322.5,0.32548266266419046,1.0
43,NRXN2;NLGN4Y,337.5,0.5940537303751279,1.0
44,NRXN2;DLG4,352.5,0.5940537303751279,1.0
45,NRXN1;NLGN4Y,345.0,1.0,1.0
46,NRXN1;DLG4,345.0,1.0,1.0
47,DLG4;NLGN4Y,345.0,1.0,1.0
48,HRC;TRDN,345.0,1.0,1.0
49,TRDN;CASQ2,345.0,1.0,1.0
50,TRDN;FKBP1B,337.5,0.5940537303751279,1.0
51,TRDN;RYR1,345.0,1.0,1.0
52,TRDN;RYR2,345.0,1.0,1.0
53,TRDN;CASQ1,337.5,0.5940537303751279,1.0
54,TRDN;ASPH,345.0,1.0,1.0
55,CASQ2;RYR2,345.0,1.0,1.0
56,CASQ2;RYR1,345.0,1.0,1.0
57,CASQ2;ASPH,345.0,1.0,1.0
58,RYR2;RYR1,345.0,1.0,1.0
59,RYR2;ASPH,345.0,1.0,1.0
60,RYR2;CASQ1,337.5,0.5940537303751279,1.0
61,RYR2;FKBP1B,337.5,0.5940537303751279,1.0
62,RYR1;ASPH,345.0,1.0,1.0
63,RYR1;CASQ1,337.5,0.5940537303751279,1.0
64,RYR1;FKBP1B,337.5,0.5940537303751279,1.0
65,ASPH;CASQ1,337.5,0.5940537303751279,1.0
66,ASPH;FKBP1B,352.5,0.5940537303751279,1.0
