drug,source tissue,target tissue,type,feature,pval,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
erlotinib,BRCA,LUAD,strict,edge,0.1,0,24,0.8,0.891304347826087,0.5625,0.5625,5,3,4,4
erlotinib,BRCA,LUAD,strict,edge,0.1,1,24,0.7777777777777778,0.9189723320158103,0.5,0.4920634920634921,5,4,4,3
erlotinib,BRCA,LUAD,strict,edge,0.1,2,24,0.8888888888888888,0.8972332015810277,0.625,0.59375,6,2,4,4
erlotinib,BRCA,LUAD,strict,edge,0.1,3,24,0.8888888888888888,0.9644268774703557,0.4375,0.4920634920634921,4,5,4,3
erlotinib,BRCA,LUAD,strict,edge,0.1,4,24,0.8,0.8952569169960474,0.5,0.5625,4,4,4,4
erlotinib,BRCA,LUAD,strict,edge,0.1,5,24,0.8,0.9367588932806323,0.5,0.421875,4,4,4,4
erlotinib,BRCA,LUAD,strict,edge,0.1,6,24,0.7777777777777778,0.901185770750988,0.625,0.59375,7,1,5,3
erlotinib,BRCA,LUAD,strict,edge,0.1,7,24,0.8444444444444444,0.9372469635627532,0.4375,0.4375,5,7,2,2
erlotinib,BRCA,LUAD,strict,edge,0.1,8,24,0.9777777777777777,0.97,0.5625,0.55,5,1,6,4
erlotinib,BRCA,LUAD,strict,edge,0.1,9,24,0.9111111111111111,0.9676113360323886,0.3125,0.375,2,10,1,3
erlotinib,BRCA,LUAD,strict,edge,0.1,10,24,0.8444444444444444,0.9219999999999999,0.5625,0.5333333333333333,4,2,5,5
erlotinib,BRCA,LUAD,strict,edge,0.1,11,24,0.9333333333333333,0.98,0.4375,0.30000000000000004,2,4,5,5
erlotinib,BRCA,LUAD,strict,edge,0.1,12,24,0.8222222222222222,0.916,0.5,0.5272727272727272,4,7,1,4
erlotinib,BRCA,LUAD,strict,edge,0.1,13,24,0.8222222222222222,0.9119999999999999,0.5,0.6166666666666667,4,2,6,4
erlotinib,BRCA,LUAD,strict,edge,0.1,14,24,0.8,0.8988095238095236,0.625,0.6333333333333333,7,3,3,3
erlotinib,BRCA,LUAD,strict,edge,0.1,15,24,0.8444444444444444,0.9484126984126984,0.5,0.55,3,7,1,5
erlotinib,BRCA,LUAD,strict,edge,0.1,16,24,0.8888888888888888,0.9554655870445344,0.5,0.4545454545454546,3,2,6,5
