drug,source tissue,target tissue,feature,pval,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
Atezo,BLCA,KIRC,edge,0.1,0,183,1.0,1.0,0.6190476190476191,0.6444444444444445,21,9,7,5
Atezo,BLCA,KIRC,edge,0.1,1,183,1.0,1.0,0.5952380952380952,0.5972222222222222,20,10,7,5
Atezo,BLCA,KIRC,edge,0.1,2,183,0.952,0.9892506142506142,0.42857142857142855,0.3305555555555556,17,13,11,1
Atezo,BLCA,KIRC,edge,0.1,3,183,1.0,1.0,0.5714285714285714,0.5444444444444445,20,10,8,4
Atezo,BLCA,KIRC,edge,0.1,4,183,1.0,1.0,0.5714285714285714,0.5138888888888888,21,9,9,3
Atezo,BLCA,KIRC,edge,0.1,5,183,1.0,1.0,0.6428571428571429,0.7583333333333333,19,11,4,8
Atezo,BLCA,KIRC,edge,0.1,6,183,1.0,1.0,0.6190476190476191,0.5416666666666666,22,8,8,4
Atezo,BLCA,KIRC,edge,0.1,7,183,0.96,0.9953931203931204,0.6904761904761905,0.6222222222222222,25,5,8,4
Atezo,BLCA,KIRC,edge,0.1,8,183,0.984,0.9993857493857494,0.5952380952380952,0.55,20,10,7,5
Atezo,BLCA,KIRC,edge,0.1,9,183,1.0,1.0,0.7142857142857143,0.6972222222222223,26,4,8,4
Atezo,BLCA,KIRC,edge,0.1,10,183,0.976,1.0,0.6428571428571429,0.6222222222222222,22,8,7,5
Atezo,BLCA,KIRC,edge,0.1,11,183,0.96,0.9966216216216217,0.5952380952380952,0.5305555555555556,20,10,7,5
Atezo,BLCA,KIRC,edge,0.1,12,183,1.0,1.0,0.6190476190476191,0.5333333333333333,25,5,11,1
Atezo,BLCA,KIRC,edge,0.1,13,183,0.992,1.0,0.6428571428571429,0.5527777777777778,23,7,8,4
Atezo,BLCA,KIRC,edge,0.1,14,183,0.992,1.0,0.6666666666666666,0.7222222222222222,24,6,8,4
Atezo,BLCA,KIRC,edge,0.1,15,183,0.944,0.9950859950859952,0.6190476190476191,0.6416666666666667,21,9,7,5
Atezo,BLCA,KIRC,edge,0.1,16,183,0.976,0.9963144963144963,0.5714285714285714,0.6083333333333334,18,12,6,6
Atezo,BLCA,KIRC,edge,0.1,17,183,0.976,0.9963144963144963,0.5714285714285714,0.5416666666666667,19,11,7,5
Atezo,BLCA,KIRC,edge,0.1,18,183,1.0,1.0,0.5714285714285714,0.46111111111111114,24,6,12,0
Atezo,BLCA,KIRC,edge,0.1,19,183,0.944,0.9855651105651106,0.6428571428571429,0.6555555555555556,21,9,6,6
Atezo,BLCA,KIRC,edge,0.1,20,183,1.0,1.0,0.6428571428571429,0.6083333333333334,22,8,7,5
Atezo,BLCA,KIRC,edge,0.1,21,183,1.0,1.0,0.5714285714285714,0.5583333333333333,20,10,8,4
Atezo,BLCA,KIRC,edge,0.1,22,183,0.968,0.9957002457002457,0.5952380952380952,0.5694444444444444,22,8,9,3
Atezo,BLCA,KIRC,edge,0.1,23,183,0.984,0.9938574938574939,0.6428571428571429,0.7027777777777777,18,12,3,9
Atezo,BLCA,KIRC,edge,0.1,24,183,0.96,0.9923218673218673,0.5952380952380952,0.5111111111111111,22,8,9,3
Atezo,BLCA,KIRC,edge,0.1,25,183,0.992,1.0,0.5476190476190477,0.4472222222222222,19,11,8,4
Atezo,BLCA,KIRC,edge,0.1,26,183,0.944,0.9917076167076168,0.6428571428571429,0.65,20,10,5,7
