drug,source tissue,target tissue,feature,pval,iter,feature_dim,predicted_class,predicted_prob,true_class
Pembro,STAD,SKCM,edge,0.1,0,47,0,0.35965980068878733,0
Pembro,STAD,SKCM,edge,0.1,1,47,1,0.8147761680123008,0
Pembro,STAD,SKCM,edge,0.1,2,47,1,0.6204344969969282,0
Pembro,STAD,SKCM,edge,0.1,3,47,1,0.5594440114690211,0
Pembro,STAD,SKCM,edge,0.1,4,47,0,0.48974066151416834,0
Pembro,STAD,SKCM,edge,0.1,5,47,0,0.3970140837622521,0
Pembro,STAD,SKCM,edge,0.1,6,47,0,0.21903621444352164,0
Pembro,STAD,SKCM,edge,0.1,7,47,0,0.34738114214405413,0
Pembro,STAD,SKCM,edge,0.1,8,47,0,0.2902293053415644,0
Pembro,STAD,SKCM,edge,0.1,9,47,1,0.6242327971129337,0
Pembro,STAD,SKCM,edge,0.1,10,47,0,0.16385849654178306,0
Pembro,STAD,SKCM,edge,0.1,11,47,0,0.3069958071723204,0
Pembro,STAD,SKCM,edge,0.1,12,47,0,0.3847989768747434,0
Pembro,STAD,SKCM,edge,0.1,13,47,0,0.3335222383513843,0
Pembro,STAD,SKCM,edge,0.1,14,47,1,0.6580158734965764,0
Pembro,STAD,SKCM,edge,0.1,15,47,0,0.4065379178470808,1
Pembro,STAD,SKCM,edge,0.1,16,47,0,0.25095199500579296,0
Pembro,STAD,SKCM,edge,0.1,17,47,0,0.10523633794003875,0
Pembro,STAD,SKCM,edge,0.1,18,47,1,0.6124604948773359,1
Pembro,STAD,SKCM,edge,0.1,19,47,1,0.6983396845343489,1
Pembro,STAD,SKCM,edge,0.1,20,47,1,0.5484599796242884,1
Pembro,STAD,SKCM,edge,0.1,21,47,1,0.585185205573794,1
Pembro,STAD,SKCM,edge,0.1,22,47,0,0.31238776325896084,1
Pembro,STAD,SKCM,edge,0.1,23,47,0,0.27918124956721746,1
Pembro,STAD,SKCM,edge,0.1,24,47,1,0.7086740147683749,1
Pembro,STAD,SKCM,edge,0.1,25,47,1,0.6975052609724643,1
Pembro,STAD,SKCM,edge,0.1,26,47,1,0.6350208377585246,1
Pembro,STAD,SKCM,edge,0.1,27,47,1,0.6260627127608693,1
Pembro,STAD,SKCM,edge,0.1,28,47,1,0.609060159365253,1
Pembro,STAD,SKCM,edge,0.1,29,47,1,0.5488435840625354,1
Pembro,STAD,SKCM,edge,0.1,30,47,1,0.742844279717299,1
Pembro,STAD,SKCM,edge,0.1,31,47,1,0.6414566828009097,1
Pembro,STAD,SKCM,edge,0.1,32,47,1,0.7160437761402502,0
Pembro,STAD,SKCM,edge,0.1,33,47,1,0.5554437293036283,1
Pembro,STAD,SKCM,edge,0.1,34,47,0,0.49685233906746645,1
Pembro,STAD,SKCM,edge,0.1,35,47,0,0.47453500096150436,1
Pembro,STAD,SKCM,edge,0.1,36,47,1,0.883895509611627,1
Pembro,STAD,SKCM,edge,0.1,37,47,1,0.723475382777487,0
Pembro,STAD,SKCM,edge,0.1,38,47,0,0.25002426839451486,1
Pembro,STAD,SKCM,edge,0.1,39,47,1,0.6477695861736293,1
Pembro,STAD,SKCM,edge,0.1,40,47,0,0.11209973608593275,0
Pembro,STAD,SKCM,edge,0.1,41,47,0,0.25921761534845866,0
Pembro,STAD,SKCM,edge,0.1,42,47,0,0.08592766862278178,1
Pembro,STAD,SKCM,edge,0.1,43,47,0,0.16803128220186797,0
Pembro,STAD,SKCM,edge,0.1,44,47,1,0.5281038083372341,1
Pembro,STAD,SKCM,edge,0.1,45,47,0,0.2409071952675494,1
Pembro,STAD,SKCM,edge,0.1,46,47,1,0.886501704887377,0
Pembro,STAD,SKCM,edge,0.1,47,47,1,0.8948572352598979,0
Pembro,STAD,SKCM,edge,0.1,48,47,1,0.5476097227774783,0
Pembro,STAD,SKCM,edge,0.1,49,47,1,0.8155999395261632,0
Pembro,STAD,SKCM,edge,0.1,50,47,0,0.4272903034693799,1
Pembro,STAD,SKCM,edge,0.1,51,47,0,0.30553161252145633,1
Pembro,STAD,SKCM,edge,0.1,52,47,1,0.6027004165925574,0
Pembro,STAD,SKCM,edge,0.1,53,47,1,0.7781953355768485,0
Pembro,STAD,SKCM,edge,0.1,54,47,0,0.36571760657145636,0
Pembro,STAD,SKCM,edge,0.1,55,47,1,0.6582743077695534,1
Pembro,STAD,SKCM,edge,0.1,56,47,1,0.8720911076986576,1
Pembro,STAD,SKCM,edge,0.1,57,47,1,0.6376388336105918,1
Pembro,STAD,SKCM,edge,0.1,58,47,1,0.647321404723016,0
Pembro,STAD,SKCM,edge,0.1,59,47,0,0.14036129411918263,1
Pembro,STAD,SKCM,edge,0.1,60,47,0,0.23296479380232774,0
Pembro,STAD,SKCM,edge,0.1,61,47,0,0.38017803481332263,0
Pembro,STAD,SKCM,edge,0.1,62,47,1,0.5639331415528347,0
Pembro,STAD,SKCM,edge,0.1,63,47,1,0.5754861541497366,1
Pembro,STAD,SKCM,edge,0.1,64,47,0,0.38145870608594173,0
Pembro,STAD,SKCM,edge,0.1,65,47,0,0.33655137472064856,0
Pembro,STAD,SKCM,edge,0.1,66,47,0,0.4647916179041855,0
Pembro,STAD,SKCM,edge,0.1,67,47,0,0.36286731815071127,1
Pembro,STAD,SKCM,edge,0.1,68,47,1,0.6134194758747722,1
Pembro,STAD,SKCM,edge,0.1,69,47,0,0.48690632849509524,1
Pembro,STAD,SKCM,edge,0.1,70,47,1,0.8554954629816436,0
Pembro,STAD,SKCM,edge,0.1,71,47,0,0.24313730158328453,0
Pembro,STAD,SKCM,edge,0.1,72,47,0,0.3671692280358866,0
Pembro,STAD,SKCM,edge,0.1,73,47,0,0.18316178120959856,0
Pembro,STAD,SKCM,edge,0.1,74,47,1,0.5768718066108242,1
Pembro,STAD,SKCM,edge,0.1,75,47,0,0.1912718899143504,1
Pembro,STAD,SKCM,edge,0.1,76,47,1,0.5649190921295859,0
Pembro,STAD,SKCM,edge,0.1,77,47,1,0.5536682249914597,0
Pembro,STAD,SKCM,edge,0.1,78,47,0,0.43265759418957545,0
Pembro,STAD,SKCM,edge,0.1,79,47,1,0.5239677152838336,0
Pembro,STAD,SKCM,edge,0.1,80,47,0,0.06303851091554012,0
Pembro,STAD,SKCM,edge,0.1,81,47,1,0.6186411807205269,0
Pembro,STAD,SKCM,edge,0.1,82,47,1,0.7278025506057553,1
Pembro,STAD,SKCM,edge,0.1,83,47,1,0.5565432641360224,0
Pembro,STAD,SKCM,edge,0.1,84,47,0,0.09609523913841196,0
Pembro,STAD,SKCM,edge,0.1,85,47,1,0.537125598319586,0
Pembro,STAD,SKCM,edge,0.1,86,47,1,0.6102407512953473,1
Pembro,STAD,SKCM,edge,0.1,87,47,0,0.07075239113276655,1
Pembro,STAD,SKCM,edge,0.1,88,47,0,0.37850227399474995,0
Pembro,STAD,SKCM,edge,0.1,89,47,0,0.384946715146883,0
Pembro,STAD,SKCM,edge,0.1,90,47,1,0.529590171458052,1
Pembro,STAD,SKCM,edge,0.1,91,47,0,0.06895224595395097,1
Pembro,STAD,SKCM,edge,0.1,92,47,0,0.47414531022883577,1
Pembro,STAD,SKCM,edge,0.1,93,47,0,0.23959595366424677,0
Pembro,STAD,SKCM,edge,0.1,94,47,0,0.31449760352645517,0
Pembro,STAD,SKCM,edge,0.1,95,47,0,0.46687087303843566,1
Pembro,STAD,SKCM,edge,0.1,96,47,1,0.6005700849353627,1
Pembro,STAD,SKCM,edge,0.1,97,47,0,0.27183725198137026,0
Pembro,STAD,SKCM,edge,0.1,98,47,0,0.401324907685901,0
Pembro,STAD,SKCM,edge,0.1,99,47,0,0.2970720851268287,0
Pembro,STAD,SKCM,edge,0.1,100,47,0,0.3681950097280249,1
Pembro,STAD,SKCM,edge,0.1,101,47,0,0.33298376296109283,1
Pembro,STAD,SKCM,edge,0.1,102,47,1,0.5939191168945132,1
Pembro,STAD,SKCM,edge,0.1,103,47,1,0.7629951975878114,1
Pembro,STAD,SKCM,edge,0.1,104,47,0,0.37335111575816654,0
Pembro,STAD,SKCM,edge,0.1,105,47,0,0.26582082808829116,1
Pembro,STAD,SKCM,edge,0.1,106,47,0,0.1863882091412166,0
Pembro,STAD,SKCM,edge,0.1,107,47,0,0.3908363118702047,0
Pembro,STAD,SKCM,edge,0.1,108,47,0,0.2129286180536348,0
Pembro,STAD,SKCM,edge,0.1,109,47,1,0.8015305039390465,1
Pembro,STAD,SKCM,edge,0.1,110,47,0,0.49284071784289274,0
Pembro,STAD,SKCM,edge,0.1,111,47,1,0.6317750600714024,0
Pembro,STAD,SKCM,edge,0.1,112,47,1,0.5124014397476865,1
Pembro,STAD,SKCM,edge,0.1,113,47,1,0.5183540909254333,0
Pembro,STAD,SKCM,edge,0.1,114,47,0,0.32504370110786934,0
Pembro,STAD,SKCM,edge,0.1,115,47,0,0.4395277988753929,0
Pembro,STAD,SKCM,edge,0.1,116,47,1,0.8816328233343451,1
Pembro,STAD,SKCM,edge,0.1,117,47,1,0.8998034998156051,0
Pembro,STAD,SKCM,edge,0.1,118,47,0,0.4615227639830939,1
Pembro,STAD,SKCM,edge,0.1,119,47,1,0.7343892344721233,0
Pembro,STAD,SKCM,edge,0.1,120,47,0,0.3820470340292207,1
Pembro,STAD,SKCM,edge,0.1,121,47,1,0.6588194938371362,1
Pembro,STAD,SKCM,edge,0.1,122,47,0,0.43606705132772755,0
Pembro,STAD,SKCM,edge,0.1,123,47,1,0.6369330144309439,0
Pembro,STAD,SKCM,edge,0.1,124,47,0,0.298296047776686,0
Pembro,STAD,SKCM,edge,0.1,125,47,0,0.4735103159366606,0
Pembro,STAD,SKCM,edge,0.1,126,47,0,0.4282268805894858,1
Pembro,STAD,SKCM,edge,0.1,127,47,0,0.33031460195280954,0
Pembro,STAD,SKCM,edge,0.1,128,47,1,0.6257483907345439,0
Pembro,STAD,SKCM,edge-matched-random,0.1,0,47,1,0.6757575960950172,0
Pembro,STAD,SKCM,edge-matched-random,0.1,1,47,1,0.613550523390729,0
Pembro,STAD,SKCM,edge-matched-random,0.1,2,47,0,0.44696794134779916,0
Pembro,STAD,SKCM,edge-matched-random,0.1,3,47,0,0.35838622284759475,0
Pembro,STAD,SKCM,edge-matched-random,0.1,4,47,0,0.2302178278536839,0
Pembro,STAD,SKCM,edge-matched-random,0.1,5,47,0,0.20417058166873753,0
Pembro,STAD,SKCM,edge-matched-random,0.1,6,47,1,0.7117479707583158,0
