iter,source drug,target drug,geneset,source tissue,target tissue,pval,Test Accuracy,Test ROC_AUC
0,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6904761904761905,0.7027777777777777
1,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5,0.5055555555555555
2,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5238095238095238,0.37222222222222223
3,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5,0.5361111111111111
4,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5238095238095238,0.4472222222222222
5,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6428571428571429,0.6833333333333333
6,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6190476190476191,0.5305555555555556
7,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6190476190476191,0.5861111111111111
8,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5476190476190477,0.5138888888888888
9,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6904761904761905,0.6194444444444445
10,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6904761904761905,0.7388888888888889
11,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5714285714285714,0.5666666666666667
12,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5952380952380952,0.5305555555555556
13,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5952380952380952,0.6027777777777777
14,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6904761904761905,0.7277777777777777
15,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6190476190476191,0.5222222222222221
16,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6190476190476191,0.675
17,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.4523809523809524,0.49444444444444446
18,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6428571428571429,0.5277777777777778
19,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6428571428571429,0.5472222222222223
20,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5,0.5611111111111111
21,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6904761904761905,0.4888888888888888
22,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5952380952380952,0.6055555555555556
23,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5,0.6027777777777779
24,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5476190476190477,0.5194444444444445
25,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5476190476190477,0.4527777777777778
26,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5476190476190477,0.5027777777777778
27,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6428571428571429,0.5361111111111111
28,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5714285714285714,0.44166666666666665
29,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6428571428571429,0.6527777777777778
30,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6428571428571429,0.538888888888889
31,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5952380952380952,0.5944444444444444
32,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.4523809523809524,0.575
33,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6190476190476191,0.538888888888889
34,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5714285714285714,0.5055555555555555
35,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6428571428571429,0.6166666666666666
36,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5476190476190477,0.5499999999999999
37,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5714285714285714,0.6111111111111112
38,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5476190476190477,0.5416666666666666
39,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6428571428571429,0.6027777777777777
40,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6428571428571429,0.7
41,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5952380952380952,0.5722222222222222
42,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6904761904761905,0.6277777777777778
43,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6428571428571429,0.5444444444444445
44,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5238095238095238,0.49166666666666664
45,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.6428571428571429,0.6638888888888889
46,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.1,0.5,0.48333333333333334
