iter,source drug,target drug,geneset,source tissue,target tissue,pval,Test Accuracy,Test ROC_AUC
0,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5,0.5229591836734695
1,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5714285714285714,0.640625
2,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5476190476190477,0.5361111111111111
3,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.47619047619047616,0.4805555555555555
4,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5952380952380952,0.5490716180371353
5,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.42857142857142855,0.4166666666666667
6,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.6428571428571429,0.5777777777777778
7,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.47619047619047616,0.5153061224489797
8,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5952380952380952,0.5117845117845118
9,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5952380952380952,0.5513196480938416
10,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.6190476190476191,0.5185185185185185
11,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5714285714285714,0.5777777777777777
12,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.6428571428571429,0.6105769230769231
13,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.47619047619047616,0.46153846153846156
14,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.47619047619047616,0.5277777777777778
15,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.42857142857142855,0.42175066312997345
16,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.42857142857142855,0.5513196480938416
17,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5238095238095238,0.5994694960212201
18,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5714285714285714,0.5251989389920424
19,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.38095238095238093,0.41348973607038125
20,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5238095238095238,0.5278514588859416
21,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5952380952380952,0.5307917888563051
22,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5238095238095238,0.5127551020408163
23,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5,0.4722222222222222
24,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5476190476190477,0.4722222222222222
25,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5714285714285714,0.6047745358090186
26,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.6666666666666666,0.5588235294117647
27,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.7380952380952381,0.6913580246913581
28,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5238095238095238,0.5025510204081632
29,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5714285714285714,0.47346938775510206
30,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5714285714285714,0.6
31,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5714285714285714,0.5361111111111111
32,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5238095238095238,0.46111111111111114
33,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5,0.5387205387205387
34,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.38095238095238093,0.359375
35,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5714285714285714,0.5777777777777778
36,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5,0.3580901856763926
37,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5952380952380952,0.584375
38,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.47619047619047616,0.49744897959183676
39,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.47619047619047616,0.39589442815249265
40,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5714285714285714,0.4809384164222874
41,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.47619047619047616,0.4398148148148148
42,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5238095238095238,0.4611111111111111
43,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5,0.4838709677419355
44,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.4523809523809524,0.44675925925925924
45,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.47619047619047616,0.4776470588235294
46,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.5238095238095238,0.5048076923076923
47,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.47619047619047616,0.4222222222222223
48,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.40476190476190477,0.46249999999999997
49,Atezo,Atezo,source biomarkers,BLCA,KIRC,0.005,0.42857142857142855,0.45161290322580644
0,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.47619047619047616,0.4408163265306122
1,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5238095238095238,0.4750733137829912
2,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5714285714285714,0.5625
3,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5476190476190477,0.545679012345679
4,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5,0.5333333333333333
5,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.42857142857142855,0.5166666666666666
6,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.35714285714285715,0.3259259259259259
7,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.47619047619047616,0.5013262599469497
8,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.6190476190476191,0.5702917771883289
9,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.42857142857142855,0.42500000000000004
10,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.47619047619047616,0.5225464190981433
11,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.4523809523809524,0.46428571428571425
12,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.6904761904761905,0.671604938271605
13,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5238095238095238,0.3928571428571429
14,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5,0.4489795918367347
15,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5,0.5111111111111111
16,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.4523809523809524,0.5384615384615385
17,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.4523809523809524,0.35918367346938773
18,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5476190476190477,0.6224489795918368
19,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5,0.503125
20,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5,0.4540540540540541
21,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.6190476190476191,0.5943877551020408
22,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.4523809523809524,0.55
23,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5714285714285714,0.6392572944297082
24,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5952380952380952,0.65
25,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5714285714285714,0.5702917771883289
26,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5,0.5259259259259259
27,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5238095238095238,0.45454545454545453
28,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5238095238095238,0.5384615384615385
29,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.6190476190476191,0.6472148541114059
30,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5714285714285714,0.4722222222222222
31,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.35714285714285715,0.4638888888888889
32,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.6190476190476191,0.5555555555555556
33,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.42857142857142855,0.42647058823529416
34,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5476190476190477,0.51875
35,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.6190476190476191,0.509375
36,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.6428571428571429,0.6833333333333333
37,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.47619047619047616,0.5249999999999999
38,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5714285714285714,0.5992647058823529
39,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.6190476190476191,0.5841836734693877
40,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5,0.4719387755102041
41,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5,0.496875
42,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5714285714285714,0.5102639296187683
43,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5476190476190477,0.47448979591836726
44,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.4523809523809524,0.480106100795756
45,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5,0.5408653846153847
46,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.42857142857142855,0.4854111405835544
47,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5952380952380952,0.5277777777777778
48,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5,0.49278846153846156
49,Atezo,Atezo,drug targets,BLCA,KIRC,0.005,0.5714285714285714,0.49867374005305043
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5276190476190475,0.4932606884389214
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5923809523809525,0.5886410239566502
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5014285714285714,0.4992388308649922
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5261904761904761,0.500502881128434
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5933333333333334,0.6090940239804626
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5742857142857143,0.5795045492948326
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5557142857142857,0.5269397404395214
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.550952380952381,0.547294557878886
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5438095238095237,0.5532310736419122
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.6290476190476191,0.6458809715551223
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5657142857142857,0.5641397230680734
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5342857142857144,0.5049448609548379
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5080952380952382,0.49865034036475464
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5152380952380952,0.4835881574660545
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5076190476190476,0.4724544089433282
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.43476190476190474,0.37472308371079505
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5757142857142857,0.5606667845159039
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.6161904761904762,0.6292662752414678
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5361904761904762,0.5494626536952546
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5833333333333335,0.5923049996007199
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5623809523809524,0.5767231806810251
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5938095238095239,0.6016771855305356
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.48238095238095247,0.4131866257397709
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5352380952380953,0.5207695790585659
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5271428571428571,0.5420164146708119
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5719047619047619,0.5823517626619386
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5171428571428571,0.485947289732503
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5961904761904762,0.6009399827918519
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.6390476190476191,0.6457919155547879
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5361904761904762,0.5373812636490939
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.589047619047619,0.5795284630392203
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.62,0.6107279603893548
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5328571428571428,0.5245812335298481
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.58,0.5900465177747168
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.56,0.5457987923013159
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5347619047619048,0.5195983355457158
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5290476190476191,0.5134866912306364
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5580952380952382,0.5385226275207086
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5633333333333334,0.5951034220124174
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5299999999999999,0.5195631274738153
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.6071428571428572,0.5952998389264045
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5004761904761905,0.48686697411914465
49,Atezo,Atezo,random sample,BLCA,KIRC,0.005,0.5914285714285714,0.5653090691036237
