,Edge,U,pval,adj_pvals
0,NRP1;HGF,329.0,0.4001141907295285,1.0
1,NRP1;KDR,315.0,0.10928677215791567,1.0
2,NRP1;VEGFB,308.5,0.27597962567615086,1.0
3,NRP1;FLT1,315.0,0.10928677215791567,1.0
4,NRP1;PGF,367.5,0.43864004747682617,1.0
5,NRP1;NRP2,370.0,0.5059675500632648,1.0
6,NRP2;FLT1,395.0,0.10865614201172058,1.0
7,NRP2;PGF,385.0,0.231966451336442,1.0
8,NRP2;VEGFC,390.0,0.17810472092262553,1.0
9,PRKACG;CACNA1C,345.0,1.0,1.0
10,PRKACG;AKAP6,345.0,1.0,1.0
11,PRKACG;CALM3,345.0,1.0,1.0
12,PRKACG;CALML6,345.0,1.0,1.0
13,PRKACG;PRKACA,345.0,1.0,1.0
14,PRKACG;CALML3,345.0,1.0,1.0
15,PRKACG;RYR2,345.0,1.0,1.0
16,PRKACG;PRKACB,345.0,1.0,1.0
17,PRKACG;RHOA,345.0,1.0,1.0
18,PRKACG;CALML5,345.0,1.0,1.0
19,PRKACG;CALML4,345.0,1.0,1.0
20,TJP1;OCLN,239.0,0.01939791472684885,1.0
21,TJP1;DLG4,429.0,0.16196854094834523,1.0
22,TJP1;CLDN8,315.0,0.4765674773299551,1.0
23,TJP1;TJP3,231.0,0.009867095570035529,1.0
24,PRKACA;CACNA1C,345.0,1.0,1.0
25,PRKACA;AKAP6,345.0,1.0,1.0
26,PRKACA;CALM3,345.0,1.0,1.0
27,PRKACA;CALML6,345.0,1.0,1.0
28,PRKACA;CALML4,345.0,1.0,1.0
29,PRKACA;PRKACB,345.0,1.0,1.0
30,PRKACA;RYR2,345.0,1.0,1.0
31,PRKACA;RHOA,345.0,1.0,1.0
32,PRKACA;CALML5,345.0,1.0,1.0
33,PRKACA;CALML3,345.0,1.0,1.0
34,FLNA;ITGB3,388.5,0.47092355481128023,1.0
35,FLNA;ITGB1,402.5,0.3395301398303038,1.0
36,FLNA;HSPB7,379.5,0.48782324621598194,1.0
37,FLNA;CDC42,360.0,0.8081215451751493,1.0
38,PRKACB;CACNA1C,345.0,1.0,1.0
39,PRKACB;AKAP6,345.0,1.0,1.0
40,PRKACB;CALM3,345.0,1.0,1.0
41,PRKACB;CALML6,345.0,1.0,1.0
42,PRKACB;CALML3,345.0,1.0,1.0
43,PRKACB;RYR2,345.0,1.0,1.0
44,PRKACB;CALML4,345.0,1.0,1.0
45,PRKACB;RHOA,345.0,1.0,1.0
46,PRKACB;CALML5,345.0,1.0,1.0
47,FGF2;TGFB1,417.0,0.22146059447193778,1.0
48,FGF2;HGF,345.0,1.0,1.0
49,FGF2;KDR,345.0,1.0,1.0
50,FGF2;FLT1,322.0,0.08669033248364577,1.0
51,FGF2;EGFR,364.5,0.5653192941502998,1.0
52,FGF2;NTRK1,345.0,1.0,1.0
53,FGF2;CD44,311.0,0.4942451249567499,1.0
54,FGF2;FN1,320.0,0.5404584355149593,1.0
55,CD44;HGF,298.0,0.32449499858758835,1.0
56,CD44;EGFR,339.0,0.9167683795760697,1.0
57,CD44;MET,300.0,0.42395918977912816,1.0
58,CD44;FN1,327.0,0.7422982805072971,1.0
59,CD44;ITGB1,326.0,0.7333105784710297,1.0
60,CD44;CDC42,251.0,0.1172600393878082,1.0
61,KDR;HGF,352.5,0.5940537303751279,1.0
62,KDR;PLCG1,352.5,0.5940537303751279,1.0
63,KDR;VEGFB,346.0,0.984430161267801,1.0
64,KDR;ANGPT1,315.0,0.10928677215791567,1.0
65,KDR;FLT1,322.0,0.08669033248364577,1.0
66,KDR;ITGB3,302.0,0.22500130772355986,1.0
67,KDR;ANGPT2,337.5,0.5940537303751279,1.0
68,KDR;SHC2,352.5,0.5940537303751279,1.0
69,KDR;VEGFC,382.0,0.10282554984503776,1.0
70,KDR;PGF,322.0,0.08669033248364577,1.0
71,KDR;PDGFC,382.5,0.19272696846971804,1.0
72,KDR;SHC1,352.5,0.5940537303751279,1.0
73,KDR;GRB2,352.5,0.5940537303751279,1.0
74,OTC;GBE1,345.0,1.0,1.0
75,OTC;ASS1,345.0,1.0,1.0
76,OTC;CPS1,345.0,1.0,1.0
77,GBE1;PYGL,272.5,0.14178645526220948,1.0
78,GBE1;PYGB,275.0,0.14874551548791373,1.0
79,GBE1;GYS2,300.0,0.1492414389744097,1.0
80,GBE1;GYG1,291.0,0.18133038685925673,1.0
81,GBE1;GYG2,307.5,0.2628602847077217,1.0
82,ASS1;NOS1,337.0,0.7917558180790016,1.0
83,ASS1;CPS1,345.0,1.0,1.0
84,CPS1;GLUD1,271.0,0.2179823248847148,1.0
85,CPS1;GLUL,289.0,0.35207936630367787,1.0
86,CPS1;GLUD2,297.0,0.4097209990748767,1.0
87,NGFR;BDNF,345.0,1.0,1.0
88,NGFR;NTF3,345.0,1.0,1.0
89,NGFR;NGF,345.0,1.0,1.0
90,NGFR;NTRK1,345.0,1.0,1.0
91,NGFR;NTRK3,345.0,1.0,1.0
92,NGFR;NTRK2,345.0,1.0,1.0
93,NGFR;RHOA,397.0,0.3753017181553856,1.0
94,NGFR;NTF4,345.0,1.0,1.0
95,LYN;SHC1,342.0,0.9665770330196288,1.0
96,LYN;INPP5D,385.0,0.4965025490827275,1.0
97,LYN;PIK3R1,363.0,0.7677729373041902,1.0
98,PLCG1;PIK3R1,337.5,0.8322421174694931,1.0
99,PLCG1;NTRK3,345.0,1.0,1.0
100,PLCG1;NTRK1,345.0,1.0,1.0
101,PLCG1;EGFR,338.5,0.8559234316074167,1.0
102,PLCG1;NTRK2,345.0,1.0,1.0
103,PLCG1;GRB2,368.0,0.08669033248364577,1.0
104,PLCG1;MET,253.0,0.07844747501064209,1.0
105,PLCG1;ERBB3,360.0,0.6384010565372412,1.0
106,GRB2;SHC2,352.5,0.5940537303751279,1.0
107,GRB2;ERBB3,365.5,0.5450331058661222,1.0
108,GRB2;EGFR,337.5,0.8322421174694931,1.0
109,GRB2;NTRK2,345.0,1.0,1.0
110,GRB2;IRS1,352.5,0.5940537303751279,1.0
111,GRB2;MET,281.0,0.20948283877481333,1.0
112,GRB2;SH2B1,345.0,1.0,1.0
113,GRB2;RET,368.0,0.08669033248364577,1.0
114,GRB2;SHC3,345.0,1.0,1.0
115,GRB2;PIK3R1,360.0,0.6384010565372412,1.0
116,GRB2;NTRK1,345.0,1.0,1.0
117,GRB2;IGF1R,266.0,0.07430703968101943,1.0
118,GRB2;SHC1,368.0,0.08669033248364577,1.0
119,GRB2;INPP5D,542.0,0.0008067255980877409,0.36383324473757117
120,GRB2;FRS2,375.0,0.10928677215791567,1.0
121,EGFR;TGFB1,400.5,0.3507230198917227,1.0
122,EGFR;HGF,337.5,0.8322421174694931,1.0
123,EGFR;SHC2,332.0,0.7211939294584557,1.0
124,EGFR;ERBB3,392.5,0.2976519592561713,1.0
125,EGFR;ITGB1,353.0,0.8803570622141462,1.0
126,EGFR;PTEN,416.5,0.23432746711953922,1.0
127,EGFR;PIK3R1,343.0,0.9740971353436098,1.0
128,EGFR;CDC42,304.0,0.4972594529755182,1.0
129,EGFR;MET,284.0,0.2503259390086333,1.0
130,EGFR;SHC1,337.5,0.8322421174694931,1.0
131,EGFR;SHC3,332.0,0.7211939294584557,1.0
132,EGFR;IGF1R,299.0,0.36852275229090703,1.0
133,EGFR;PDGFC,386.0,0.3284385471874479,1.0
134,TGFB1;FN1,302.0,0.47084820464805544,1.0
135,TGFB1;LRRC32,328.0,0.7509895223201151,1.0
136,FN1;HGF,349.5,0.9203935937317853,1.0
137,FN1;VTN,345.0,1.0,1.0
138,FN1;ALB,337.5,0.5940537303751279,1.0
139,FN1;PLG,337.5,0.5940537303751279,1.0
140,FN1;SERPINF2,337.5,0.5940537303751279,1.0
141,FN1;FGG,337.5,0.5940537303751279,1.0
142,FN1;POSTN,495.0,0.008045529586749442,1.0
143,FN1;ITGB3,326.0,0.5487908740815393,1.0
144,FN1;ITGB1,360.0,0.5714352546217031,1.0
145,FN1;ITGA8,352.5,0.5940537303751279,1.0
146,MET;HGF,249.0,0.055291574822830085,1.0
147,MET;ERBB3,310.5,0.513174846611341,1.0
148,MET;SHC1,251.0,0.07214042137717223,1.0
149,PPP1CC;PPP1R3C,322.5,0.32548266266419046,1.0
150,PPP1CC;GYS2,345.0,1.0,1.0
151,PPP1CC;PPP1R3A,345.0,1.0,1.0
152,PPP1CC;PPP1R3B,315.0,0.24957054312749805,1.0
153,PPP1CC;PPP1CA,337.5,0.5940537303751279,1.0
154,PPP1CC;PPP1CB,337.5,0.5940537303751279,1.0
155,PPP1CC;PPP1R3E,315.0,0.24957054312749805,1.0
156,PPP1CC;PPP1R3D,322.5,0.32548266266419046,1.0
157,OCLN;CLDN8,255.0,0.030801134379250285,1.0
158,OCLN;TJP3,271.0,0.09471340833124803,1.0
159,CALML4;CACNA1C,345.0,1.0,1.0
160,CALML4;CALM3,345.0,1.0,1.0
161,CALML4;CALML6,345.0,1.0,1.0
162,CALML4;CALML3,345.0,1.0,1.0
163,CALML4;RYR1,345.0,1.0,1.0
164,CALML4;RYR2,345.0,1.0,1.0
165,CALML4;CALML5,345.0,1.0,1.0
166,CALML4;FKBP1A,345.0,1.0,1.0
167,CALML4;NOS1,345.0,1.0,1.0
168,CALML4;RYR3,345.0,1.0,1.0
169,CALM2;CACNA1C,339.0,0.8464711373440548,1.0
170,CALM2;CALM3,340.0,0.8741268272065654,1.0
171,CALM2;RYR2,353.0,0.7917558180790016,1.0
172,CALM3;CACNA1C,345.0,1.0,1.0
173,CALM3;DLG4,352.5,0.754392040017942,1.0
174,CALM3;RYR1,345.0,1.0,1.0
175,CALM3;FKBP1B,345.0,1.0,1.0
176,CALM3;RYR2,345.0,1.0,1.0
177,CALM3;RYR3,345.0,1.0,1.0
178,CALM3;FKBP1A,345.0,1.0,1.0
179,CALM3;TRDN,345.0,1.0,1.0
180,CALM3;CALML5,345.0,1.0,1.0
181,CALM3;CALML3,345.0,1.0,1.0
182,CALM3;NOS1,345.0,1.0,1.0
183,CALM3;CALML6,345.0,1.0,1.0
184,CALML3;CACNA1C,345.0,1.0,1.0
185,CALML3;CALML6,345.0,1.0,1.0
186,CALML3;RYR2,345.0,1.0,1.0
187,CALML3;FKBP1B,345.0,1.0,1.0
