drug,source tissue,target tissue,feature,pval,iter,feature_dim,predicted_class,predicted_prob,true_class
Nivo,SKCM,KIRC,edge,0.1,0,212,0,0.08766514954881809,1
Nivo,SKCM,KIRC,edge,0.1,1,212,0,0.014705922168761088,0
Nivo,SKCM,KIRC,edge,0.1,2,212,0,0.19751448202379926,0
Nivo,SKCM,KIRC,edge,0.1,3,212,0,0.382482723889419,0
Nivo,SKCM,KIRC,edge,0.1,4,212,1,0.9707235145976214,0
Nivo,SKCM,KIRC,edge,0.1,5,212,0,0.13153835185241314,0
Nivo,SKCM,KIRC,edge,0.1,6,212,0,0.1863651938653899,0
Nivo,SKCM,KIRC,edge,0.1,7,212,0,0.06579189503410036,0
Nivo,SKCM,KIRC,edge,0.1,8,212,0,0.48905743708825633,1
Nivo,SKCM,KIRC,edge,0.1,9,212,0,0.13697840542028702,0
Nivo,SKCM,KIRC,edge,0.1,10,212,0,0.43143294805342114,0
Nivo,SKCM,KIRC,edge,0.1,11,212,0,0.128507207064102,0
Nivo,SKCM,KIRC,edge,0.1,12,212,0,0.18153091645580996,0
Nivo,SKCM,KIRC,edge,0.1,13,212,0,0.10474346031400136,1
Nivo,SKCM,KIRC,edge,0.1,14,212,0,0.13895929581114455,0
Nivo,SKCM,KIRC,edge,0.1,15,212,0,0.21507938460499088,0
Nivo,SKCM,KIRC,edge,0.1,16,212,0,0.3500581452613762,0
Nivo,SKCM,KIRC,edge,0.1,17,212,0,0.33507474122669434,0
Nivo,SKCM,KIRC,edge,0.1,18,212,0,0.0832132091459335,0
Nivo,SKCM,KIRC,edge,0.1,19,212,0,0.04740259764500442,1
Nivo,SKCM,KIRC,edge,0.1,20,212,0,0.07974218155031677,0
Nivo,SKCM,KIRC,edge,0.1,21,212,0,0.2567536221964753,0
Nivo,SKCM,KIRC,edge,0.1,22,212,0,0.016746568204918058,0
Nivo,SKCM,KIRC,edge,0.1,23,212,0,0.3474728461447676,0
Nivo,SKCM,KIRC,edge,0.1,24,212,0,0.3705437684898016,0
Nivo,SKCM,KIRC,edge,0.1,25,212,0,0.30061465260853093,0
Nivo,SKCM,KIRC,edge,0.1,26,212,0,0.029560597438057563,0
Nivo,SKCM,KIRC,edge-matched-random,0.1,0,212,0,0.04953403004455059,1
Nivo,SKCM,KIRC,edge-matched-random,0.1,1,212,1,0.7136447874186843,0
Nivo,SKCM,KIRC,edge-matched-random,0.1,2,212,0,0.25786184854961336,0
Nivo,SKCM,KIRC,edge-matched-random,0.1,3,212,1,0.5245409738662465,0
Nivo,SKCM,KIRC,edge-matched-random,0.1,4,212,1,0.5860570050693152,0
Nivo,SKCM,KIRC,edge-matched-random,0.1,5,212,0,0.29034054574307516,0
Nivo,SKCM,KIRC,edge-matched-random,0.1,6,212,0,0.1800103492397781,0
