,Edge,U,pval,adj_pvals
0,TCEA2;PAF1,151.0,0.5405378081413653,1.0
1,TCEA2;POLR2I,154.0,0.4771856885834328,1.0
2,TCEA2;TBP,156.0,0.4387685161104964,1.0
3,TCEA2;CDK19,161.0,0.34797632248439747,1.0
4,TCEA2;POLR1C,152.0,0.520687076023012,1.0
5,TCEA2;WDR61,159.0,0.38257798248354635,1.0
6,TCEA2;GTF2A2,154.0,0.47776612825939946,1.0
7,ABCF3;ABCC5,132.0,1.0,1.0
8,ABCF3;MRPS16,165.0,0.275877066325223,1.0
9,ABCF3;MRPL19,150.0,0.5587563976250903,1.0
10,TRAK2;MYO10,163.5,0.306459271528265,1.0
11,LYPLA1;ZW10,131.5,1.0,1.0
12,LYPLA1;PLA2G15,132.0,1.0,1.0
13,LYPLA1;AURKB,160.0,0.34588550785127037,1.0
14,LYPLA1;NRAS,129.0,0.933530670694219,1.0
15,PARP1;NFKBIA,97.0,0.21264060355847247,1.0
16,PARP1;RPA3,114.5,0.5469162017082472,1.0
17,PARP1;CCND1,93.5,0.12294548924600397,1.0
18,PARP1;MSH6,111.0,0.44933793667130373,1.0
19,PARP1;PARP2,104.0,0.32774654279660365,1.0
20,PARP1;RPA1,112.0,0.45595658675409534,1.0
21,PARP1;CCNB1,130.5,0.9661456458509604,1.0
22,PARP1;CDK7,118.0,0.6275300854070089,1.0
23,PARP1;DDB2,138.5,0.8305416484536284,1.0
24,PARP1;CDK4,100.5,0.13920206994529669,1.0
25,PARP1;TOPBP1,130.0,0.9555330566078291,1.0
26,PARP1;USP14,119.5,0.6850066284128853,1.0
27,PARP1;LIG1,103.5,0.3049390028350817,1.0
28,PARP1;PIK3CA,122.0,0.7359986376008827,1.0
29,PARP1;STAT3,116.5,0.5896506515981739,1.0
30,PARP1;POLB,101.5,0.27831460285203113,1.0
31,PARP1;CDK6,125.0,0.802601298235117,1.0
32,PARP1;CDK2,101.5,0.21666563236817993,1.0
33,PARP1;TP53,104.5,0.2896842260977879,1.0
34,PARP1;ERBB2,117.0,0.6125174442010022,1.0
35,PARP1;CASP10,140.5,0.7834226560904826,1.0
36,PARP1;CYCS,102.5,0.2879130660402196,1.0
37,PARP1;CASP3,131.0,0.98623760435408,1.0
38,PARP1;CFLAR,134.5,0.9439802910662205,1.0
39,PARP1;PNKP,115.0,0.5779538042886809,1.0
40,PARP1;SMAD3,107.0,0.38782032999510596,1.0
41,PARP1;RAD51C,103.0,0.3018051665532089,1.0
42,PARP1;SMARCA4,122.0,0.737353698954859,1.0
43,PARP1;DNMT1,138.0,0.8371126930192974,1.0
44,PARP1;BECN1,103.5,0.3095465421918132,1.0
45,PARP1;AKT1,106.0,0.3622337977905018,1.0
46,PARP1;TIMELESS,102.5,0.29892710790505206,1.0
47,PARP1;CCNA2,124.0,0.7760989622259075,1.0
48,PARP1;TP53BP1,124.5,0.7839682647003208,1.0
49,PARP1;ABL1,108.5,0.426279818826355,1.0
50,PARP1;HDAC2,137.5,0.8588422746531507,1.0
51,PARP1;CDKN1A,142.5,0.7020079480140233,1.0
52,PARP1;BRCA1,137.5,0.8413176565446906,1.0
53,PARP1;IKBKB,124.5,0.7957077067661537,1.0
54,PARP1;BAG3,109.0,0.4360510085209125,1.0
55,PARP1;CHEK1,102.0,0.25972355390909474,1.0
56,PARP1;GAPDH,97.0,0.20613688454127277,1.0
57,PARP1;CHEK2,119.5,0.6429491510822627,1.0
58,PARP1;TOP2A,97.0,0.20571986014187982,1.0
59,PARP1;MYC,131.0,0.985185678145782,1.0
60,PARP1;CASP7,127.5,0.8900920263959743,1.0
61,PARP1;TIPARP,132.0,1.0,1.0
62,PARP1;PCNA,138.0,0.8345992964769611,1.0
63,PARP1;MCM3,105.0,0.30421005768598,1.0
64,PARP1;HIF1A,108.5,0.3917151024316017,1.0
65,PARP1;MVP,132.0,1.0,1.0
66,PARP1;RPA2,89.0,0.09355050094819053,1.0
67,PARP1;SQSTM1,101.5,0.28700901639424914,1.0
68,PARP1;CCNH,88.0,0.11794862178261684,1.0
69,PARP1;JUN,124.5,0.8041504355115725,1.0
70,RPA1;RFC2,142.5,0.7231469496213012,1.0
71,RPA1;RPA3,115.0,0.5179339737218448,1.0
72,RPA1;MSH6,132.5,1.0,1.0
73,RPA1;PARP2,143.5,0.7086549340483462,1.0
74,RPA1;MCM3,130.0,0.9583832093447056,1.0
75,RPA1;PCNA,113.5,0.5265003477727195,1.0
76,RPA1;CDC45,118.5,0.6545133041333394,1.0
77,RPA1;DDB2,126.0,0.851031756354517,1.0
78,RPA1;SENP6,124.5,0.8163008627571365,1.0
79,RPA1;RPA2,135.0,0.9258949531324163,1.0
80,RPA1;TP53,134.5,0.9465483486353806,1.0
81,RPA1;BRCA1,125.0,0.8239149428055992,1.0
82,RPA1;RAD51C,125.0,0.8146847809336666,1.0
83,RPA1;USP1,133.0,0.9866608340457552,1.0
84,RPA1;CHEK1,108.0,0.4139908186636937,1.0
85,RPA1;CDK4,110.0,0.46288706074547226,1.0
86,RPA1;CHEK2,122.5,0.7505845176712042,1.0
87,RPA1;CCNA2,127.0,0.8773888686251787,1.0
