,Edge,U,pval,adj_pvals
0,KMT2A;MLLT1,401.0,0.7163249674223873,1.0
1,KMT2A;KMT2C,414.0,0.5664735709345248,1.0
2,KMT2A;CREBBP,409.0,0.6224923984454098,1.0
3,KMT2A;ELL,398.0,0.7529884128383879,1.0
4,KMT2A;EP300,414.5,0.5610039040562964,1.0
5,KMT2A;BRD4,420.5,0.49768954807284105,1.0
6,KMT2A;AFF4,407.5,0.639716282577153,1.0
7,KMT2A;KAT6A,419.0,0.5132455861770719,1.0
8,KMT2A;ATM,420.5,0.49782114162602875,1.0
9,KMT2A;NPM1,408.5,0.6283181974124008,1.0
10,KMT2A;KMT2D,421.0,0.4926516276174855,1.0
11,KMT2A;MLLT10,444.0,0.2904108221136099,1.0
12,KMT2A;NUP98,419.5,0.508229539885479,1.0
13,KMT2A;PHF6,413.0,0.5776094178782218,1.0
14,KMT2A;MEN1,437.0,0.34508963343699106,1.0
15,KMT2A;SMARCB1,424.0,0.46270798188183704,1.0
16,KMT2A;MAX,400.5,0.7225427703769269,1.0
17,KMT2A;RBM15,406.0,0.6572293154764076,1.0
18,KMT2A;ABL1,405.0,0.668881949419042,1.0
19,KMT2A;SET,430.0,0.40592384421155936,1.0
20,KMT2A;KDM5C,402.0,0.704498153963808,1.0
21,KMT2A;ASXL1,412.5,0.5830944185058244,1.0
22,KMT2A;KDM6A,421.0,0.49264560800932256,1.0
23,KMT2A;PSIP1,442.5,0.3017741465964331,1.0
24,KMT2A;AFF1,412.0,0.5885373434714105,1.0
25,KMT2A;ETV6,375.0,0.9678183611816411,1.0
26,KMT2A;ZNF384,408.0,0.633979615014286,1.0
27,KMT2A;KDM5A,398.0,0.7528919918120008,1.0
28,KMT2A;SETD2,421.0,0.4927358798941305,1.0
29,KMT2A;CREB1,420.5,0.49779722313553676,1.0
30,KMT2A;CBFB,452.5,0.23234720582470136,1.0
31,KMT2A;MYC,424.0,0.46272042888704945,1.0
32,KMT2A;CHD4,399.0,0.74077585338043,1.0
33,KMT2A;MLLT6,414.0,0.5667057072359614,1.0
34,KMT2A;SETD1B,409.5,0.6166520645411356,1.0
35,KMT2A;FBXW7,420.5,0.4980004226036979,1.0
36,KMT2A;DEK,422.0,0.48259590368979033,1.0
37,KMT2A;CTNNB1,422.0,0.4826628824123238,1.0
38,ACVR1;SMAD2,339.5,0.5397354933006486,1.0
39,ACVR1;SMAD3,360.5,0.7838616169567968,1.0
40,ACVR1;BMPR1A,308.0,0.2621002759314621,1.0
41,ACVR1;FBXW7,362.0,0.8025353281466779,1.0
42,ACVR1;ACVR1B,304.5,0.23854914343436628,1.0
43,EZR;MYH9,383.5,0.9354287261691111,1.0
44,EZR;ERBB2,364.5,0.8334552408375216,1.0
45,EZR;TSC1,374.5,0.9613522613272214,1.0
46,EZR;FADD,388.0,0.8779586302055521,1.0
47,EZR;PRKACA,375.5,0.9742195457490077,1.0
48,EZR;LASP1,366.5,0.8590814253221236,1.0
49,EZR;HSP90AA1,367.0,0.8651770192210111,1.0
50,EZR;HSP90AB1,369.0,0.8905694331433058,1.0
51,EZR;SRC,366.0,0.8525935477126642,1.0
52,EZR;FLNA,362.5,0.8082458934923661,1.0
53,EZR;RAC1,403.5,0.6843593228974362,1.0
54,EZR;CLTC,380.0,0.9806704592572878,1.0
55,EZR;CTNNB1,377.5,1.0,1.0
56,EZR;RHOA,391.0,0.8395621109263095,1.0
57,PATZ1;FUS,334.5,0.48777583238700994,1.0
58,PATZ1;NCOR1,307.0,0.2551585383682057,1.0
59,PATZ1;EWSR1,344.0,0.5887811051659377,1.0
60,ZMYM3;KMT2C,317.5,0.3328079522099341,1.0
61,ZMYM3;KMT2D,323.5,0.38336604420976994,1.0
62,ZMYM3;KDM6A,337.5,0.518367016523404,1.0
63,ZMYM3;CHD4,303.5,0.23234720582470136,1.0
64,TMSB4X;B2M,436.0,0.3532245414653279,1.0
65,CREBBP;MAPK1,430.5,0.4010470987758138,1.0
66,CREBBP;CCND1,416.5,0.5394477627228187,1.0
67,CREBBP;RARA,427.0,0.4332352954534957,1.0
68,CREBBP;MDM2,428.5,0.41951475030306096,1.0
69,CREBBP;ATF1,408.0,0.6340833559302439,1.0
70,CREBBP;SMAD2,417.0,0.5343234026772177,1.0
71,CREBBP;KMT2C,419.0,0.5129874882458021,1.0
72,CREBBP;PML,416.5,0.5394759952965196,1.0
73,CREBBP;CTCF,416.5,0.5396791177459948,1.0
74,CREBBP;KMT2D,440.0,0.3205265247603335,1.0
75,CREBBP;AKT1,430.5,0.40123716896529893,1.0
76,CREBBP;KAT6A,412.5,0.5829318459736141,1.0
77,CREBBP;CCNC,434.5,0.36610387436921654,1.0
78,CREBBP;KDM6A,414.0,0.5665383904895853,1.0
79,CREBBP;NSD1,415.5,0.5503458652548328,1.0
80,CREBBP;TCF12,422.5,0.4775531297840836,1.0
81,CREBBP;FOXO3,426.0,0.44298847049686096,1.0
82,CREBBP;NCOR2,422.5,0.477234290633902,1.0
83,CREBBP;NCOA2,424.5,0.457655257260159,1.0
84,CREBBP;NCOR1,417.5,0.5287758039465371,1.0
85,CREBBP;CTNNB1,439.5,0.32484027756261324,1.0
86,CREBBP;PIK3R1,428.0,0.42441181216253365,1.0
87,CREBBP;NOTCH1,467.0,0.15321703336558645,1.0
88,CREBBP;NUP98,416.0,0.5450103489147627,1.0
89,CREBBP;ARNT,427.0,0.43376031440518303,1.0
90,CREBBP;ERBB2,415.5,0.5504013163627451,1.0
91,CREBBP;PRKACA,431.0,0.39688898821432106,1.0
92,CREBBP;PIK3CA,443.5,0.2942901394615579,1.0
93,CREBBP;KDM5A,420.5,0.4977194646849602,1.0
94,CREBBP;ATRX,437.0,0.3450493768927395,1.0
95,CREBBP;ARID1A,431.5,0.3922103022496677,1.0
96,CREBBP;CCND3,449.0,0.25522462614200625,1.0
97,CREBBP;CDKN1A,428.5,0.4194370788309698,1.0
98,CREBBP;TCF3,395.5,0.7837149925838226,1.0
99,CREBBP;BRCA1,431.0,0.3966985441078136,1.0
100,CREBBP;IKBKB,441.0,0.31300396912574857,1.0
101,CREBBP;SS18L1,400.5,0.7225205733215627,1.0
102,CREBBP;DAXX,432.0,0.38784530489805347,1.0
103,CREBBP;NCOA1,416.0,0.5449656029043686,1.0
104,CREBBP;SUZ12,424.5,0.4577804113927867,1.0
105,CREBBP;TCF7L2,437.0,0.3449084231871825,1.0
106,CREBBP;CREB3L2,431.5,0.3923749224915335,1.0
107,CREBBP;MYC,445.0,0.2829682561222744,1.0
108,CREBBP;POLR2A,448.5,0.25847800559566614,1.0
109,CREBBP;HIF1A,402.5,0.6983921388370337,1.0
110,CREBBP;CBFB,422.5,0.4776817286392989,1.0
111,CREBBP;CREB1,432.0,0.3874753308058273,1.0
112,CREBBP;TBL1XR1,405.5,0.6628975562775274,1.0
113,CREBBP;SMAD3,439.0,0.3287141543353136,1.0
114,CREBBP;EWSR1,425.0,0.4530389793768528,1.0
115,CREBBP;SETD2,423.5,0.46759013367858726,1.0
116,CREBBP;BRD4,421.5,0.4875639703659348,1.0
117,CREBBP;MED12,421.5,0.4877637329801797,1.0
118,CREBBP;FBXW7,416.0,0.5451556829383932,1.0
119,CREBBP;SRC,422.5,0.47767560700935796,1.0
120,CREBBP;NFE2L2,419.0,0.5131283193483717,1.0
121,CREBBP;STAT3,420.5,0.4977374121142082,1.0
122,CREBBP;JUN,422.0,0.4826141731619332,1.0
123,CREBBP;EZH2,420.0,0.502506339769569,1.0
124,CREBBP;EP300,415.5,0.5500405192937846,1.0
125,FUS;DDX5,420.0,0.4946859426479019,1.0
126,FUS;ATM,395.0,0.7896273833888722,1.0
127,FUS;SFPQ,449.5,0.2428524483530894,1.0
128,FUS;CREB3L2,410.0,0.6094970189400294,1.0
129,FUS;MYC,352.5,0.6861152324278547,1.0
130,FUS;PABPC1,425.5,0.44477612521959153,1.0
131,FUS;ATF1,392.5,0.8205306872665268,1.0
132,FUS;TAF15,447.0,0.2613046338684377,1.0
133,FUS;ARID1A,341.5,0.5607036246941295,1.0
134,FUS;NONO,430.0,0.40052671720306554,1.0
135,FUS;SRSF2,316.0,0.3201014805277702,1.0
136,FUS;DCTN1,388.0,0.8776891803749108,1.0
137,FUS;THRAP3,439.5,0.32207879872502865,1.0
138,FUS;EP300,358.5,0.7587003521976594,1.0
139,FUS;DDX3X,430.5,0.40026530773413815,1.0
140,FUS;EWSR1,316.0,0.3200677146638684,1.0
141,FUS;SF3B1,401.5,0.7094825046460627,1.0
142,FUS;RBM10,422.0,0.4812263608291274,1.0
143,FUS;SMARCB1,406.0,0.6562483170496656,1.0
144,FUS;PCBP1,384.0,0.9285591402110582,1.0
145,FUS;TCF12,400.5,0.7206896458857102,1.0
146,FUS;CTCF,382.5,0.9483486694357663,1.0
147,FUS;DROSHA,390.0,0.8514303644878674,1.0
148,FUS;AKT1,380.0,0.9806399686839171,1.0
149,FUS;SRSF3,393.5,0.8049352559164403,1.0
150,FUS;HNRNPA2B1,376.0,0.9805308665641574,1.0
151,FUS;DGCR8,420.5,0.49580617643026625,1.0
152,FUS;DICER1,436.0,0.3501418059654121,1.0
153,PABPC1;EIF3E,350.5,0.6620847243073888,1.0
154,PABPC1;DDX5,343.5,0.5801655804581664,1.0
155,PABPC1;U2AF1,348.5,0.6371135658058755,1.0
156,PABPC1;NAB2,273.5,0.09276671205461888,1.0
157,PABPC1;PCBP1,316.0,0.3173714936138402,1.0
158,PABPC1;DDX6,366.5,0.858554831062911,1.0
159,PABPC1;LARP4B,343.0,0.34602588535459,1.0
160,PABPC1;HNRNPA2B1,341.5,0.5575439575884222,1.0
161,PABPC1;CNOT3,331.5,0.4569402465370792,1.0
162,PABPC1;IGF2BP2,318.0,0.3360310796048811,1.0
163,PABPC1;SRSF3,352.5,0.6844983537917935,1.0
164,PABPC1;PSIP1,303.0,0.22854571456179285,1.0
165,PABPC1;RPL5,381.0,0.9677068735295425,1.0
166,PABPC1;RPL10,351.5,0.6741778768861777,1.0
167,PABPC1;EIF4A2,350.5,0.660432297387447,1.0
168,PABPC1;UBR5,343.5,0.5819312800587207,1.0
169,PABPC1;LSM14A,337.5,0.5175029621147822,1.0
170,PABPC1;DDX3X,327.0,0.4108594593500191,1.0
171,PABPC1;PPP2R1A,349.5,0.6493563857026041,1.0
172,PABPC1;SRSF2,362.0,0.8008753389204393,1.0
173,PABPC1;SFPQ,336.0,0.5003362658043602,1.0
