,Edge,U,pval,adj_pvals
104,CCL5;CXCR3,465.0,1.0,1.0
105,CCL5;CCL25,465.0,1.0,1.0
106,CCL5;CCL8,465.0,1.0,1.0
107,CCL5;CCL26,465.0,1.0,1.0
108,CCL5;CXCL1,465.0,1.0,1.0
109,CCL5;CXCL12,465.0,1.0,1.0
110,CCL5;IL6,465.0,1.0,1.0
111,CCL5;CD8A,465.0,1.0,1.0
112,CCL5;CXCR4,465.0,1.0,1.0
113,CCL5;CXCR6,465.0,1.0,1.0
114,CCL5;TNF,465.0,1.0,1.0
115,CCL5;CCL24,465.0,1.0,1.0
116,CCL5;ACKR2,465.0,1.0,1.0
117,CCL5;CXCL2,465.0,1.0,1.0
118,CCL5;CCR3,465.0,1.0,1.0
119,CCL5;CXCL17,465.0,1.0,1.0
120,CCL5;CCL16,465.0,1.0,1.0
121,CCL5;CCL4,465.0,1.0,1.0
122,FGF2;HGF,465.0,1.0,1.0
123,FGF2;CSF3,465.0,1.0,1.0
124,FGF2;KDR,480.0,0.34163104673950406,1.0
125,FGF2;EGFR,465.0,1.0,1.0
126,FGF2;NTRK1,465.0,1.0,1.0
127,FGF2;CD44,465.0,1.0,1.0
128,FGF2;FN1,465.0,1.0,1.0
129,FGF2;EGF,465.0,1.0,1.0
130,CXCR4;CCL2,465.0,1.0,1.0
131,CXCR4;CCR7,465.0,1.0,1.0
132,CXCR4;CCL21,465.0,1.0,1.0
133,CXCR4;CXCL13,465.0,1.0,1.0
134,CXCR4;CCR2,465.0,1.0,1.0
135,CXCR4;PPBP,465.0,1.0,1.0
136,CXCR4;CXCL10,465.0,1.0,1.0
137,CXCR4;CXCL11,465.0,1.0,1.0
138,CXCR4;CXCR2,465.0,1.0,1.0
139,CXCR4;CXCL14,465.0,1.0,1.0
140,CXCR4;CCL20,465.0,1.0,1.0
141,CXCR4;CXCL9,465.0,1.0,1.0
142,CXCR4;CXCR3,465.0,1.0,1.0
143,CXCR4;CXCL1,465.0,1.0,1.0
144,CXCR4;CXCL12,465.0,1.0,1.0
145,CXCR4;KITLG,465.0,1.0,1.0
146,CXCR4;CCL4,465.0,1.0,1.0
147,CXCR4;CXCL2,465.0,1.0,1.0
148,CXCR4;CD44,465.0,1.0,1.0
149,CXCR1;CCL2,465.0,1.0,1.0
150,CXCR1;CXCL6,465.0,1.0,1.0
151,CXCR1;CXCL13,465.0,1.0,1.0
152,CXCR1;CCR2,465.0,1.0,1.0
153,CXCR1;CXCL12,465.0,1.0,1.0
154,CXCR1;CXCL1,465.0,1.0,1.0
155,CXCR1;PPBP,465.0,1.0,1.0
156,CXCR1;CXCR2,465.0,1.0,1.0
157,CXCR1;CXCL10,465.0,1.0,1.0
158,CXCR1;CXCL2,465.0,1.0,1.0
159,CX3CR1;CCL2,465.0,1.0,1.0
160,CX3CR1;CCL21,465.0,1.0,1.0
161,CX3CR1;CXCL10,465.0,1.0,1.0
162,CX3CR1;CXCL12,465.0,1.0,1.0
163,CX3CR1;CXCL1,465.0,1.0,1.0
164,CX3CR1;CCL26,465.0,1.0,1.0
165,CCR2;CCL2,465.0,1.0,1.0
166,CCR2;CCL13,465.0,1.0,1.0
167,CCR2;CCL27,465.0,1.0,1.0
168,CCR2;CXCL12,465.0,1.0,1.0
169,CCR2;CXCL1,465.0,1.0,1.0
170,CCR2;CCL8,465.0,1.0,1.0
171,CCR2;CCL20,465.0,1.0,1.0
172,CCR2;PPBP,465.0,1.0,1.0
173,CCR2;CCRL2,465.0,1.0,1.0
174,CCR2;CCR3,465.0,1.0,1.0
175,CCR2;CXCR3,465.0,1.0,1.0
176,CCR2;CCR1,465.0,1.0,1.0
177,CCR2;CCL4,465.0,1.0,1.0
178,CCR2;CCL16,465.0,1.0,1.0
179,CCR2;CXCL10,465.0,1.0,1.0
180,CCR2;CCR6,465.0,1.0,1.0
181,CCR2;CXCL9,465.0,1.0,1.0
182,CXCR3;CCL17,465.0,1.0,1.0
183,CXCR3;CCL2,465.0,1.0,1.0
184,CXCR3;CCL21,465.0,1.0,1.0
185,CXCR3;CXCL13,465.0,1.0,1.0
186,CXCR3;PF4,465.0,1.0,1.0
187,CXCR3;CCR1,465.0,1.0,1.0
