,Edge,U,pval,adj_pvals
0,HSP90AB1;RIPK3,92.0,0.09423446185525523,0.5684137193576212
1,HSP90AB1;LRP1,121.0,0.8684236225646332,1.0
2,HSP90AB1;RIPK1,96.0,0.1111210330183037,0.5884084220710916
3,HSP90AB1;ERBB2,103.5,0.31234878946898703,1.0
4,HSP90AB1;EGFR,117.0,1.0,1.0
5,HSP90AB1;CALM3,108.0,0.4252781054615583,1.0
6,HSP90AB1;HSPA5,133.0,0.5569904626028497,1.0
7,HSP90AB1;HSP90AA1,115.0,0.9183935814244062,1.0
8,HSP90AB1;NLRP3,96.0,0.1111210330183037,0.5884084220710916
9,HSP90AB1;AKT3,108.0,0.5615153018535519,1.0
10,HSP90AB1;SRC,104.0,0.3313252794358449,1.0
11,HSP90AB1;TLR4,108.0,0.4252781054615583,1.0
12,HSP90AB1;AKT1,117.0,1.0,1.0
13,HSP90AA1;RIPK3,105.0,0.37146525728279334,1.0
14,HSP90AA1;LRP1,106.5,0.623266279757368,1.0
15,HSP90AA1;RIPK1,117.0,1.0,1.0
16,HSP90AA1;KDR,112.5,0.755904521194148,1.0
17,HSP90AA1;STAT3,126.0,0.4252781054615583,1.0
18,HSP90AA1;ERBB2,112.5,0.755904521194148,1.0
19,HSP90AA1;EGFR,117.0,1.0,1.0
20,HSP90AA1;CALM3,117.0,1.0,1.0
21,HSP90AA1;HSPA5,117.0,1.0,1.0
22,HSP90AA1;GSK3B,93.0,0.35552675414492596,1.0
23,HSP90AA1;NLRP3,108.0,0.4252781054615583,1.0
24,HSP90AA1;SRC,104.0,0.3313252794358449,1.0
25,HSP90AA1;AKT3,96.0,0.1111210330183037,0.5884084220710916
26,HSP90AA1;AKT1,117.0,1.0,1.0
27,HSP90AA1;TLR4,108.0,0.4252781054615583,1.0
28,CACNG3;CACNA2D1,117.0,1.0,1.0
29,CACNG3;CACNA1D,117.0,1.0,1.0
30,CACNG3;CACNB4,117.0,1.0,1.0
31,CACNA2D1;CACNA1C,117.0,1.0,1.0
32,CACNA2D1;CACNA1D,117.0,1.0,1.0
33,CACNA2D1;CACNB3,117.0,1.0,1.0
34,CACNA2D1;CACNA1S,117.0,1.0,1.0
35,CACNA2D1;CACNA1A,117.0,1.0,1.0
36,CACNA2D1;CACNA1F,117.0,1.0,1.0
37,CACNA2D1;CACNB4,117.0,1.0,1.0
38,CACNA1D;CACNA1C,117.0,1.0,1.0
39,CACNA1D;CACNA2D4,117.0,1.0,1.0
40,CACNA1D;CACNB3,117.0,1.0,1.0
41,CACNA1D;CACNA1F,117.0,1.0,1.0
42,CACNA1D;CACNB4,117.0,1.0,1.0
43,CACNA1D;CACNA2D2,117.0,1.0,1.0
44,CACNA1D;CACNA1S,117.0,1.0,1.0
45,CACNA1D;CALM3,117.0,1.0,1.0
46,CACNB4;CACNA1C,117.0,1.0,1.0
47,CACNB4;CACNG2,117.0,1.0,1.0
48,CACNB4;CACNB3,117.0,1.0,1.0
49,CACNB4;CACNA1S,117.0,1.0,1.0
50,CACNB4;CACNA1F,117.0,1.0,1.0
51,CACNB4;CACNA2D4,117.0,1.0,1.0
52,CACNB4;CACNA2D2,117.0,1.0,1.0
53,CACNB4;CACNA1A,117.0,1.0,1.0
54,AXIN2;AXIN1,95.0,0.3885610190603235,1.0
55,AXIN2;APC2,94.5,0.17249242485169425,0.7466866656476056
56,AXIN2;TCF7,137.0,0.371371495548518,1.0
57,AXIN2;GSK3B,64.0,0.03900996039155009,0.4112193706048432
58,AXIN2;CTNNB1,94.0,0.3902337916710855,1.0
59,GSK3B;AXIN1,67.0,0.061088676983718004,0.5343649091048898
60,GSK3B;TLR3,128.5,0.662493881832378,1.0
61,GSK3B;AKT3,119.5,0.9367473551756782,1.0
62,GSK3B;SMAD3,178.0,0.02240532531597597,0.28080036531376
63,GSK3B;TRAF6,137.5,0.4274361779633238,1.0
64,GSK3B;APC2,107.5,0.7210065108870414,1.0
65,GSK3B;CTNNB1,123.0,0.827245007106163,1.0
66,GSK3B;AKT2,142.0,0.33542801013656676,1.0
67,GSK3B;AKT1,94.5,0.38269295839829565,1.0
68,AXIN1;CTNNB1,108.0,0.7482848648574536,1.0
69,AXIN1;TCF7,112.0,0.8615953238979058,1.0
70,AXIN1;APC2,51.0,0.00783363107781523,0.19194365566521432
71,CX3CL1;CCL11,117.0,1.0,1.0
72,CX3CL1;CCR5,117.0,1.0,1.0
73,CX3CL1;CSF2,117.0,1.0,1.0
74,CX3CL1;CCL5,117.0,1.0,1.0
75,CX3CL1;FGF13,117.0,1.0,1.0
76,CX3CL1;FGF2,117.0,1.0,1.0
77,CX3CL1;CXCR4,117.0,1.0,1.0
78,CX3CL1;CXCR1,117.0,1.0,1.0
79,CX3CL1;CX3CR1,117.0,1.0,1.0
80,CX3CL1;CCR2,117.0,1.0,1.0
81,CX3CL1;CXCR3,117.0,1.0,1.0
82,CCL11;CSF3,117.0,1.0,1.0
83,CCL11;CCL2,117.0,1.0,1.0
84,CCL11;CCL13,117.0,1.0,1.0
85,CCL11;CXCL6,117.0,1.0,1.0
86,CCL11;PF4V1,117.0,1.0,1.0
87,CCL11;IFNG,117.0,1.0,1.0
88,CCL11;IL4,117.0,1.0,1.0
89,CCL11;IL1A,117.0,1.0,1.0
90,CCL11;IL1B,117.0,1.0,1.0
91,CCL11;FGF2,117.0,1.0,1.0
92,CCL11;CCR2,117.0,1.0,1.0
93,CCL11;CCR5,117.0,1.0,1.0
94,CCL11;CXCL3,117.0,1.0,1.0
95,CCL11;CXCL5,117.0,1.0,1.0
96,CCL11;PF4,117.0,1.0,1.0
97,CCL11;CCR1,117.0,1.0,1.0
98,CCL11;CSF2,117.0,1.0,1.0
99,CCL11;CXCL10,117.0,1.0,1.0
100,CCL11;CXCL14,117.0,1.0,1.0
101,CCL11;CXCL2,117.0,1.0,1.0
102,CCL11;CXCL9,117.0,1.0,1.0
103,CCL11;CXCL11,117.0,1.0,1.0
104,CCL11;XCL1,117.0,1.0,1.0
105,CCL11;CCL26,117.0,1.0,1.0
106,CCL11;FGF13,117.0,1.0,1.0
107,CCL11;CXCR3,117.0,1.0,1.0
108,CCL11;CCL8,117.0,1.0,1.0
109,CCL11;CCL5,117.0,1.0,1.0
110,CCL11;CXCL1,117.0,1.0,1.0
111,CCL11;CCR3,117.0,1.0,1.0
112,CCL11;CXCL12,117.0,1.0,1.0
113,CCL11;CCL28,117.0,1.0,1.0
114,CCR5;CCL22,117.0,1.0,1.0
115,CCR5;CCL2,117.0,1.0,1.0
116,CCR5;CCL13,117.0,1.0,1.0
117,CCR5;CCR7,117.0,1.0,1.0
118,CCR5;CCL21,117.0,1.0,1.0
119,CCR5;CCR2,117.0,1.0,1.0
120,CCR5;CXCL12,117.0,1.0,1.0
121,CCR5;GNAI1,117.0,1.0,1.0
122,CCR5;CCL19,117.0,1.0,1.0
123,CCR5;CCL8,117.0,1.0,1.0
124,CCR5;CXCL1,117.0,1.0,1.0
125,CCR5;CCL5,117.0,1.0,1.0
126,CCR5;CCR3,117.0,1.0,1.0
127,CCR5;CXCR4,117.0,1.0,1.0
128,CCR5;CXCR3,117.0,1.0,1.0
129,CCR5;CCR1,117.0,1.0,1.0
130,CCR5;CCL4,117.0,1.0,1.0
131,CCR5;CXCL11,117.0,1.0,1.0
132,CCR5;CCL3,117.0,1.0,1.0
133,CCR5;CXCL10,117.0,1.0,1.0
134,CCR5;CXCL2,117.0,1.0,1.0
135,CCR5;CXCL9,117.0,1.0,1.0
136,CSF2;CSF3,117.0,1.0,1.0
137,CSF2;IL2,117.0,1.0,1.0
138,CSF2;IFNG,117.0,1.0,1.0
139,CSF2;IL4,117.0,1.0,1.0
140,CSF2;IL1A,117.0,1.0,1.0
141,CSF2;IL1B,117.0,1.0,1.0
142,CSF2;FGF2,117.0,1.0,1.0
143,CSF2;IL3,117.0,1.0,1.0
144,CSF2;FGF13,117.0,1.0,1.0
145,CSF2;JAK2,117.0,1.0,1.0
146,CSF2;IL10,117.0,1.0,1.0
147,CSF2;TNF,117.0,1.0,1.0
148,CSF2;IL6,117.0,1.0,1.0
149,CCL5;CCL2,117.0,1.0,1.0
150,CCL5;CCL13,117.0,1.0,1.0
151,CCL5;CXCL6,117.0,1.0,1.0
152,CCL5;CCR7,117.0,1.0,1.0
153,CCL5;CCL21,117.0,1.0,1.0
154,CCL5;CXCL13,117.0,1.0,1.0
155,CCL5;CXCR5,117.0,1.0,1.0
156,CCL5;CCR2,117.0,1.0,1.0
157,CCL5;CXCR1,117.0,1.0,1.0
158,CCL5;PPBP,117.0,1.0,1.0
159,CCL5;PF4,117.0,1.0,1.0
160,CCL5;CCR1,117.0,1.0,1.0
161,CCL5;CXCL10,117.0,1.0,1.0
162,CCL5;CXCL11,117.0,1.0,1.0
163,CCL5;CXCR2,117.0,1.0,1.0
164,CCL5;CXCL14,117.0,1.0,1.0
165,CCL5;CX3CR1,117.0,1.0,1.0
166,CCL5;CCL28,117.0,1.0,1.0
167,CCL5;CXCL9,117.0,1.0,1.0
168,CCL5;XCL1,117.0,1.0,1.0
169,CCL5;CXCR3,117.0,1.0,1.0
170,CCL5;CCL8,117.0,1.0,1.0
171,CCL5;CCL26,117.0,1.0,1.0
172,CCL5;CXCL1,117.0,1.0,1.0
173,CCL5;CXCL12,117.0,1.0,1.0
174,CCL5;IL6,117.0,1.0,1.0
175,CCL5;CD8A,117.0,1.0,1.0
176,CCL5;CXCR4,117.0,1.0,1.0
177,CCL5;CXCR6,117.0,1.0,1.0
178,CCL5;TNF,117.0,1.0,1.0
179,CCL5;CXCL2,117.0,1.0,1.0
180,CCL5;CCR3,117.0,1.0,1.0
181,CCL5;CXCL17,117.0,1.0,1.0
182,CCL5;CCL4,117.0,1.0,1.0
183,FGF13;CSF3,117.0,1.0,1.0
184,FGF13;KDR,117.0,1.0,1.0
185,FGF13;FGFR4,117.0,1.0,1.0
186,FGF13;FGFR3,117.0,1.0,1.0
187,FGF13;FGFR1,117.0,1.0,1.0
188,FGF13;FGFR2,117.0,1.0,1.0
189,FGF2;CSF3,117.0,1.0,1.0
190,FGF2;PDGFRA,99.0,0.2319554010352899,0.8679426349038879
191,FGF2;PDGFRB,117.0,1.0,1.0
192,FGF2;KDR,117.0,1.0,1.0
193,FGF2;EGFR,117.0,1.0,1.0
194,FGF2;FGF17,117.0,1.0,1.0
195,FGF2;NTRK1,117.0,1.0,1.0
196,FGF2;FGFR2,117.0,1.0,1.0
197,FGF2;FGFR4,117.0,1.0,1.0
198,FGF2;FGF1,112.5,0.6009907040609206,1.0
199,FGF2;FGFR1,117.0,1.0,1.0
200,FGF2;CD44,117.0,1.0,1.0
201,FGF2;FGFR3,117.0,1.0,1.0
