"","Gene","Count","Thresh.Name","Thresh.Value"
"160","RNF144B",7,"narrow",0.002
"161","RELN",70,"narrow",0.002
"162","PYGB",6,"narrow",0.002
"163","TACC2",4,"narrow",0.002
"164","HOPX",3,"narrow",0.002
"165","UBE4B",6,"narrow",0.002
"166","ANKRD18B",5,"narrow",0.002
"167","TTC24",1,"narrow",0.002
"168","CD8A",30,"narrow",0.002
"169","STAT4",1,"narrow",0.002
"170","NBEA",13,"narrow",0.002
"171","HLA-DRA",19,"narrow",0.002
"172","LYN",10,"narrow",0.002
"173","KRT1",3,"narrow",0.002
"174","THEMIS",8,"narrow",0.002
"175","MBTD1",1,"narrow",0.002
"176","TTC39B",1,"narrow",0.002
"177","NAA20",1,"narrow",0.002
"178","MS4A2",2,"narrow",0.002
"179","NCF4",4,"narrow",0.002
"180","KLHDC8A",8,"narrow",0.002
"181","ICAM1",3,"narrow",0.002
"182","SIRPG",1,"narrow",0.002
"183","STX3",1,"narrow",0.002
"184","KLRF1",11,"narrow",0.002
"185","PLCH2",2,"narrow",0.002
"186","PPP1R3B",1,"narrow",0.002
"187","MYOF",3,"narrow",0.002
"188","CLNK",2,"narrow",0.002
"189","ARHGDIB",16,"narrow",0.002
"190","ADAM28",3,"narrow",0.002
"191","BMX",1,"narrow",0.002
"192","TGM2",3,"narrow",0.002
"193","SLC27A2",4,"narrow",0.002
"194","FLVCR2",5,"narrow",0.002
"195","KLRK1",1,"narrow",0.002
"196","EDEM1",2,"narrow",0.002
"197","CHI3L2",1,"narrow",0.002
"198","PPIAL4E",20,"narrow",0.002
"199","TNFRSF17",1,"narrow",0.002
"200","PSMB9",41,"narrow",0.002
"201","MACC1",1,"narrow",0.002
"202","ZFP69B",7,"narrow",0.002
"203","DHRS2",1,"narrow",0.002
"204","KRT16",2,"narrow",0.002
"205","GLUL",2,"narrow",0.002
"206","BST1",2,"narrow",0.002
"207","ARHGAP25",4,"narrow",0.002
"208","IGLL5",12,"narrow",0.002
"209","CD7",6,"narrow",0.002
"210","GZMA",20,"narrow",0.002
"211","PERP",4,"narrow",0.002
"212","CTSS",30,"narrow",0.002
"213","LY86",2,"narrow",0.002
"214","ZNF681",3,"narrow",0.002
"215","TMEM171",18,"narrow",0.002
"216","DCSTAMP",1,"narrow",0.002
"217","NLRP7",1,"narrow",0.002
"218","LPXN",3,"narrow",0.002
"219","ZNF831",1,"narrow",0.002
"220","MET",6,"narrow",0.002
"221","UBE2E2",5,"narrow",0.002
"222","WDCP",1,"narrow",0.002
"223","CD27",10,"narrow",0.002
"224","TBC1D10C",2,"narrow",0.002
"225","ZNF496",1,"narrow",0.002
"226","P2RY10",4,"narrow",0.002
"227","ABI3",2,"narrow",0.002
"228","ZIM2",4,"narrow",0.002
"229","FLT3",5,"narrow",0.002
"230","GPR63",2,"narrow",0.002
"231","SSX2B",15,"narrow",0.002
"232","DHX34",2,"narrow",0.002
"233","UCN2",2,"narrow",0.002
"234","KDM5B",6,"narrow",0.002
"235","SERPING1",3,"narrow",0.002
"236","IKZF1",7,"narrow",0.002
"237","DCT",1,"narrow",0.002
"238","IGDCC3",130,"narrow",0.002
"239","TSPOAP1",1,"narrow",0.002
"240","COLEC11",2,"narrow",0.002
"241","PTPN6",12,"narrow",0.002
"242","KCNN3",1,"narrow",0.002
"243","RASSF5",8,"narrow",0.002
"244","TSPAN33",77,"narrow",0.002
"245","ACTL6A",1,"narrow",0.002
"246","TAF1A",1,"narrow",0.002
"247","DAGLA",9,"narrow",0.002
"248","LILRB4",11,"narrow",0.002
"249","ZCCHC12",5,"narrow",0.002
"250","BLNK",5,"narrow",0.002
"251","EBLN2",1,"narrow",0.002
"252","GNPTAB",2,"narrow",0.002
"253","PFKP",2,"narrow",0.002
"254","RBBP5",14,"narrow",0.002
"255","ZIC2",3,"narrow",0.002
"256","SERPINB13",11,"narrow",0.002
"257","TNFAIP2",5,"narrow",0.002
"258","ZNF814",2,"narrow",0.002
"259","H3-3A",1,"narrow",0.002
"260","NME8",1,"narrow",0.002
