"","Gene","Count","Thresh.Name","Thresh.Value"
"160","FOLR1",69,"narrow",0.002
"161","SULT1C2",22,"narrow",0.002
"162","NPAS3",53,"narrow",0.002
"163","ZNF785",1,"narrow",0.002
"164","PDZRN4",3,"narrow",0.002
"165","USP6",4,"narrow",0.002
"166","KLRC1",37,"narrow",0.002
"167","SLC22A9",4,"narrow",0.002
"168","SOX8",156,"narrow",0.002
"169","HSPA9",2,"narrow",0.002
"170","MSANTD4",12,"narrow",0.002
"171","PALM3",95,"narrow",0.002
"172","CFAP300",2,"narrow",0.002
"173","RUNDC3B",117,"narrow",0.002
"174","HBA2",37,"narrow",0.002
"175","NRXN3",51,"narrow",0.002
"176","TPBGL",2,"narrow",0.002
"177","AKR1D1",2,"narrow",0.002
"178","ENDOD1",6,"narrow",0.002
"179","HHIP",200,"narrow",0.002
"180","FCAR",6,"narrow",0.002
"181","LAYN",114,"narrow",0.002
"182","ZNF558",2,"narrow",0.002
"183","HES7",2,"narrow",0.002
"184","MINDY1",7,"narrow",0.002
"185","STYK1",2,"narrow",0.002
"186","LCNL1",198,"narrow",0.002
"187","ZNF577",3,"narrow",0.002
"188","TDRD12",24,"narrow",0.002
"189","RAB15",9,"narrow",0.002
"190","CHN1",113,"narrow",0.002
"191","SOGA1",93,"narrow",0.002
"192","KCNK7",8,"narrow",0.002
"193","TSPAN5",18,"narrow",0.002
"194","CAPS",160,"narrow",0.002
"195","SGIP1",87,"narrow",0.002
"196","CDH12",15,"narrow",0.002
"197","SLC8A2",181,"narrow",0.002
"198","TFF3",94,"narrow",0.002
"199","G3BP1",1,"narrow",0.002
"200","PDGFA",20,"narrow",0.002
"201","HPF1",4,"narrow",0.002
"202","MREG",11,"narrow",0.002
"203","EFHC2",6,"narrow",0.002
"204","NARS2",3,"narrow",0.002
"205","ALDH1A3",2,"narrow",0.002
"206","CFAP221",42,"narrow",0.002
"207","HIPK2",182,"narrow",0.002
"208","MYRIP",193,"narrow",0.002
"209","VXN",143,"narrow",0.002
"210","SLCO3A1",1,"narrow",0.002
"211","NPAP1",78,"narrow",0.002
"212","SLC18B1",8,"narrow",0.002
"213","ZNF665",4,"narrow",0.002
"214","SULT2B1",3,"narrow",0.002
"215","INHBC",16,"narrow",0.002
"216","CCKBR",90,"narrow",0.002
"217","TDP1",3,"narrow",0.002
"218","GABRA4",184,"narrow",0.002
"219","CYS1",43,"narrow",0.002
"220","KLF9",21,"narrow",0.002
"221","RAB27B",1,"narrow",0.002
"222","KCNE2",68,"narrow",0.002
"223","HS3ST5",63,"narrow",0.002
"224","PER1",81,"narrow",0.002
"225","LMNTD1",2,"narrow",0.002
"226","PIK3CD",20,"narrow",0.002
"227","PINLYP",108,"narrow",0.002
"228","ZNF233",1,"narrow",0.002
"229","TEX15",9,"narrow",0.002
"230","PIRT",160,"narrow",0.002
"231","TMPRSS6",2,"narrow",0.002
"232","LMO1",2,"narrow",0.002
"233","ADAMTS7",12,"narrow",0.002
"234","GMPPA",7,"narrow",0.002
"235","SLC1A6",93,"narrow",0.002
"236","SULT4A1",196,"narrow",0.002
"237","MTSS2",33,"narrow",0.002
"238","LPO",9,"narrow",0.002
"239","SLC19A3",37,"narrow",0.002
"240","IGSF5",1,"narrow",0.002
"241","ARHGEF15",27,"narrow",0.002
"242","GFAP",200,"narrow",0.002
"243","ASTN1",200,"narrow",0.002
"244","TMEM151B",178,"narrow",0.002
"245","TMPRSS15",121,"narrow",0.002
"246","DENND3",30,"narrow",0.002
"247","FAM135B",199,"narrow",0.002
"248","ADGRB1",25,"narrow",0.002
"249","PTGFR",2,"narrow",0.002
"250","OR1F1",1,"narrow",0.002
"251","IL12RB1",10,"narrow",0.002
"252","CALCR",9,"narrow",0.002
"253","ADAMTS4",15,"narrow",0.002
"254","MCF2L2",177,"narrow",0.002
"255","PALLD",3,"narrow",0.002
"256","IL12B",1,"narrow",0.002
