,Edge,U,pval,adj_pvals
217,CD79B;VPREB1,409.5,1.0,1.0
218,CD79B;IGLL5,409.5,1.0,1.0
219,CD79A;IGHD,399.0,0.4846416787883141,1.0
220,CD79A;CXCL9,409.5,1.0,1.0
221,CD79A;VPREB1,409.5,1.0,1.0
222,CD79A;BLK,420.0,0.4846416787883141,1.0
223,CD79A;IGLL1,409.5,1.0,1.0
224,CD79A;IGLL5,420.0,0.4846416787883141,1.0
225,F2;AMBP,428.5,0.5073057723221039,1.0
226,F2;ALB,429.0,0.18423511318051133,1.0
227,PTPN11;PIK3R2,346.5,0.28421439874728094,1.0
228,PTPN11;KRAS,414.0,0.9453576902837892,1.0
229,PTPN11;PDGFRA,414.0,0.9350232762836501,1.0
230,PTPN11;PDGFRB,390.0,0.6828478719748973,1.0
231,PTPN11;PIK3CA,403.5,0.9127869222106418,1.0
232,PTPN11;NRAS,467.0,0.33330025512263706,1.0
233,PTPN11;JAK2,465.0,0.3712855185659878,1.0
234,PTPN11;SHC1,350.5,0.27982194900696733,1.0
235,PTPN11;PIK3R1,387.0,0.6255171299733426,1.0
236,APOE;APOA1,429.0,0.18423511318051133,1.0
237,APOE;TTR,409.5,1.0,1.0
238,APOE;LPL,407.0,0.9484427888489363,1.0
239,APOE;ALB,409.5,1.0,1.0
240,APOA1;TTR,409.5,1.0,1.0
241,APOA1;ALB,409.5,1.0,1.0
242,PPARG;FABP4,420.0,0.8384971556720977,1.0
243,DLG1;DLGAP1,402.5,0.8970115539881525,1.0
244,DLG1;PTEN,335.0,0.2514339539535583,1.0
245,DLG1;DLG4,468.0,0.26746903039056247,1.0
246,NRAS;PDGFRA,430.0,0.715920681714485,1.0
247,NRAS;PDGFRB,468.0,0.2912622583074441,1.0
248,NRAS;PIK3CA,365.0,0.43577093969194836,1.0
249,NRAS;PIK3R1,386.0,0.6872764490128848,1.0
250,KRAS;PIK3R3,443.0,0.5985677648730061,1.0
251,KRAS;PDGFRA,426.0,0.755101911430808,1.0
252,KRAS;HRAS,471.0,0.3004907154947958,1.0
253,KRAS;PDGFRB,465.0,0.3096003497447657,1.0
254,KRAS;PIK3R1,368.0,0.4556505310693777,1.0
255,KRAS;PIK3CA,355.0,0.3258174424733562,1.0
256,KRAS;PIK3CB,427.0,0.7685491608050795,1.0
257,SHC1;PDGFRB,423.0,0.7910394889090242,1.0
258,SHC1;RET,556.0,0.011494740855290743,0.5929493163379156
259,SHC1;JAK2,415.0,0.9344314488316935,1.0
260,SHC1;PIK3R1,352.5,0.237478516719977,1.0
261,HRAS;PDGFRA,385.5,0.6641903053808011,1.0
262,HRAS;PDGFRB,436.0,0.6310000580294852,1.0
263,HRAS;PIK3CA,368.0,0.47787922441226693,1.0
264,HRAS;PIK3CB,431.0,0.7238278788837527,1.0
265,HRAS;PIK3R1,415.0,0.9310284661342644,1.0
266,MYD88;IL1RL1,446.0,0.24445502912202344,1.0
267,MYD88;IL1RAP,436.0,0.4389377172116402,1.0
268,MYD88;IL33,448.0,0.21922711208265133,1.0
269,PTEN;PIK3R2,430.0,0.7547321379854093,1.0
270,PTEN;PDGFRB,395.0,0.8217728093177782,1.0
271,PTEN;PIK3R3,455.0,0.4821099286077025,1.0
272,PTEN;PIK3CA,374.0,0.5765931206164969,1.0
273,PTEN;PIK3R1,432.0,0.7256077263171737,1.0
274,PTEN;PIK3CB,392.0,0.788895210902109,1.0
275,IGLL5;IGHD,399.0,0.4846416787883141,1.0
276,CXCL10;CXCL6,409.5,1.0,1.0
277,CXCL10;CXCL3,409.5,1.0,1.0
278,CXCL10;PPBP,409.5,1.0,1.0
279,CXCL10;PF4,409.5,1.0,1.0
280,CXCL10;CXCL1,409.5,1.0,1.0
281,CXCL10;CCL8,409.5,1.0,1.0
282,CXCL10;CXCL12,409.5,1.0,1.0
283,CXCL10;CXCL2,409.5,1.0,1.0
284,CXCL10;CXCL9,409.5,1.0,1.0
285,CXCL10;CXCL11,409.5,1.0,1.0
286,PF4;CXCL6,409.5,1.0,1.0
287,PF4;CXCL12,409.5,1.0,1.0
288,PF4;CXCL11,409.5,1.0,1.0
289,PF4;CXCL9,409.5,1.0,1.0
290,PF4;CXCL2,409.5,1.0,1.0
